دوره,حساب کالا - صادرات کالا - فوب - نفتی - میلیون دلار,حساب کالا - صادرات کالا - فوب - غیر نفتی - میلیون دلار,حساب کالا - واردات کالا - فوب - میلیون دلار,حساب خدمات - صادرات خدمات - میلیون دلار,حساب خدمات - واردات خدمات - میلیون دلار,حساب درآمد - دریافت - میلیون دلار,حساب درآمد - پرداخت - میلیون دلار,حساب انتقالات جاری - دریافت - میلیون دلار,حساب انتقالات جاری - پرداخت - میلیون دلار,تراز حساب جاری - میلیون دلار
دوازده ماهه ۱۳۹۹,21043,28805,46612,4241,8212,1148,1747,997,342,-708
دوازده ماهه ۱۴۰۰,38723,40748,63626,6518,11877,1276,1771,1541,387,11144
دوازده ماهه ۱۴۰۱,55410,42246,75409,9902,16593,1414,2468,809,1106,14205
سه ماهه اول ۱۴۰۰,8702,8582,13025,1302,2134,362,411,252,97,3534
شش ماهه اول ۱۴۰۰,18677,17431,28035,2762,4987,700,864,506,193,5997
نه ماهه ۱۴۰۰,27942,28067,44207,4538,8290,1020,1336,764,289,8208
دوازده ماهه ۱۴۰۰,38723,40748,63626,6518,11877,1276,1771,1541,387,11144
سه ماهه اول ۱۴۰۱,14352,11253,16447,2261,3633,404,447,257,153,7845
شش ماهه اول ۱۴۰۱,29394,21264,34006,4900,8322,808,903,513,283,13366
نه ماهه ۱۴۰۱,42290,32102,53243,7287,12563,1159,1479,770,515,15807
دوازده ماهه ۱۴۰۱,55410,42246,75409,9902,16593,1414,2468,809,1106,14205
