دوره,خالص حساب سرمایه - کوتاه مدت - میلیون دلار,خالص حساب سرمایه - بلند مدت - میلیون دلار,خالص حساب سرمایه - کل - میلیون دلار,تغییر در ذخایر بین المللی۱ - میلیون دلار
دوازده ماهه ۱۳۹۹,-7537,1219,-6318,-2641
دوازده ماهه ۱۴۰۰,-8149,-1185,-9333,895
دوازده ماهه ۱۴۰۱,-15026,-42,-15069,4033
دوازده ماهه ۱۳۹۹,-7537,1219,-6318,-2641
سه ماهه اول ۱۴۰۰,-2952,-222,-3174,699
شش ماهه اول ۱۴۰۰,-6151,-190,-6341,-47
نه ماهه ۱۴۰۰,-9711,-424,-10134,-2211
دوازده ماهه ۱۴۰۰,-8149,-1185,-9333,895
سه ماهه اول ۱۴۰۱,-9864,-168,-10032,189
شش ماهه اول ۱۴۰۱,-12755,-95,-12850,2417
نه ماهه ۱۴۰۱,-16173,-9,-16182,2893
دوازده ماهه ۱۴۰۱,-15026,-42,-15069,4033
