استان,کشاورزی - ۱۳۹۷ (درصد),کشاورزی - ۱۳۹۸ (درصد),صنعت - ۱۳۹۷ (درصد),صنعت - ۱۳۹۸ (درصد),خدمات - ۱۳۹۷ (درصد),خدمات - ۱۳۹۸ (درصد)
کل کشور,17.7,17.7,32,32,50.3,50.3
آذربایجان شرقی,21.2,20.9,35.6,36,43.1,43.1
آذربایجان غربی,31.2,33.3,22.4,23.4,46.4,43.3
اردبیل,33.6,32.2,24.8,25.6,41.6,42.3
اصفهان,10.2,11,40.9,41.7,48.9,47.3
البرز ,3,3.8,42,40.9,55.1,55.3
ایلام,25.7,24.2,24.5,27.8,49.8,47.8
بوشهر,11.5,12.1,27.9,25.3,60.7,62.5
تهران,1.5,1.4,34.9,34,63.6,64.7
چهار محال و بختیاری,18.3,15.3,37.2,42,44.5,42.7
خراسان جنوبی,28.3,28.1,29.3,31.1,41.9,40.8
خراسان رضوی ,19.3,18.4,33.5,33.9,47.2,47.7
خراسان شمالی,36,34.7,25.5,27.3,38.5,38
خوزستان,17.9,16.7,29.9,30.3,52.2,53
زنجان,30.2,33.5,33.1,31,36.7,35.6
سمنان,18.8,15.8,30.6,34.7,50.4,49.4
سیستان و بلوچستان ,16.2,16.5,37.8,36,46,47.6
فارس,22.7,20.8,27.7,28.1,49.6,51.1
قزوین,19.3,20.3,36.4,35.9,44.1,43.8
قم,4,4.3,40,40,55.9,55.6
کردستان,25,25.8,24.2,24.7,50.8,49.5
کرمان,35.9,36.9,27,25.3,37.1,37.9
کرمانشاه,27.8,29.4,22,22.7,50.2,47.9
کهگیلویه و بویر احمد,21.5,22.4,28.6,27.2,49.9,50.4
گلستان,27.8,28.6,26.8,28.2,45.5,43.3
گیلان,27.4,28.9,26,24.8,46.5,46.3
لرستان,24.5,26.7,27.4,27.7,48.1,45.6
مازندران,20,19.3,28.1,27.7,51.9,53
مرکزی,17.4,18.5,40.5,41.6,42.1,39.9
هرمزگان,16.8,18.3,30.2,29.7,53,52
همدان,28.6,29.4,27.7,28.4,43.7,42.2
یزد,7.8,7,43.9,43.7,48.3,49.3
