دهک های هزینه ای,آذر ۱۳۹۹ - ۱۰۰=۱۳۹۵,دی ۱۳۹۹ - ۱۰۰=۱۳۹۵,بهمن ۱۳۹۹ - ۱۰۰=۱۳۹۵,اسفند ۱۳۹۹ - ۱۰۰=۱۳۹۵,فروردین ۱۴۰۰ - ۱۰۰=۱۳۹۵,اردیبهشت ۱۴۰۰ - ۱۰۰=۱۳۹۵,خرداد ۱۴۰۰ - ۱۰۰=۱۳۹۵,تیر ۱۴۰۰ - ۱۰۰=۱۳۹۵,مرداد ۱۴۰۰ - ۱۰۰=۱۳۹۵,شهریور ۱۴۰۰ - ۱۰۰=۱۳۹۵,مهر ۱۴۰۰ - ۱۰۰=۱۳۹۵,آبان ۱۴۰۰ - ۱۰۰=۱۳۹۵,آذر ۱۴۰۰ - ۱۰۰=۱۳۹۵
کل کشور,2806,2857,2928,2981,3061,3084,3162,3274,3378,3511,3641,3730,3792
دهک اول,2791,2822,2906,2955,3032,3048,3135,3240,3356,3496,3646,3746,3805
دهک دوم,2831,2871,2957,3009,3090,3108,3195,3302,3416,3557,3703,3797,3855
دهک سوم,2824,2868,2951,3003,3083,3102,3188,3293,3404,3542,3683,3773,3830
دهک چهارم,2815,2862,2943,2994,3076,3094,3177,3282,3391,3529,3668,3755,3811
دهک پنجم,1809,2857,2935,2987,3069,3088,3171,3276,3383,3519,3654,3740,3796
دهک ششم,2804,2853,2927,2979,3062,3080,3162,3266,3371,3506,3638,3724,3781
دهک هفتم,2839,2890,2962,3013,3095,3113,3197,3303,3408,3543,3674,3761,3822
دهک هشتم,2848,2900,2969,3019,3102,3119,3203,3311,3415,3549,3677,3766,3829
دهک نهم,2903,2955,3018,3068,3149,3166,3251,3365,3473,3611,3735,3830,3903
دهک دهم,3018,3069,3126,3178,3259,3277,3367,3498,3614,3759,3877,3987,4077
