دهک های هزینه ای,ضرایب اهمیت - درصد - خوراکی ها، آشامیدنی ها و دخانیات - 100=1395,ضرایب اهمیت - درصد - کالاهای غیر خوراکی و خدمات - 100=1395,عدد شاخص - شاخص کل - 100= 1395,عدد شاخص - خوراکی ها، آشامیدنی ها و دخانیات - 100=1395,عدد شاخص - کالاهای غیر خوراکی و خدمات - 100=1395,تورم سالانه - درصد - کل - ۱۰۰=۱۳۹۵,تورم سالانه - درصد - درصد - خوراکی ها، آشامیدنی ها و دخانیات - 100=1395,تورم سالانه - درصد - درصد - کالاهای غیر خوراکی و خدمات - 100=1395
کل کشور,27.24,72.76,3792,5047,3223,43.4,57.8,36.6
دهک اول,43.3,56.7,3805,4886,2980,46.1,58.1,33.9
دهک دوم,41.1,58.9,3855,4960,3085,46.2,58.4,35
دهک سوم,38.3,61.7,3830,5002,3103,45.4,58.4,34.8
دهک چهارم,36.6,63.4,3811,5016,3114,44.8,58.3,34.5
دهک پنجم,34.3,65.7,3796,5025,3154,44.3,58.1,34.9
دهک ششم,32.4,67.6,3781,5035,3180,44.7,58.1,34.8
دهک هفتم,30.2,69.8,3822,5046,3293,43.5,57.9,35.6
دهک هشتم,27.6,72.4,3829,5050,3365,42.9,57.6,35.9
دهک نهم,24.3,75.7,3903,5054,3532,42.7,57.4,37.1
دهک دهم,17.2,82.8,4077,5071,3870,43,57.2,39.7
