law_id,law_id_source,url,elided_title_fa,year
e705e648c9bf,3489923977457885212,https://qavanin.ir/Law/TreeText/?IDS=3489923977457885212,قانون چگونگي محاسبه و وصول حقوق گمركي، س ... راهسازي وارداتي و ساخت داخل و قطعات آنها,1992
5572cb5be4c4,7464091114093015535,https://qavanin.ir/Law/TreeText/?IDS=7464091114093015535,قانون نحوه توزيع سي ميليارد 30000000000  ... نامه هاي عمراني و جاري و بازپرداخت وامها,1974
9d8c049d54f0,7836293619891643710,https://qavanin.ir/Law/TreeText/?IDS=7836293619891643710,آيين نامه اجرايي ماده   7   قانون اصلاح  ... سياستهاي كلي اصل چهل و چهارم قانون اساسي,2009
66b5f197f4b4,14094834951593849964,https://qavanin.ir/Law/TreeText/?IDS=14094834951593849964,آيين نامه اجرايي تبصره  5  اصلاحي بند  ا ... اجراي سياست هاي كلي اصل  44  قانون اساسي,2014
1e64d8d17cea,6276037033182286065,https://qavanin.ir/Law/TreeText/?IDS=6276037033182286065,دستورالعمل اجرايي بهسازي مسكن روستايي مو ... يي تبصره 52 قانون بودجه سال 1375 كل كشور,1996
ed519d932ad2,14016079820386346651,https://qavanin.ir/Law/TreeText/?IDS=14016079820386346651,آيين  نامه اجرايي بند  ب  تبصره  11  قان ... ع پرداخت سهم دولت به صندوق بيمه كشاورزي,2025
120204a1c332,14016079820386346651,https://qavanin.ir/Law/TreeText/?IDS=14016079820386346651,آيين  نامه اجرايي بند  ب  تبصره  11  قان ... ع پرداخت سهم دولت به صندوق بيمه كشاورزي,2025
2b2400dbbf17,5097824372987462736,https://qavanin.ir/Law/TreeText/?IDS=5097824372987462736,رأي شماره هاي 915 الي 916 هيأت عمومي ديو ... رات و واردات برنج از 31  4  1395 به بعد,2018
5a43dd99fae9,15564468984956903631,https://qavanin.ir/Law/TreeText/?IDS=15564468984956903631,رأي شماره هاي 536 ـ 535 هيأت عمومي ديوان ...  ماليات سود تفاوت تسعير ارز حاصل صادرات,2017
a36a1c5b115c,9851026475754963041,https://qavanin.ir/Law/TreeText/?IDS=9851026475754963041,آيين نامه اجرايي جزء هاي  1  و  2  بند   ... ز طريق انتشار اسناد  اوراق  تسويه خزانه,2025
