law_id,law_date,law_title_fa,n_charts,source_path
9ce67d97987a,1975,قانون گسترش كشاورزي در قطبهاي كشاورزي,208,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_گسترش_كشاورزي_در_قطبهاي_كشاورزي_6052422052697035635.txt
c019b232b0f6,1968,قانون اصلاح پاره اي از مواد و الحاق مواد جديد بقانون تاسيس صندوق توسعه كشاورزي ايران,205,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_اصلاح_پاره_اي_از_مواد_و_الحاق_مواد_جديد_بقانون_تاسيس_صندوق_توسعه_كشاورزي_ايران_13736275974544720159.txt
d5fcfb1d3e18,1962,تصويبنامه در اجراي ماده 24 قانون اصلاحات ارضي مصوب ديماه 1340,205,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/تصويبنامه_در_اجراي_ماده_24_قانون_اصلاحات_ارضي_مصوب_ديماه_1340_11320296447824898270.txt
f2209bdf31ee,1979,لايحه قانوني مجازات اخلال در امر كشاورزي و دامداري,203,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/لايحه_قانوني_مجازات_اخلال_در_امر_كشاورزي_و_دامداري_9885786691360027075.txt
f769a32c1125,1967,قانون تاسيس صندوق توسعه كشاورزي ايران  قانون تأسيس بانك توسعه كشاورزي ايران,202,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_تاسيس_صندوق_توسعه_كشاورزي_ايران__قانون_تأسيس_بانك_توسعه_كشاورزي_ايران__5925163310189568345.txt
d2fd4bd5a48e,1973,قانون تشكيل شركتهاي سهامي زراعي,202,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_تشكيل_شركتهاي_سهامي_زراعي_16068048483143575444.txt
5580d3793d26,1969,قانون تشكيل بانك تعاون كشاورزي ايران,202,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_تشكيل_بانك_تعاون_كشاورزي_ايران_17105436075285289190.txt
bf635923cb31,1980,لايحه قانوني راجع به رفع مشكلات مربوط به ... اي سهامي زراعي و تعاونيهاي توليد روستائي,202,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/لايحه_قانوني_راجع_به_رفع_مشكلات_مربوط_به_..._اي_سهامي_زراعي_و_تعاونيهاي_توليد_روستائي_12853029137413453685.txt
687e8e3acc9e,1996,آيين نامه اجرايي تبصره 4 قانون بودجه سال 1375 كل كشور,202,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_تبصره_4_قانون_بودجه_سال_1375_كل_كشور_2478365567664690380.txt
cbc3ff978af9,1995,آيين نامه اجرايي تبصره 4 قانون بودجه سال 1374كل كشور,202,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_تبصره_4_قانون_بودجه_سال_1374كل_كشور_13162021169025247643.txt
72e5e6d06fba,1968,قانون وظايف وزارت كشاورزي,202,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_وظايف_وزارت_كشاورزي_6936623083356254716.txt
781e8c3880d3,1993,قانون مقررات صادرات و واردات,183,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_مقررات_صادرات_و_واردات_2981512097582997698.txt
a83c8d5e39a5,2005,قانون الحاق دو تبصره به قانون تضمين خريد محصولات اساسي كشاورزي مصوب 1368,120,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_الحاق_دو_تبصره_به_قانون_تضمين_خريد_محصولات_اساسي_كشاورزي_مصوب_1368_15301054077704825672.txt
5686b98d513f,2006,اصلاح تبصره  4  الحاقي ماده  3  و ماده   ... نگاههاي كوچك اقتصادي زودبازده و كارآفرين,119,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/اصلاح_تبصره__4__الحاقي_ماده__3__و_ماده___..._نگاههاي_كوچك_اقتصادي_زودبازده_و_كارآفرين_7379320275986959598.txt
f889219d6c13,1998,قانون تشکیل شورایعالی اشتغال با اصلاحات و الحاقات بعدی,98,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/5444924385800261616_5444924385800261616.txt
ce97bf638795,1973,خلاصه برنامه پنجم عمراني كشور,90,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/خلاصه_برنامه_پنجم_عمراني_كشور_9865755708136317531.txt
d6740ad5a538,1987,آئيننامه اجرائي قانون مقررات صادرات و واردات,77,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/_آئيننامه_اجرائي_قانون_مقررات_صادرات_و_واردات_9650329542182446884.txt
ee62c4029b96,1985,قانون مقررات صادرات و واردات سال 1364,76,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_مقررات_صادرات_و_واردات_سال_1364_10311027332388425096.txt
7ba0519df5f9,1988,آيين نامه اجرايي قانون مقررات صادرات و و ... جرايي قانون مقررات صادرات و واردات 1369,76,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_قانون_مقررات_صادرات_و_و_..._جرايي_قانون_مقررات_صادرات_و_واردات_1369__13795177152072114598.txt
6998f10f4010,2013,قانون مبارزه با قاچاق كالا و ارز,75,/Users/rohamhosseini/Documents/scraper simple/laws_clean/useful_laws/قانون مبارزه با قاچاق كالا و ارز.txt
f9cc0eb92958,2000,آيين نامه اجرايي قانون نحوه اعمال تعزيرات حكومتي راجع به قاچاق كالا و ارز,74,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/_آيين_نامه_اجرايي_قانون_نحوه_اعمال_تعزيرات_حكومتي_راجع_به_قاچاق_كالا_و_ارز_13477680732453420343.txt
243c4fae96be,1987,قانون مقررات صادرات و واردات,73,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_مقررات_صادرات_و_واردات_15069589608421268658.txt
33a5157df624,1986,قانون مقررات صادرات و واردات سال 1365,73,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_مقررات_صادرات_و_واردات_سال_1365_15372400873278210326.txt
d1430034d38e,2017,قانون احكام دائمي برنامه هاي توسعه كشور,67,/Users/rohamhosseini/Documents/scraper simple/laws_clean/useful_laws/قانون احكام دائمي برنامه هاي توسعه كشور.txt
88b5593dfcb8,2002,قانون الحاق موادی به قانون تنظیم بخشی از مقررات مالی دولت (۱) - مصوب ۱۳۸۰ / ۱۱ / ۲۷ با اصلاحات و الحاقات بعدی,47,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/15361588074584818347_15361588074584818347.txt
f5c836a80295,2002,قانون الحاق موادي به قانون تنظيم بخشي از مقررات مالي دولت (1),47,/Users/rohamhosseini/Documents/scraper simple/laws_clean/useful_laws/قانون الحاق موادي به قانون تنظيم بخشي از مقررات مالي دولت (1).txt
07abeae3acce,1991,قانون  بودجه  سال  1370 كل  كشور,46,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون__بودجه__سال__1370_كل__كشور_16731678194355926420.txt
9ab6055a3d4c,2025,بخشنامه گمرك در خصوص ابلاغ احكام قانون بودجه سال 1404 كل كشور,46,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_aali_votes/بخشنامه_گمرك_در_خصوص_ابلاغ_احكام_قانون_بودجه_سال_1404_كل_كشور_5775278626612494259.txt
c2c3a7d94bf8,2002,قانون اصلاح موادي از قانون مالياتهاي مستقيم,45,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_اصلاح_موادي_از_قانون_مالياتهاي_مستقيم_4499106598626827368.txt
4883ef711ab7,1978,قانون  بودجه  سال  1357 كل كشور,45,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون__بودجه__سال__1357_كل_كشور_5011437046289702714.txt
12661d47d036,1981,لايحه بودجه سال 1360,45,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/لايحه_بودجه_سال_1360_18372239509119135797.txt
f1d74a02b7f1,1973,قانون برنامه و بودجه كشور,45,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_برنامه_و_بودجه_كشور_9453652088668195327.txt
3a193b0c0416,1987,قانون محاسبات عمومي كشور,45,/Users/rohamhosseini/Documents/scraper simple/laws_clean/useful_laws/قانون محاسبات عمومي كشور.txt
76703fdbc108,2002,قانون تنظيم بخشي از مقررات مالي دولت,45,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_تنظيم_بخشي_از_مقررات_مالي_دولت_10444344590630024339.txt
6c8721f34c66,2015,قانون الحاق برخي مواد به قانون تنظيم بخشي از مقررات مالي دولت (2),45,/Users/rohamhosseini/Documents/scraper simple/laws_clean/useful_laws/قانون الحاق برخي مواد به قانون تنظيم بخشي از مقررات مالي دولت (2).txt
a4cc71315c8b,1989,قانون  بودجه  سال  1368 كل  كشور,45,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون__بودجه__سال__1368_كل__كشور_2157705573082180005.txt
b5346004c583,2007,قانون بودجه سال 1386 كل كشور,45,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_بودجه_سال_1386_كل_كشور_4855614788951367674.txt
b436524acd70,1984,قانون متمم بودجه سال 1362 كل كشور,45,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_متمم_بودجه_سال_1362_كل_كشور_15806678759655421065.txt
d3e3babe371d,1989,اصلاحيه عبارتي قانون  اصلاح  برخي  از ارقام  و تبصره هاي  قانون  بودجه  سال  1367 كل  كشور,45,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/اصلاحيه_عبارتي_قانون__اصلاح__برخي__از_ارقام__و_تبصره_هاي__قانون__بودجه__سال__1367_كل__كشور_16813054803592727997.txt
16ff8da9aeab,1989,آئين نامه  اجرايي  قانون  ماليات  تعاون  ملي  براي  بازسازي  مصوب 1367 12 9,45,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آئين_نامه__اجرايي__قانون__ماليات__تعاون__ملي__براي__بازسازي__مصوب_1367_12_9_16129715521463374011.txt
52ac7180adc9,1993,قانون اجازه تعيين ميزان حقوق گمركي و سود بازرگاني كالاهاي وارداتي توسط دولت,44,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_اجازه_تعيين_ميزان_حقوق_گمركي_و_سود_بازرگاني_كالاهاي_وارداتي_توسط_دولت_4825593828497334437.txt
