chart_id	title	category	year_range
wdi__AG.LND.IRIG.AG	Agricultural irrigated land (% of total agricultural land)	Agriculture & Rural Development	
wdi__AG.LND.AGRI	Agricultural land	Agriculture & Rural Development	
wdi__AG.LND.ARBL.HA	Arable land (hectares per person)	Agriculture & Rural Development	
wdi__AG.LND.ARBL	Arable land (hectares)	Agriculture & Rural Development	
wdi__AG.LND.PRCP	Average precipitation in depth (mm per year)	Agriculture & Rural Development	
wdi__AG.PRD.CREL	Cereal production	Agriculture & Rural Development	
wdi__AG.YLD.CREL	Cereal yield	Agriculture & Rural Development	
wdi__AG.PRD.CROP	Crop production index (2014-2016 = 100)	Agriculture & Rural Development	
wdi__AG.CON.FERT.PT	Fertilizer consumption (% of fertilizer production)	Agriculture & Rural Development	
wdi__AG.CON.FERT	Fertilizer consumption (kilograms per hectare of arable land)	Agriculture & Rural Development	
wdi__AG.PRD.FOOD	Food production index (2014-2016 = 100)	Agriculture & Rural Development	
wdi__AG.LND.FRST	Forest area	Agriculture & Rural Development	
wdi__AG.LND.TOTL	Land area	Agriculture & Rural Development	
wdi__AG.LND.EL5M	Land area where elevation is below 5 meters (% of total land area)	Agriculture & Rural Development	
wdi__AG.LND.CREL	Land under cereal production (hectares)	Agriculture & Rural Development	
wdi__AG.PRD.LVSK	Livestock production index (2014-2016 = 100)	Agriculture & Rural Development	
wdi__AG.LND.CROP	Permanent cropland (% of land area)	Agriculture & Rural Development	
wdi__AG.LND.TOTL.RU	Rural land area	Agriculture & Rural Development	
wdi__AG.LND.EL5M.RU	Rural land area where elevation is below 5 meters	Agriculture & Rural Development	
wdi__AG.SRF.TOTL	Surface area	Agriculture & Rural Development	
wdi__AG.LND.TOTL.UR	Urban land area	Agriculture & Rural Development	
wdi__AG.LND.EL5M.UR	Urban land area where elevation is below 5 meters	Agriculture & Rural Development	
faostat__Agriculture__price	Agriculture	Agriculture Prices	
faostat__Almonds, in shell__price	Almonds, in shell	Agriculture Prices	
faostat__Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw__price	Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw	Agriculture Prices	
faostat__Apples__price	Apples	Agriculture Prices	
faostat__Apricots__price	Apricots	Agriculture Prices	
faostat__Artichokes__price	Artichokes	Agriculture Prices	
faostat__Asparagus__price	Asparagus	Agriculture Prices	
faostat__Bananas__price	Bananas	Agriculture Prices	
faostat__Barley__price	Barley	Agriculture Prices	
faostat__Beans, dry__price	Beans, dry	Agriculture Prices	
faostat__Broad beans and horse beans, green__price	Broad beans and horse beans, green	Agriculture Prices	
faostat__Cabbages__price	Cabbages	Agriculture Prices	
faostat__Cantaloupes and other melons__price	Cantaloupes and other melons	Agriculture Prices	
faostat__Carrots and turnips__price	Carrots and turnips	Agriculture Prices	
faostat__Cauliflowers and broccoli__price	Cauliflowers and broccoli	Agriculture Prices	
faostat__Cereals n.e.c.__price	Cereals n.e.c.	Agriculture Prices	
faostat__Cereals, primary__price	Cereals, primary	Agriculture Prices	
