score,matched,law_id,folder,title,jalali_date,gregorian_year,enacting_body,text_len,path,doc_type
48,بودجه|بورس|خرید تضمینی|مالیات بر ارزش افزوده|هدفمند|یارانه,e012a93e1186,Aeen-Nameh,آيين نامه اجرايي تبصره  14  ماده واحده قانون بودجه سال 1397 كل كشور,1397/03/27,2018,هیات وزیران,8960,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_تبصره__14__ماده_واحده_قانون_بودجه_سال_1397_كل_كشور_11721721609766278681.txt,law
38,تعرفه|هدفمند|یارانه,384f398471a0,Aeen-Nameh,آيين نامه اجرايي ماده   8    قانون هدفمند كردن يارانه ها,1389/02/07,2010,وزیران عضو کار گروه بررسی آیین‌نامه‌های قانون هدفمند کردن یا,6931,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_ماده___8____قانون_هدفمند_كردن_يارانه_ها_2703432457771038641.txt,law
37,بودجه|مالیات بر ارزش افزوده|هدفمند|یارانه,032b6be1fbd2,Aeen-Nameh,آيين نامه اجرايي تبصره  14  قانون بودجه سال 1396 كل كشور,1396/10/03,2017,هیات وزیران,13006,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Aeen-Nameh/آيين_نامه_اجرايي_تبصره__14__قانون_بودجه_سال_1396_كل_كشور_7910135977723310075.txt,law
36,ارز|بورس|مالیات بر ارزش افزوده,7bfdf10b68e5,useful_laws,قانون ماليات بر ارزش افزوده,1400/03/02,2021,مجلس شورای اسلامی,99404,/Users/rohamhosseini/Documents/scraper simple/laws_clean/useful_laws/قانون ماليات بر ارزش افزوده.txt,law
35,تعرفه|نرخ ارز|هدفمند|یارانه,0ea6a8e4b714,Divan_aali_votes,قانون,1404/01/31,2025,‏‏‏‏ / ۰۶ ‏‏‏‏ / ۱۴۰۲ مجلس محترم شورای اسلامی,5199,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_aali_votes/6361996243246483402_6361996243246483402.txt,court_ruling
35,بودجه|تعرفه|حقوق گمرکی|مالیات بر ارزش افزوده|نرخ ارز,9ab6055a3d4c,Divan_aali_votes,بخشنامه گمرك در خصوص ابلاغ احكام قانون بودجه سال 1404 كل كشور,1404/01/27,2025,گمرک ایران,8961,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_aali_votes/بخشنامه_گمرك_در_خصوص_ابلاغ_احكام_قانون_بودجه_سال_1404_كل_كشور_5775278626612494259.txt,court_ruling
35,اصل ۴۴|تجارت|تعرفه|صنعت|معدن|نقدینگی|یارانه,cd36d184e3a0,Divan_edalat_edari_votes,رأي شماره 1251 هيأت عمومي ديوان عدالت اد ... 73446 - 1398 3 7 وزارت صنعت معدن و تجارت,1399/10/09,2020,اطلاعات پایه,8351,/Users/rohamhosseini/Documents/scraper simple/laws_clean/Divan_edalat_edari_votes/رأي_شماره_1251_هيأت_عمومي_ديوان_عدالت_اد_..._73446_-_1398_3_7_وزارت_صنعت_معدن_و_تجارت_9500198075174742268.txt,court_ruling
35,بورس|حقوق گمرکی|مالیات بر ارزش افزوده|واردات,c7d8af5a0774,general_laws,قانون  اصلاح  موادي  از قانون  برنامه  س ... رائه  دهندگان  خدمات  و كالاهاي  وارداتي,1381/10/22,2003,مجلس شورای اسلامی,26531,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون__اصلاح__موادي__از_قانون__برنامه__س_..._رائه__دهندگان__خدمات__و_كالاهاي__وارداتي_1257971398455925878.txt,law
35,بورس|صنعت|معدن,c68d62f63a29,general_laws,قرار داد هاﻯ منعقد بين شركت ملي صنايع پت ... ت كابوت و بانك توسعه صنعتي و معدني ايران,1351/08/10,1972,کمیسیونهای مشترک اقتصاد و دارایی مجلسین سناوشورا,110730,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قرار_داد_هاﻯ_منعقد_بين_شركت_ملي_صنايع_پت_..._ت_كابوت_و_بانك_توسعه_صنعتي_و_معدني_ايران_12011421373476963812.txt,other
35,بورس|مالیات بر ارزش افزوده|هدفمند|یارانه,0bbd4860ceaa,general_laws,قانون مالياتهاي مستقيم,1366/12/03,1988,مجلس شورای اسلامی,472461,/Users/rohamhosseini/Documents/scraper simple/laws_clean/general_laws/قانون_مالياتهاي_مستقيم_892583840653829785.txt,law
