STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1960,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1961,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1962,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1963,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1964,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1965,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1966,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1967,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1968,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1969,,100,,A,Normal value,0,Units,1,One
