country_iso3,metric,year,value,unit,source,notes
IRN,Population,2020,84.038,million people,"OPEC Annual Statistical Bulletin 2025, Table 2.1",
IRN,Population,2021,84.055,million people,"OPEC Annual Statistical Bulletin 2025, Table 2.1",
IRN,Population,2022,84.904,million people,"OPEC Annual Statistical Bulletin 2025, Table 2.1",
IRN,Population,2023,85.761,million people,"OPEC Annual Statistical Bulletin 2025, Table 2.1",
IRN,Population,2024,86.626,million people,"OPEC Annual Statistical Bulletin 2025, Table 2.1",
IRN,Nominal GDP at current market prices,2020,195528,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.2",
IRN,Nominal GDP at current market prices,2021,289294,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.2",
IRN,Nominal GDP at current market prices,2022,376254,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.2",
IRN,Nominal GDP at current market prices,2023,372820,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.2",
IRN,Nominal GDP at current market prices,2024,401357,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.2",
IRN,Real GDP growth rate (PPP based weights),2020,3.3,%,"OPEC Annual Statistical Bulletin 2025, Table 2.3",
IRN,Real GDP growth rate (PPP based weights),2021,4.7,%,"OPEC Annual Statistical Bulletin 2025, Table 2.3",
IRN,Real GDP growth rate (PPP based weights),2022,3.8,%,"OPEC Annual Statistical Bulletin 2025, Table 2.3",
IRN,Real GDP growth rate (PPP based weights),2023,5.0,%,"OPEC Annual Statistical Bulletin 2025, Table 2.3",
IRN,Real GDP growth rate (PPP based weights),2024,3.5,%,"OPEC Annual Statistical Bulletin 2025, Table 2.3",
IRN,Value of exports of goods and services,2020,39413,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.4",
IRN,Value of exports of goods and services,2021,60135,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.4",
IRN,Value of exports of goods and services,2022,95033,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.4",
IRN,Value of exports of goods and services,2023,99690,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.4",
IRN,Value of exports of goods and services,2024,106604,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.4",
IRN,Value of petroleum exports,2020,7914,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.5",
IRN,Value of petroleum exports,2021,25526,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.5",
IRN,Value of petroleum exports,2022,38985,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.5",
IRN,Value of petroleum exports,2023,41129,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.5",
IRN,Value of petroleum exports,2024,46776,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.5",
IRN,Value of imports of goods and services,2020,47799,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.6",
IRN,Value of imports of goods and services,2021,56379,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.6",
IRN,Value of imports of goods and services,2022,83546,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.6",
IRN,Value of imports of goods and services,2023,80815,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.6",
IRN,Value of imports of goods and services,2024,86479,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.6",
IRN,Current account balance,2020,-3651,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.7",
IRN,Current account balance,2021,11144,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.7",
IRN,Current account balance,2022,14205,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.7",
IRN,Current account balance,2023,12320,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.7",
IRN,Current account balance,2024,9439,million US$,"OPEC Annual Statistical Bulletin 2025, Table 2.7",
