category,subcategory,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,preliminary_actuals_1972,budget_estimates_1973
Total Revenues,,52.9,58.7,68.7,90.9,96.2,110.1,129.4,150.4,173.4,258.3,301.8,361.6
Total Revenues,Oil,23.7,27.7,36.4,50.0,47.4,54.0,61.8,76.4,85.5,155.6,181.7,225.9
Total Revenues,Non-Oil,29.2,31.0,32.3,40.9,48.8,56.1,67.6,74.0,87.9,102.7,123.1,135.7
Current Expenditure,,41.5,47.2,52.2,63.7,70.5,82.1,98.8,114.4,135.2,176.7,218.3,290.9
Savings,,11.4,11.5,16.5,27.7,25.7,28.0,30.6,36.0,38.2,81.6,83.5,70.7
Capital Expenditure,,13.4,18.6,26.7,37.1,37.8,53.4,69.9,82.8,96.6,115.1,142.4,179.8
Deficit,,2.0,7.1,10.2,9.4,12.1,25.4,39.3,46.8,58.4,33.5,58.9,109.1
Financed by: Net borrowing abroad,,0.3,-0.1,-0.5,0.1,2.5,8.6,22.4,21.3,19.6,15.2,10.7,42.0
Financed by: Net borrowing abroad,Fresh Loans,1.8,1.1,0.8,2.3,4.7,10.1,25.8,26.4,28.1,28.9,25.1,60.9
Financed by: Net borrowing abroad,Repayments,-1.5,-1.2,-1.3,-2.2,-2.2,-1.5,-3.4,-5.1,-8.5,-13.7,-14.4,-18.9
Financed by: Net borrowing from the banking system,,0.6,5.4,8.7,3.4,4.7,14.4,10.8,25.3,31.4,-5.6,25.0,n.a.
Financed by: Net borrowing from the banking system,Change in holdings of bonds,0.0,0.7,0.7,1.9,-0.3,4.2,5.0,7.8,6.8,8.0,30.7,n.a.
Financed by: Net borrowing from the banking system,Change in advances,-0.8,6.4,6.4,5.2,6.0,13.0,5.9,20.0,27.5,10.8,2.8,n.a.
Financed by: Net borrowing from the banking system,Change in government deposits (increase = -),1.4,-1.7,1.6,-3.7,-1.0,-2.8,-0.1,-2.5,-2.9,-24.4,-8.5,n.a.
Financed by: Nonbank holdings of Government Securities (net change),,0.0,1.1,1.1,1.1,5.6,3.0,3.3,-4.5,3.9,6.1,6.1,n.a.
Discrepancy,,-1.1,-0.7,-0.9,-4.8,0.7,0.6,-2.8,-4.7,-3.5,-17.8,-17.1,0
