Downloaded from wid.world on 12-07-2026 at 18:24:05
Country Code;Country Name;WID Variable code;Percentile group;Unit;Variable name;Intuitive description;Technical description;Methodological Notes;Sources;Data Quality Score
KR;Korea;anninc992i;p0p100;"KRW; South Korean won";National income. Average Adults. individuals;Average National income within the p0p100 percentile group. National income aims to measure the total income available to the residents of a given country. It is equal to the gross domestic product (the total value of goods and services produced on the territory of a given country during a given year), minus fixed capital used in production processes (e.g. replacement of obsolete machines or maintenance of roads) plus the net foreign income earned by residents in the rest of the world.// National income has many limitations. However it is the only income concept that has an internationally agreed definition (established by the United Nations System of National Accounts, see SNA 2008). So we use it as our reference concept (with tax havens correction). To be improved.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;[National income]=[Net domestic product]+[Net foreign income];"1800-1969: This variable was calculated using the variables yconfc, ynnfin; 1970-2025: This variable was calculated using the variables gdpro, confc, nnfin; For more details on the latest data update round, see [URL][URL_LINK]https://wid.world/document/extending-wid-national-accounts-series-institutional-sectors-and-factor-shares-world-inequality-lab-technical-note-2025-03/[/URL_LINK][URL_TEXT] Gomez-Carrera, R., Moshirf, R., Nievas, G., Piketty, T. (2024) Global Inequality Update 2024:New Insights from Extended WID Macro Series[/URL_TEXT][/URL]; For more details on the WID.world methods, see [URL][URL_LINK]https://wid.world/document/distributional-national-accounts-dina-guidelines-2025-methods-and-concepts-used-in-the-world-inequality-database/[/URL_LINK][URL_TEXT] Chancel, L., Flores, I., Moshirf, R., Nievas, G., Piketty, T. (2025) Distributional National Accounts Guidelines[/URL_TEXT][/URL]. ";"1800-1969: In-house calculation (see method); 1970-2025: In-house calculation (see method);";
KR;Korea;sptinc992j;p99p100;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by the p99p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Before 1980, series is constructed based on the trend observed in the fiscal income data available (see sources).;"Technote for update:   https://wid.world/document/2025-dina-update-for-asia/  Nitin Kumar Bharti and Zhexun Mo (2025), ""Technical Note for Update for Asia - 2025""   ; For long run series (full population),   http://wid.world/document/longrunpaper/  Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)    http://wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/   ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""  ;   https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/  Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024""";3.3
KR;Korea;sptinc999j;p90p100;share;Pre-tax national income. Share All Ages. equal-split adults;Pre-tax national income share held by the p90p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Before 1980, series is constructed based on the trend observed in the fiscal income data available (see sources).;"Technote for update:   https://wid.world/document/2025-dina-update-for-asia/  Nitin Kumar Bharti and Zhexun Mo (2025), ""Technical Note for Update for Asia - 2025""   ; For long run series (full population),   http://wid.world/document/longrunpaper/  Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)    http://wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/   ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""  ;   https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/  Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024""";3.3
KR;Korea;shweal992j;p90p100;share;Net personal wealth. Share Adults. equal-split adults;Net personal wealth share held by the p90p100 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts.  The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];The inheritance tax data for 2008-2009 was not used here because of inconsistency of figures in the data. The amount of net personal wealth estimated here is much less than the net household wealth in the National Balance Sheets. The difference could be explained as follows. First, the net household wealth in the National Balance Sheets includes the asset of non-profit sector. Second, the estimate of net personal wealth covers only real estate and financial assets, while other kinds of assets are included in the National Balance Sheets. Third, while the real estates in the National Balance Sheets are those in market prices, they are in government appraisal values, lower than market prices. Considering the share of real estate in the net household wealth is 76% (the average in 2000-2013)  and the total amount in government appraisal values is 67% of that in market prices, the net household wealth would be underestimated as much as 25% at least from the difference in government appraisal values and market prices of real estate. Before 1980, series is constructed based on the trend observed in the fiscal income data available (see sources).;"http://wid.world/document/wealth-inequality-in-korea-2000-2013-journal-of-the-korean-welfare-state-and-social-policy-2018/  Kim, Nak Nyeon(2018), Wealth Inequality in Korea, 2000-2013: Evidence from Inheritance Tax Statistics;   Technote for the update:   https://wid.world/document/global-wealth-inequality-on-wid-world-estimates-and-imputations-world-inequality-lab-technical-note-2025-01/  Bajard, F., Bauluz, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Piketty, T., Sodano, A. (2025), ""Global wealth inequality on WID.world: Estimates and imputations""  ; For long run series,   https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/  Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024""";0.7
KR;Korea;shweal992j;p99p100;share;Net personal wealth. Share Adults. equal-split adults;Net personal wealth share held by the p99p100 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts.  The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];The inheritance tax data for 2008-2009 was not used here because of inconsistency of figures in the data. The amount of net personal wealth estimated here is much less than the net household wealth in the National Balance Sheets. The difference could be explained as follows. First, the net household wealth in the National Balance Sheets includes the asset of non-profit sector. Second, the estimate of net personal wealth covers only real estate and financial assets, while other kinds of assets are included in the National Balance Sheets. Third, while the real estates in the National Balance Sheets are those in market prices, they are in government appraisal values, lower than market prices. Considering the share of real estate in the net household wealth is 76% (the average in 2000-2013)  and the total amount in government appraisal values is 67% of that in market prices, the net household wealth would be underestimated as much as 25% at least from the difference in government appraisal values and market prices of real estate. Before 1980, series is constructed based on the trend observed in the fiscal income data available (see sources).;"http://wid.world/document/wealth-inequality-in-korea-2000-2013-journal-of-the-korean-welfare-state-and-social-policy-2018/  Kim, Nak Nyeon(2018), Wealth Inequality in Korea, 2000-2013: Evidence from Inheritance Tax Statistics;   Technote for the update:   https://wid.world/document/global-wealth-inequality-on-wid-world-estimates-and-imputations-world-inequality-lab-technical-note-2025-01/  Bajard, F., Bauluz, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Piketty, T., Sodano, A. (2025), ""Global wealth inequality on WID.world: Estimates and imputations""  ; For long run series,   https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/  Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024""";0.7
KR;Korea;shweal992i;p99p100;share;Net personal wealth. Share Adults. individuals;Net personal wealth share held by the p99p100 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts.  The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];The inheritance tax data for 2008-2009 was not used here because of inconsistency of figures in the data. The amount of net personal wealth estimated here is much less than the net household wealth in the National Balance Sheets. The difference could be explained as follows. First, the net household wealth in the National Balance Sheets includes the asset of non-profit sector. Second, the estimate of net personal wealth covers only real estate and financial assets, while other kinds of assets are included in the National Balance Sheets. Third, while the real estates in the National Balance Sheets are those in market prices, they are in government appraisal values, lower than market prices. Considering the share of real estate in the net household wealth is 76% (the average in 2000-2013)  and the total amount in government appraisal values is 67% of that in market prices, the net household wealth would be underestimated as much as 25% at least from the difference in government appraisal values and market prices of real estate. Before 1980, series is constructed based on the trend observed in the fiscal income data available (see sources).;"http://wid.world/document/wealth-inequality-in-korea-2000-2013-journal-of-the-korean-welfare-state-and-social-policy-2018/  Kim, Nak Nyeon(2018), Wealth Inequality in Korea, 2000-2013: Evidence from Inheritance Tax Statistics;   Technote for the update:   https://wid.world/document/global-wealth-inequality-on-wid-world-estimates-and-imputations-world-inequality-lab-technical-note-2025-01/  Bajard, F., Bauluz, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Piketty, T., Sodano, A. (2025), ""Global wealth inequality on WID.world: Estimates and imputations""  ; For long run series,   https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/  Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024""";0.7
KR;Korea;sptinc999j;p99p100;share;Pre-tax national income. Share All Ages. equal-split adults;Pre-tax national income share held by the p99p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Before 1980, series is constructed based on the trend observed in the fiscal income data available (see sources).;"Technote for update:   https://wid.world/document/2025-dina-update-for-asia/  Nitin Kumar Bharti and Zhexun Mo (2025), ""Technical Note for Update for Asia - 2025""   ; For long run series (full population),   http://wid.world/document/longrunpaper/  Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)    http://wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/   ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""  ;   https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/  Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024""";3.3
KR;Korea;anninc999i;p0p100;"KRW; South Korean won";National income. Average All Ages. individuals;Average National income within the p0p100 percentile group. National income aims to measure the total income available to the residents of a given country. It is equal to the gross domestic product (the total value of goods and services produced on the territory of a given country during a given year), minus fixed capital used in production processes (e.g. replacement of obsolete machines or maintenance of roads) plus the net foreign income earned by residents in the rest of the world.// National income has many limitations. However it is the only income concept that has an internationally agreed definition (established by the United Nations System of National Accounts, see SNA 2008). So we use it as our reference concept (with tax havens correction). To be improved.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;[National income]=[Net domestic product]+[Net foreign income];"1800-1969: This variable was calculated using the variables yconfc, ynnfin; 1970-2025: This variable was calculated using the variables gdpro, confc, nnfin; For more details on the latest data update round, see [URL][URL_LINK]https://wid.world/document/extending-wid-national-accounts-series-institutional-sectors-and-factor-shares-world-inequality-lab-technical-note-2025-03/[/URL_LINK][URL_TEXT] Gomez-Carrera, R., Moshirf, R., Nievas, G., Piketty, T. (2024) Global Inequality Update 2024:New Insights from Extended WID Macro Series[/URL_TEXT][/URL]; For more details on the WID.world methods, see [URL][URL_LINK]https://wid.world/document/distributional-national-accounts-dina-guidelines-2025-methods-and-concepts-used-in-the-world-inequality-database/[/URL_LINK][URL_TEXT] Chancel, L., Flores, I., Moshirf, R., Nievas, G., Piketty, T. (2025) Distributional National Accounts Guidelines[/URL_TEXT][/URL]. ";"1800-1969: In-house calculation (see method); 1970-2025: In-house calculation (see method);";
KR;Korea;shweal999j;p90p100;share;Net personal wealth. Share All Ages. equal-split adults;Net personal wealth share held by the p90p100 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts.  The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];The inheritance tax data for 2008-2009 was not used here because of inconsistency of figures in the data. The amount of net personal wealth estimated here is much less than the net household wealth in the National Balance Sheets. The difference could be explained as follows. First, the net household wealth in the National Balance Sheets includes the asset of non-profit sector. Second, the estimate of net personal wealth covers only real estate and financial assets, while other kinds of assets are included in the National Balance Sheets. Third, while the real estates in the National Balance Sheets are those in market prices, they are in government appraisal values, lower than market prices. Considering the share of real estate in the net household wealth is 76% (the average in 2000-2013)  and the total amount in government appraisal values is 67% of that in market prices, the net household wealth would be underestimated as much as 25% at least from the difference in government appraisal values and market prices of real estate. Before 1980, series is constructed based on the trend observed in the fiscal income data available (see sources).;"http://wid.world/document/wealth-inequality-in-korea-2000-2013-journal-of-the-korean-welfare-state-and-social-policy-2018/  Kim, Nak Nyeon(2018), Wealth Inequality in Korea, 2000-2013: Evidence from Inheritance Tax Statistics;   Technote for the update:   https://wid.world/document/global-wealth-inequality-on-wid-world-estimates-and-imputations-world-inequality-lab-technical-note-2025-01/  Bajard, F., Bauluz, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Piketty, T., Sodano, A. (2025), ""Global wealth inequality on WID.world: Estimates and imputations""  ; For long run series,   https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/  Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024""";0.7
KR;Korea;shweal999j;p99p100;share;Net personal wealth. Share All Ages. equal-split adults;Net personal wealth share held by the p99p100 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts.  The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];The inheritance tax data for 2008-2009 was not used here because of inconsistency of figures in the data. The amount of net personal wealth estimated here is much less than the net household wealth in the National Balance Sheets. The difference could be explained as follows. First, the net household wealth in the National Balance Sheets includes the asset of non-profit sector. Second, the estimate of net personal wealth covers only real estate and financial assets, while other kinds of assets are included in the National Balance Sheets. Third, while the real estates in the National Balance Sheets are those in market prices, they are in government appraisal values, lower than market prices. Considering the share of real estate in the net household wealth is 76% (the average in 2000-2013)  and the total amount in government appraisal values is 67% of that in market prices, the net household wealth would be underestimated as much as 25% at least from the difference in government appraisal values and market prices of real estate. Before 1980, series is constructed based on the trend observed in the fiscal income data available (see sources).;"http://wid.world/document/wealth-inequality-in-korea-2000-2013-journal-of-the-korean-welfare-state-and-social-policy-2018/  Kim, Nak Nyeon(2018), Wealth Inequality in Korea, 2000-2013: Evidence from Inheritance Tax Statistics;   Technote for the update:   https://wid.world/document/global-wealth-inequality-on-wid-world-estimates-and-imputations-world-inequality-lab-technical-note-2025-01/  Bajard, F., Bauluz, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Piketty, T., Sodano, A. (2025), ""Global wealth inequality on WID.world: Estimates and imputations""  ; For long run series,   https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/  Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024""";0.7
