company_or_aggregate,use_category,year,value,unit,note
Tehran Regional Electric Co.,total,1968,1055,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",
Tehran Regional Electric Co.,total,1970,1650,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",
Tehran Regional Electric Co.,total,1971,2099,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",
Tehran Regional Electric Co.,industrial,1968,296,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",
Tehran Regional Electric Co.,industrial,1970,466,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",
Tehran Regional Electric Co.,industrial,1971,701,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",
Tehran Regional Electric Co.,agricultural,1968,33,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",
Tehran Regional Electric Co.,agricultural,1970,38,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",
Tehran Regional Electric Co.,agricultural,1971,57,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",
Tehran Regional Electric Co.,street_lighting,1968,96,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",
Tehran Regional Electric Co.,street_lighting,1970,142,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",
Tehran Regional Electric Co.,street_lighting,1971,180,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",
Tehran Regional Electric Co.,domestic,1968,403,"million kWh (GWh) -- unit not explicitly printed on this source page; inferred from context and cross-checked plausible against Iran's known total generation scale c.1971 (~7.2 TWh); flagged, not fabricated",
