Type of data	Macroeconomic aggregates: Nivel 1	Macroeconomic aggregates: Nivel 2	Levels and rates	Period	Total
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2025QIV	""
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2025QIII	""
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2025QII	""
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2025QI	""
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2024QIV	""
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2024QIII	""
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2024QII	388,430
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2024QI	368,361
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2023QIV	385,409
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2023QIII	360,186
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2023QII	366,637
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2023QI	349,657
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2022QIV	360,022
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2022QIII	334,461
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2022QII	337,076
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2022QI	314,818
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2021QIV	333,207
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2021QIII	303,868
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2021QII	303,303
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2021QI	281,912
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2020QIV	299,401
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2020QIII	281,221
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2020QII	249,849
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2020QI	288,539
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2019QIV	324,405
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2019QIII	306,040
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2019QII	315,796
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2019QI	299,272
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2018QIV	315,126
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2018QIII	297,036
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2018QII	304,986
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2018QI	286,711
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2017QIV	303,864
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2017QIII	287,586
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2017QII	294,313
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2017QI	276,729
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2016QIV	290,561
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2016QIII	275,938
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2016QII	281,932
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2016QI	265,989
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2015QIV	281,976
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2015QIII	266,501
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2015QII	272,258
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2015QI	257,357
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2014QIV	268,559
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2014QIII	254,893
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2014QII	260,847
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2014QI	248,309
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2013QIV	263,157
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2013QIII	251,282
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2013QII	259,311
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2013QI	246,927
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2012QIV	262,924
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2012QIII	253,340
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2012QII	262,527
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2012QI	252,313
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2011QIV	273,070
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2011QIII	259,493
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2011QII	272,481
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2011QI	258,719
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2010QIV	279,971
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2010QIII	261,706
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2010QII	273,434
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2010QI	257,598
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2009QIV	278,420
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2009QIII	260,550
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2009QII	272,044
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2009QI	258,309
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2008QIV	286,664
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2008QIII	269,860
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2008QII	285,050
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2008QI	267,967
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2007QIV	285,566
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2007QIII	260,915
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2007QII	272,717
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2007QI	256,341
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2006QIV	266,246
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2006QIII	245,044
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2006QII	254,165
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2006QI	238,368
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Base data	2005QIV	245,907
