date_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,citation
1951-03-14,1951,Foreign aid,Export-Import Bank loan (proposed),25000000,USD,Proposed EXIM Bank loan for road building and agricultural improvement; Iran had not yet accepted as of this NSC draft policy statement.,IRN,frus-iran-1951-54,"FRUS 1952-1954, Iran, 1951-1954, Document 6: Draft Statement of Policy Proposed by the National Security Council, Washington, March 14, 1951, PDF p. 65 (printed p. 28)"
1951-04-05,1951,Foreign aid,"Export-Import Bank loan (pending, referenced)",25000000,USD,Same $25 million EXIM loan referenced as still pending in this NIE discussing Iran's likely course of action.,IRN,frus-iran-1951-54,"FRUS 1952-1954, Iran, 1951-1954, Document 13: National Intelligence Estimate, Washington, April 5, 1951, PDF p. 97 (printed p. 60)"
1951-07-11,1951,Oil production & trade,Iranian oil share of free world crude oil supply,7,percent,Estimated share of the free world's crude oil supply accounted for by Iranian production before the shutdown.,IRN,frus-iran-1951-54,"FRUS 1952-1954, Iran, 1951-1954, Document 39: Intelligence Memorandum Prepared in the Office of Current Intelligence, CIA (SIC No. 9750), ""Effects of Closing Down the Iranian Oil Industry"", Washington, July 11, 1951, PDF p. 153 (printed p. 116)"
1951-07-11,1951,Oil production & trade,Iranian oil share of free world refined products supply,5.3,percent,Estimated share of free world refined petroleum products supply from Iran.,IRN,frus-iran-1951-54,"FRUS 1952-1954, Iran, 1951-1954, Document 39: Intelligence Memorandum Prepared in the Office of Current Intelligence, CIA (SIC No. 9750), ""Effects of Closing Down the Iranian Oil Industry"", Washington, July 11, 1951, PDF p. 153 (printed p. 116)"
1951-07-11,1951,Oil production & trade,Continental Western Europe refined-products dependence on Iran,31,percent,Share of Continental Western Europe's refined products secured from Iran.,IRN,frus-iran-1951-54,"FRUS 1952-1954, Iran, 1951-1954, Document 39: Intelligence Memorandum Prepared in the Office of Current Intelligence, CIA (SIC No. 9750), ""Effects of Closing Down the Iranian Oil Industry"", Washington, July 11, 1951, PDF p. 153 (printed p. 116)"
1951-07-11,1951,Oil production & trade,Continental Western Europe crude-oil dependence on Iran,16,percent,Share of Continental Western Europe's crude oil secured from Iran.,IRN,frus-iran-1951-54,"FRUS 1952-1954, Iran, 1951-1954, Document 39: Intelligence Memorandum Prepared in the Office of Current Intelligence, CIA (SIC No. 9750), ""Effects of Closing Down the Iranian Oil Industry"", Washington, July 11, 1951, PDF p. 153 (printed p. 116)"
1951-07-11,1951,Oil production & trade,UK domestic needs supplied by AIOC,25,percent,Share of UK domestic petroleum needs supplied by the Anglo-Iranian Oil Company.,IRN,frus-iran-1951-54,"FRUS 1952-1954, Iran, 1951-1954, Document 39: Intelligence Memorandum Prepared in the Office of Current Intelligence, CIA (SIC No. 9750), ""Effects of Closing Down the Iranian Oil Industry"", Washington, July 11, 1951, PDF p. 153 (printed p. 116)"
1951-07-11,1951,Oil production & trade,South Asia oil dependence on Iran,70,percent,"""Close to 70%"" of South Asia's oil and oil products supplied by Iran.",IRN,frus-iran-1951-54,"FRUS 1952-1954, Iran, 1951-1954, Document 39: Intelligence Memorandum Prepared in the Office of Current Intelligence, CIA (SIC No. 9750), ""Effects of Closing Down the Iranian Oil Industry"", Washington, July 11, 1951, PDF p. 153 (printed p. 116)"
1951-07-11,1951,Oil production & trade,Abadan refinery lost output if closed,550000,barrels/day,"Loss of refined products from Abadan estimated at 550,000 barrels (~78,570 metric tons) per day -- the most serious world-supply repercussion of a shutdown.",IRN,frus-iran-1951-54,"FRUS 1952-1954, Iran, 1951-1954, Document 39: Intelligence Memorandum Prepared in the Office of Current Intelligence, CIA (SIC No. 9750), ""Effects of Closing Down the Iranian Oil Industry"", Washington, July 11, 1951, PDF p. 153 (printed p. 116)"
1951-07-11,1951,Oil production & trade,Haifa refinery utilization,25,percent of 85000 bbl/day capacity,"Haifa refinery (Israel) operating at ~25% of its 85,000 barrels (~12,140 metric tons)/day capacity at the time of the report.",IRN,frus-iran-1951-54,"FRUS 1952-1954, Iran, 1951-1954, Document 39: Intelligence Memorandum Prepared in the Office of Current Intelligence, CIA (SIC No. 9750), ""Effects of Closing Down the Iranian Oil Industry"", Washington, July 11, 1951, PDF p. 153 (printed p. 116)"
