date_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,citation
as of Jan 1973,1973,Military expenditure,MAAG advisors in Iran,140,count,To be supplemented within a year by ~900 temporary military technicians.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 1 (Jan 9 1973), PDF p.52"
cumulative to 1973,1973,Military expenditure,Iranian military personnel trained in the US,"11,000+",count,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 1 (Jan 9 1973), PDF p.52"
through FY1973 (cumulative),1973,Military expenditure,"US grant assistance to Iran (cumulative, until FY1973)",840,million USD,Plus about another $1 billion in credit for hardware and services.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 1 (Jan 9 1973), PDF p.52"
FY1973,1973,Military expenditure,"US-Iran arms purchase commitments, FY1973",up to 3,billion USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 1 (Jan 9 1973), PDF p.52"
as of 1973,1973,Demographics & Population,Rural population share,57,percent,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 1 (Jan 9 1973), PDF p.56"
as of 1973,1973,Demographics & Population,Literacy rate,35,percent,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 1 (Jan 9 1973), PDF p.56"
annual,1973,Military expenditure,Annual military conscription,"60,000-80,000",persons/year,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 1 (Jan 9 1973), PDF p.56"
"current budget (1352, Mar1972-Mar1973)",1973,Military expenditure,"Military expenditures, current budget vs actual outlay",1.3 billion budgeted / 1.8 billion actual,billion USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 1 (Jan 9 1973), PDF p.56"
this year vs FY1976,1976,Military expenditure,"Military loan repayments abroad, expected rise",220 (current) -> at least 400 (FY1976),million USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 1 (Jan 9 1973), PDF p.56"
1973 (initial 1954 agreement backdrop),1973,Oil production & trade,Consortium's 1954 operating concession extension under 1972 agreement,to 1994,year,Extension negotiated in the 1972 package settlement.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 7 (Feb 2 1973), PDF p.72"
1973-1981,1981,Oil production & trade,"NIOC direct-marketed oil, planned increase","200,000 (1973) -> 1.5 million (1981)",barrels/day,Under the new March 1973 oil agreement replacing the 1954 consortium agreement.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 10 (March 1 1973), PDF p.77"
Iranian year 1352 (Mar1972-Mar1973),1973,Government Finance,GOI budget understatement of actual spending,7,percent,Per Embassy First Secretary Alexander Rattray's assessment of the 1352 National Budget.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 11 (March 1973 (letter)), PDF p.76"
1352 budget,1973,Government Finance,Rise in 'General' (social) expenditures category,38,percent,Partly attributed to military expenditures hidden in the development side of the budget.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 11 (March 1973 (letter)), PDF p.76"
"next plan period (projected, 1973 estimate)",1978,Military expenditure,Estimated defense spending for the next development plan period,16-18,billion USD,Estimated to require a third or more of all Iranian borrowings and revenues.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 11 (March 1973 (letter)), PDF p.76"
1973,1973,Military expenditure,Iranian arms purchase noted in press reports,2,billion USD,Described in Embassy cable as a recent Shah purchase decision.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 11 (March 1973), PDF p.76"
1973,1973,Foreign aid,US aid held back from Jordan (Kissinger-Shah discussion),10,million USD,To increase pressure on Saudi Arabia to contribute more to Jordan.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 27 (July 24 1973), PDF p.141"
1973,1973,Foreign aid,Additional Jordan aid need (Kissinger estimate),about 30,million USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 27 (July 24 1973), PDF p.141"
Oct 1973,1973,Oil production & trade,Saudi Arabia oil production cutback,10,percent,Plus an embargo on exports to the United States.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 41 (Oct 30 1973), PDF p.194"
Nov 1973,1973,Oil production & trade,"Iran oil production, present level",5.6,million barrels/day,Full production potential of 8 million barrels/day not expected until 1976.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 43 (Nov 9 1973), PDF p.198"
1976 (projected),1976,Oil production & trade,"Iran full oil production potential, projected",8,million barrels/day,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 43 (Nov 9 1973), PDF p.198"
Dec 23 1973 (Tehran OPEC meeting),1974,Oil production & trade,New OPEC posted price for Persian Gulf crude,11.60,USD/barrel,"An increase of more than 100 percent, announced by Iran's Amouzegar.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 49 (Dec 29 1973), PDF p.207"
"1974 (US assessment, Dec 1973)",1974,Oil production & trade,Projected world oil bill for 1974,about 100,billion USD,"More than double the prior level, equal to about one-fifth of the Free World's imports value, per US preliminary assessment.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 49 (Dec 29 1973), PDF p.208"
"1974 (US assessment, Dec 1973)",1974,Balance of Payments,"Projected additional US oil import cost, 1974",at least 10,billion USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 49 (Dec 29 1973), PDF p.208"
"1974 (US assessment, Dec 1973)",1974,Balance of Payments,"Projected additional Western Europe oil import cost, 1974",at least 23,billion USD,Comparator figure cited alongside US/Japan/developing-country impact estimates.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 49 (Dec 29 1973), PDF p.208"
"1974 (US assessment, Dec 1973)",1974,Balance of Payments,"Projected additional Japan oil import cost, 1974",at least 8,billion USD,Comparator figure cited alongside US/Western Europe impact estimates.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 49 (Dec 29 1973), PDF p.208"
"1974 (US assessment, Dec 1973)",1974,Balance of Payments,"Projected additional developing-country oil import cost, 1974",at least 9,billion USD,Comparator figure cited alongside US/Western Europe/Japan impact estimates.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 49 (Dec 29 1973), PDF p.208"
Dec 28 1973 (Kissinger meeting),1974,Government Finance,Estimated 'oil increase to us' per Colby remark,10,billion USD,"William Colby's comment in a Dec 28, 1973 Kissinger meeting on the price rise's fiscal impact.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 49 (Dec 29 1973), PDF p.207"
Jan 1974,1974,Foreign investment,IBRD loan to Iran under Treasury review,75,million USD,Ambassador Helms urged the US not to block the loan.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 53 (Jan 29 1974), PDF p.214"
1983 target,1983,Manufacturing,Shah's target for Iranian steel production,15,million tons/year,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 59 (April 25 1974), PDF p.231"
coming year (from March 1974),1975,Trade,"Total Iranian imports, expected rise",more than 66,percent,"Following the March 19, 1974 anti-inflationary import liberalization measures.",IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 60 (March 1974), PDF p.235"
1974,1974,Foreign investment,OECD countries' economic deals with Iran,18 billion or more,USD,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 62 (June 26 1974), PDF p.239"
past six months (from mid-1974),1974,Foreign investment,Heads of state/ministers/economic delegations visiting Tehran seeking aid or trade,over 30,count,,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 62 (June 26 1974), PDF p.239"
July 1974 (announced),1974,Foreign aid,Iran advance to France (over 3 years),1,billion USD,Prepayment of imports needed in joint ventures.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 62 (June 26 1974), PDF p.239"
July 1974 (announced),1974,Foreign aid,Iran advance/loans to United Kingdom,1.2,billion USD,Mostly in loans.,IRN,frus-iran-1973-76-oil-boom-era,"FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 62 (June 26 1974), PDF p.239"
