year,scope,figure_type,value_kg,description,source_name,source_url
1998,Iran only,Actual wild-origin caviar exports (A. gueldenstaedtii/Russian sturgeon),40000,"Iran exported 40 tonnes of wild-origin Russian-sturgeon caviar in 1998, second only to Russia's 46 tonnes, out of a 95.3-tonne total among all range states -- the baseline year before CITES's 1998 Appendix-II listing of all sturgeon species took effect.","CITES Animals Committee document AC.16.7.2 (via WebSearch synthesis; direct PDF fetch blocked, see manifest)",https://cites.org/sites/default/files/eng/com/ac/16/16-7-2a3.pdf
1998-2004,Iran only,Cumulative actual caviar exports (all species),480000,"Iran exported over 480 tonnes of caviar cumulatively 1998-2004 -- the single largest national exporter over this period, ahead of Russia (210t), Kazakhstan (85t), and China (29t). Global legal caviar trade over the same period exceeded 1,300 tonnes.",Academic literature via WebSearch synthesis (International Trade in Sturgeon and Paddlefish Species -- the Effect of CITES listing),https://www.researchgate.net/publication/264465053_International_Trade_in_Sturgeon_and_Paddlefish_Species_-_the_Effect_of_CITES_listing
1999,Global (all Acipenseriformes range states),Total export quota ceiling,250000,Global Acipenseriformes export quotas exceeded 250 tonnes in 1999 -- the marked starting point of a declining trend through 2005 (see 2005 row). NOT Iran-specific -- Iran's individual share within this total not found this round.,Academic literature via WebSearch synthesis,https://www.researchgate.net/publication/264465053_International_Trade_in_Sturgeon_and_Paddlefish_Species_-_the_Effect_of_CITES_listing
2001-06,Iran only,Policy milestone (not a quantity),,"CITES suspended ALL commercial caviar trade by Azerbaijan, Kazakhstan, Turkmenistan, and Russia under the 'Paris Agreement' in June 2001, citing inadequate management systems -- Iran was explicitly EXEMPTED from this suspension because it had a functioning sturgeon-management system, making Iran effectively the dominant (and for some species the only major legal) global caviar exporter for a period after mid-2001.",WebSearch synthesis of multiple sources incl. caspianmonarque.com trade-history summary,https://caspianmonarque.com/caviar-from-iran/
2001,Caspian-wide (all range states combined),Total caviar export quota,153620,"Caspian-wide caviar export quota total for 2001: 153,620 kg. NOT Iran-specific -- a per-country breakdown was not found this round (genuine gap).","UN press release (press.un.org, ECO/36 doc, reporting on CITES Secretariat 2003 quota announcement which cites 2001/2002 figures for comparison)",https://press.un.org/en/2003/eco36.doc.htm
2002,Caspian-wide (all range states combined),Total caviar export quota,142237,"Caspian-wide caviar export quota total for 2002: 142,237 kg.","UN press release (press.un.org, ECO/36 doc)",https://press.un.org/en/2003/eco36.doc.htm
2003,Caspian-wide (all range states combined),Total caviar export quota,146760,"Caspian-wide caviar export quota total for 2003: 146,760 kg -- CITES Secretariat's press release explicitly frames this as reflecting recovering Beluga stocks (more fish spawning, more going to hatchery production vs. commercial caviar production) even though the raw 2003 figure sits between the 2001 and 2002 totals rather than showing a clean monotonic trend.","CITES press release 'CITES authorizes 2003 caviar quotas as Caspian Sea sturgeon stocks start to recover' (via UN press release mirror, since cites.org itself is Cloudflare-blocked)",https://press.un.org/en/2003/eco36.doc.htm
2005,Global (all Acipenseriformes range states),Total export quota ceiling,110000,"Global Acipenseriformes export quotas fell to 110 tonnes by 2005, continuing the decline from the >250t 1999 starting point. NOT Iran-specific.",Academic literature via WebSearch synthesis,https://www.researchgate.net/publication/264465053_International_Trade_in_Sturgeon_and_Paddlefish_Species_-_the_Effect_of_CITES_listing
2006,Iran only,Export quota (all sturgeon species combined),44370,"Iran's 2006 CITES-authorized caviar export quota: 44,370 kg -- the same figure already captured in this project's Round 35 finding (data/raw/iran-caviar-exports/cites-caviar-export-quota-2006/), reproduced here for continuity within this expanded timeline. Announced alongside Bulgaria (4.6t), China (2.3t), and Romania (1.8t) -- Iran's quota alone (44.4t) was larger than all three other authorized exporters COMBINED (8.7t), most Beluga exports having been suspended for other range states by this point.","UN News summary of CITES Secretariat announcement (already-cited Round 35 source, reproduced for continuity)",https://news.un.org/en/story/2006/04/175582-hold-caviar-un-backed-body-bans-export-most-endangered-sturgeon
1998-2006,Iran only,Qualitative ranking,,"Iran was the world's largest exporter of caviar for the entire 1998-2006 window, per multiple independent trade-history summaries.","caspianmonarque.com (trade-history summary, cross-checked against the 1998 and 1998-2004 quantitative figures above which independently support the same 'largest exporter' ranking)",https://caspianmonarque.com/caviar-from-iran/
