country_iso3,indicator_id,date,year,value,unit,source_dataset,notes
GLOBAL,gold_ounce_spot_usd,2026-07-14,2026,4020.49,USD per troy ounce,brsapi_commodity_XAUUSD,"BrsAPI انس طلا (XAUUSD), global USD spot price. SINGLE SNAPSHOT -- free tier has no history, so this is one point, not a series. Reference/seed data only; NOT proposed as a chart (a chart must be a measure over time). Time 14:38 Tehran (1405/04/23)."
GLOBAL,silver_ounce_spot_usd,2026-07-14,2026,57.86,USD per troy ounce,brsapi_commodity_XAGUSD,"BrsAPI انس نقره (XAGUSD), global USD spot price. SINGLE SNAPSHOT -- free tier has no history, so this is one point, not a series. Reference/seed data only; NOT proposed as a chart (a chart must be a measure over time). Time 14:38 Tehran (1405/04/23)."
GLOBAL,platinum_ounce_spot_usd,2026-07-14,2026,1609,USD per troy ounce,brsapi_commodity_XPTUSD,"BrsAPI انس پلاتین (XPTUSD), global USD spot price. SINGLE SNAPSHOT -- free tier has no history, so this is one point, not a series. Reference/seed data only; NOT proposed as a chart (a chart must be a measure over time). Time 14:38 Tehran (1405/04/23)."
GLOBAL,palladium_ounce_spot_usd,2026-07-14,2026,1255,USD per troy ounce,brsapi_commodity_XPDUSD,"BrsAPI انس پالادیوم (XPDUSD), global USD spot price. SINGLE SNAPSHOT -- free tier has no history, so this is one point, not a series. Reference/seed data only; NOT proposed as a chart (a chart must be a measure over time). Time 14:38 Tehran (1405/04/23)."
GLOBAL,copper_spot_usd,2026-07-14,2026,13605.38,USD per metric ton,brsapi_commodity_Cu,"BrsAPI مس (Cu), global USD spot price. SINGLE SNAPSHOT -- free tier has no history, so this is one point, not a series. Reference/seed data only; NOT proposed as a chart (a chart must be a measure over time). Time 14:38 Tehran (1405/04/23)."
GLOBAL,aluminum_spot_usd,2026-07-14,2026,3166.25,USD per metric ton,brsapi_commodity_Al,"BrsAPI آلومینیوم (Al), global USD spot price. SINGLE SNAPSHOT -- free tier has no history, so this is one point, not a series. Reference/seed data only; NOT proposed as a chart (a chart must be a measure over time). Time 14:38 Tehran (1405/04/23)."
GLOBAL,zinc_spot_usd,2026-07-14,2026,3585.4,USD per metric ton,brsapi_commodity_Zn,"BrsAPI روی (Zn), global USD spot price. SINGLE SNAPSHOT -- free tier has no history, so this is one point, not a series. Reference/seed data only; NOT proposed as a chart (a chart must be a measure over time). Time 14:38 Tehran (1405/04/23)."
GLOBAL,lead_spot_usd,2026-07-14,2026,1858.03,USD per metric ton,brsapi_commodity_Pb,"BrsAPI سرب (Pb), global USD spot price. SINGLE SNAPSHOT -- free tier has no history, so this is one point, not a series. Reference/seed data only; NOT proposed as a chart (a chart must be a measure over time). Time 14:37 Tehran (1405/04/23)."
GLOBAL,nickel_spot_usd,2026-07-14,2026,16704.88,USD per metric ton,brsapi_commodity_Ni,"BrsAPI نیکل (Ni), global USD spot price. SINGLE SNAPSHOT -- free tier has no history, so this is one point, not a series. Reference/seed data only; NOT proposed as a chart (a chart must be a measure over time). Time 14:38 Tehran (1405/04/23)."
GLOBAL,brent_crude_spot_usd,2026-07-14,2026,87.2,USD per barrel,brsapi_commodity_BRENT,"BrsAPI نفت برنت (BRENT), global USD spot price. SINGLE SNAPSHOT -- free tier has no history, so this is one point, not a series. Reference/seed data only; NOT proposed as a chart (a chart must be a measure over time). Time 14:38 Tehran (1405/04/23)."
GLOBAL,wti_crude_spot_usd,2026-07-14,2026,80.85,USD per barrel,brsapi_commodity_WTI,"BrsAPI نفت سبک (WTI), global USD spot price. SINGLE SNAPSHOT -- free tier has no history, so this is one point, not a series. Reference/seed data only; NOT proposed as a chart (a chart must be a measure over time). Time 14:38 Tehran (1405/04/23)."
GLOBAL,natural_gas_spot_usd,2026-07-14,2026,2.888,USD per mmBtu,brsapi_commodity_GAS,"BrsAPI گاز طبیعی (GAS), global USD spot price. SINGLE SNAPSHOT -- free tier has no history, so this is one point, not a series. Reference/seed data only; NOT proposed as a chart (a chart must be a measure over time). Time 14:37 Tehran (1405/04/23)."
GLOBAL,rbob_gasoline_spot_usd,2026-07-14,2026,3.2514,USD per gallon,brsapi_commodity_RBOB,"BrsAPI بنزین (RBOB), global USD spot price. SINGLE SNAPSHOT -- free tier has no history, so this is one point, not a series. Reference/seed data only; NOT proposed as a chart (a chart must be a measure over time). Time 14:38 Tehran (1405/04/23)."
GLOBAL,gasoil_spot_usd,2026-07-14,2026,1157.49,USD per metric ton,brsapi_commodity_GASOIL,"BrsAPI گازوییل (GASOIL), global USD spot price. SINGLE SNAPSHOT -- free tier has no history, so this is one point, not a series. Reference/seed data only; NOT proposed as a chart (a chart must be a measure over time). Time 14:37 Tehran (1405/04/23)."
