category,subcategory,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973
Money and Quasi Money,,12.5,12.9,10.8,13.2,15.2,23.6,31.0,30.4,30.0,60.6,103.0
Money and Quasi Money,Money,3.9,5.2,4.9,6.4,6.5,10.3,10.8,2.5,7.0,19.6,41.6
Money and Quasi Money,Quasi Money,8.6,7.7,5.9,6.8,8.7,13.3,20.2,27.9,23.0,41.0,61.4
Foreign Assets (net),,3.0,2.7,7.6,-4.4,-2.5,-2.3,-6.0,-5.1,-20.9,36.8,33.8
Domestic Assets (net),,9.4,12.3,7.4,27.4,21.2,33.7,40.7,46.5,58.3,34.1,97.6
Domestic Assets (net),Claims on private sector,10.8,11.4,15.2,14.1,19.0,21.1,24.9,31.4,31.6,47.4,84.8
Domestic Assets (net),Claims on public sector (net),-1.4,0.9,-7.8,13.3,2.2,12.6,15.8,15.1,26.7,-13.3,12.8
Domestic Assets (net),National Government (net),0.6,5.4,8.8,3.4,4.7,14.4,10.7,25.3,31.4,-5.6,25.0
Domestic Assets (net),Official Entities (net),-2.0,-4.5,-16.6,9.9,-2.5,-1.8,5.1,-10.2,-4.7,-7.7,-12.1
Other Items (net; increase = -),,0.1,-2.1,-4.2,-9.8,-3.5,-7.8,-3.7,-11.0,-7.4,-10.3,-28.4
Other Items (net; increase = -),Import Deposits,0,0,-2.6,-2.2,-2.3,-2.4,2.2,-0.5,0.3,-2.8,-5.4
Other Items (net; increase = -),Capital Accounts,-0.8,-0.8,-2.6,-4.3,-2.2,-2.5,-2.4,-2.6,-6.0,-3.5,-11.5
Other Items (net; increase = -),Other Items,0.9,-1.3,1.0,-3.3,1.0,-2.9,-3.5,-7.9,-1.7,-4.0,-11.5
