country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,notes
IRN,Iran,1968,1520,thousand metric tons,gypsum,Gypsum,usgs-minerals-yearbook:MYB1970v3,flag=revised
IRN,Iran,1969,1596,thousand metric tons,gypsum,Gypsum,usgs-minerals-yearbook:MYB1970v3,
IRN,Iran,1970,1676,thousand metric tons,gypsum,Gypsum,usgs-minerals-yearbook:MYB1970v3,
IRN,Iran,1973,3000,thousand metric tons,gypsum,Gypsum,usgs-minerals-yearbook:MYB1975v3,
IRN,Iran,1974,4000,thousand metric tons,gypsum,Gypsum,usgs-minerals-yearbook:MYB1975v3,
IRN,Iran,1975,5400,thousand metric tons,gypsum,Gypsum,usgs-minerals-yearbook:MYB1975v3,flag=preliminary
IRN,Iran,1976,6500,thousand metric tons,gypsum,Gypsum,usgs-minerals-yearbook:MYB1980v3,
IRN,Iran,1977,6900,thousand metric tons,gypsum,Gypsum,usgs-minerals-yearbook:MYB1980v3,
IRN,Iran,1978,8000,thousand metric tons,gypsum,Gypsum,usgs-minerals-yearbook:MYB1980v3,flag=estimate
IRN,Iran,1979,7000,thousand metric tons,gypsum,Gypsum,usgs-minerals-yearbook:MYB1980v3,
IRN,Iran,1980,7000,thousand metric tons,gypsum,Gypsum,usgs-minerals-yearbook:MYB1980v3,
