year,metric,value,unit,source,notes
1994,Carpet export value,2132,million USD,"farahancarpet.com, 'Export of Iranian handmade carpets and shocking statistics from it!'","Cited as the all-time historical peak year for Iranian handwoven carpet export value; figure repeated consistently across multiple secondary sources (also cited by Iran International)."
2017,Carpet export value,426,million USD,"Radio Farda (RFE/RL), 'After 2017 Peak Iran Carpet Exports Drop Sharply', 10 June 2020","Attributed to 'latest official data' (Iran National Carpet Center). Post-JCPOA (2015 nuclear deal) peak; US imported 28% of Iran's carpet exports that year, the largest single destination."
2018,Carpet export value,238,million USD,"Radio Farda (RFE/RL), 'After 2017 Peak Iran Carpet Exports Drop Sharply', 10 June 2020","Same source as 2017 figure. Note: a separate secondary source (kohantextilejournal.com) claims carpet exports were $430 million in 2018, which appears to conflate the 2017 peak; the Radio Farda figure is preferred here as it explicitly cites 'latest official data' with a clear per-year breakdown."
2019,Carpet export value,69,million USD,"Radio Farda (RFE/RL), 'After 2017 Peak Iran Carpet Exports Drop Sharply', 10 June 2020; corroborated by Iran International, 'Iran's Handwoven Carpet Exports Lowest In 24 Years', 17 Mar 2023","Two independent outlets agree on this figure."
2020,Carpet export value (Q2 only, not annual),2,million USD,"Iran International, 'Iran's Handwoven Carpet Exports Lowest In 24 Years', 17 Mar 2023","Second quarter of 2020 only -- NOT an annual figure, included for context on the pandemic-era collapse. Do not chart alongside annual figures without labeling."
2020,US imports of Iranian carpets (H1 2020),3,million USD,"Radio Farda (RFE/RL), 'After 2017 Peak Iran Carpet Exports Drop Sharply', 10 June 2020, citing U.S. Census Bureau (referred to in source as 'U.S. Statistics Center')","First half of 2020 only. US banned import of Iranian handmade rugs in ~2018 under re-imposed sanctions; this residual figure reflects pre-ban pipeline shipments or re-exports."
2022,Carpet export quantity (11-month, Iranian year 1401),2900,tonnes,"Iran International, 'Iran's Handwoven Carpet Exports Lowest In 24 Years', 17 Mar 2023","First 11 months of Iranian year 1401 (~21 Mar 2022 - ~19 Feb 2023), down 24% from the same period a year earlier (3,800 tonnes, Iranian year 1400). Volume metric, not value -- distinct series from the USD rows above."
2021,Carpet export quantity (11-month, Iranian year 1400),3800,tonnes,"Iran International, 'Iran's Handwoven Carpet Exports Lowest In 24 Years', 17 Mar 2023","First 11 months of Iranian year 1400 (~21 Mar 2021 - ~19 Feb 2022), comparison base for the 2022 figure above."
2022,Carpet and other textile floor covering export value,335.27,million USD,"tradingeconomics.com (sourced to UN Comtrade), 'Iran Exports of carpets and other textile floor coverings'","Broader HS category ('carpets and other textile floor coverings') than the handwoven-only figures above the National Carpet Center reports elsewhere in this file -- includes machine-made carpets too, so not directly comparable to the handwoven-only rows. Sourced by tradingeconomics to UN Comtrade."
2024,Carpet export value (Iranian year ended 20 Mar 2025),39.7,million USD,"Tehran Times [STATE-MEDIA-ATTRIBUTED per project source-reliability rules], 'Iran's annual hand-made carpet export value up about 4%'","Attributed to Zahra Kamani, head of Iran National Carpet Center. Reported ~4% growth vs. prior Iranian year. Exported to 65 countries; Germany, UAE, Japan, and China together over $22 million. Cross-check against independent series: consistent with the continued post-2019 low-tens-of-millions range seen in Radio Farda/Iran International reporting -- no independent (non-state-media) confirmation found for this specific most-recent figure, flagged per bookkeeping rule 4."
