country_iso3,section,item,period,year,quarter,value_million_escudos
PRT,Activo,Disponibilidades líquidas sobre o exterior,Dez 1947,1947,Dez,15628.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Dez 1948,1948,Dez,12285.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Dez 1949,1949,Dez,12343.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Dez 1950,1950,Dez,13371.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Dez 1951,1951,Dez,15629.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Dez 1952,1952,Dez,16074.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Dez 1953,1953,Dez,17542.0
PRT,Activo,Disponibilidades líquidas sobre o exterior,Dez 1954,1954,Dez,18639.0
PRT,Activo,Disponibilidades sobre o exterior,Dez 1947,1947,Dez,15879.0
PRT,Activo,Disponibilidades sobre o exterior,Dez 1948,1948,Dez,12735.0
PRT,Activo,Disponibilidades sobre o exterior,Dez 1949,1949,Dez,12447.0
PRT,Activo,Disponibilidades sobre o exterior,Dez 1950,1950,Dez,13540.0
PRT,Activo,Disponibilidades sobre o exterior,Dez 1951,1951,Dez,15967.0
PRT,Activo,Disponibilidades sobre o exterior,Dez 1952,1952,Dez,16202.0
PRT,Activo,Disponibilidades sobre o exterior,Dez 1953,1953,Dez,17695.0
PRT,Activo,Disponibilidades sobre o exterior,Dez 1954,1954,Dez,18842.0
PRT,Activo,Ouro,Dez 1947,1947,Dez,7031.0
PRT,Activo,Ouro,Dez 1948,1948,Dez,5196.0
PRT,Activo,Ouro,Dez 1949,1949,Dez,4411.0
PRT,Activo,Ouro,Dez 1950,1950,Dez,4773.0
PRT,Activo,Ouro,Dez 1951,1951,Dez,6565.0
PRT,Activo,Ouro,Dez 1952,1952,Dez,7093.0
PRT,Activo,Ouro,Dez 1953,1953,Dez,8950.0
PRT,Activo,Ouro,Dez 1954,1954,Dez,10638.0
PRT,Activo,Outras,Dez 1947,1947,Dez,8848.0
PRT,Activo,Outras,Dez 1948,1948,Dez,7539.0
PRT,Activo,Outras,Dez 1949,1949,Dez,8036.0
PRT,Activo,Outras,Dez 1950,1950,Dez,8767.0
PRT,Activo,Outras,Dez 1951,1951,Dez,9402.0
PRT,Activo,Outras,Dez 1952,1952,Dez,9109.0
PRT,Activo,Outras,Dez 1953,1953,Dez,8745.0
PRT,Activo,Outras,Dez 1954,1954,Dez,8204.0
PRT,Activo,Responsabilidades para com o exterior,Dez 1947,1947,Dez,251.0
PRT,Activo,Responsabilidades para com o exterior,Dez 1948,1948,Dez,450.0
PRT,Activo,Responsabilidades para com o exterior,Dez 1949,1949,Dez,104.0
PRT,Activo,Responsabilidades para com o exterior,Dez 1950,1950,Dez,169.0
PRT,Activo,Responsabilidades para com o exterior,Dez 1951,1951,Dez,338.0
PRT,Activo,Responsabilidades para com o exterior,Dez 1952,1952,Dez,128.0
PRT,Activo,Responsabilidades para com o exterior,Dez 1953,1953,Dez,153.0
PRT,Activo,Responsabilidades para com o exterior,Dez 1954,1954,Dez,203.0
PRT,Activo,Crédito ao Sector Público Administrativo,Dez 1947,1947,Dez,1775.0
PRT,Activo,Crédito ao Sector Público Administrativo,Dez 1948,1948,Dez,1783.0
PRT,Activo,Crédito ao Sector Público Administrativo,Dez 1949,1949,Dez,1732.0
PRT,Activo,Crédito ao Sector Público Administrativo,Dez 1950,1950,Dez,1774.0
PRT,Activo,Crédito ao Sector Público Administrativo,Dez 1951,1951,Dez,1790.0
PRT,Activo,Crédito ao Sector Público Administrativo,Dez 1952,1952,Dez,1983.0
PRT,Activo,Crédito ao Sector Público Administrativo,Dez 1953,1953,Dez,1973.0
PRT,Activo,Crédito ao Sector Público Administrativo,Dez 1954,1954,Dez,1930.0
PRT,Activo,Crédito,Dez 1947,1947,Dez,1355.0
PRT,Activo,Crédito,Dez 1948,1948,Dez,1368.0
PRT,Activo,Crédito,Dez 1949,1949,Dez,1351.0
PRT,Activo,Crédito,Dez 1950,1950,Dez,1342.0
PRT,Activo,Crédito,Dez 1951,1951,Dez,1347.0
PRT,Activo,Crédito,Dez 1952,1952,Dez,1353.0
PRT,Activo,Crédito,Dez 1953,1953,Dez,1354.0
PRT,Activo,Crédito,Dez 1954,1954,Dez,1333.0
PRT,Activo,Títulos de Dívida Pública,Dez 1947,1947,Dez,420.0
PRT,Activo,Títulos de Dívida Pública,Dez 1948,1948,Dez,415.0
PRT,Activo,Títulos de Dívida Pública,Dez 1949,1949,Dez,381.0
PRT,Activo,Títulos de Dívida Pública,Dez 1950,1950,Dez,432.0
PRT,Activo,Títulos de Dívida Pública,Dez 1951,1951,Dez,443.0
PRT,Activo,Títulos de Dívida Pública,Dez 1952,1952,Dez,630.0
PRT,Activo,Títulos de Dívida Pública,Dez 1953,1953,Dez,619.0
PRT,Activo,Títulos de Dívida Pública,Dez 1954,1954,Dez,597.0
PRT,Activo,Crédito a instituições financeiras,Dez 1947,1947,Dez,18.0
PRT,Activo,Crédito a instituições financeiras,Dez 1948,1948,Dez,34.0
PRT,Activo,Crédito a instituições financeiras,Dez 1949,1949,Dez,81.0
PRT,Activo,Crédito a instituições financeiras,Dez 1950,1950,Dez,183.0
PRT,Activo,Crédito a instituições financeiras,Dez 1951,1951,Dez,288.0
PRT,Activo,Crédito a instituições financeiras,Dez 1952,1952,Dez,460.0
PRT,Activo,Crédito a instituições financeiras,Dez 1953,1953,Dez,214.0
PRT,Activo,Crédito a instituições financeiras,Dez 1954,1954,Dez,441.0
PRT,Activo,Crédito a empresas e particulares,Dez 1947,1947,Dez,380.0
PRT,Activo,Crédito a empresas e particulares,Dez 1948,1948,Dez,414.0
PRT,Activo,Crédito a empresas e particulares,Dez 1949,1949,Dez,408.0
PRT,Activo,Crédito a empresas e particulares,Dez 1950,1950,Dez,407.0
PRT,Activo,Crédito a empresas e particulares,Dez 1951,1951,Dez,490.0
PRT,Activo,Crédito a empresas e particulares,Dez 1952,1952,Dez,528.0
PRT,Activo,Crédito a empresas e particulares,Dez 1953,1953,Dez,564.0
PRT,Activo,Crédito a empresas e particulares,Dez 1954,1954,Dez,586.0
PRT,Activo,Total,Dez 1947,1947,Dez,17801.0
PRT,Activo,Total,Dez 1948,1948,Dez,14516.0
PRT,Activo,Total,Dez 1949,1949,Dez,14564.0
PRT,Activo,Total,Dez 1950,1950,Dez,15735.0
PRT,Activo,Total,Dez 1951,1951,Dez,18197.0
PRT,Activo,Total,Dez 1952,1952,Dez,19045.0
PRT,Activo,Total,Dez 1953,1953,Dez,20293.0
PRT,Activo,Total,Dez 1954,1954,Dez,21596.0
PRT,Passivo,Base monetária,Dez 1947,1947,Dez,15391.0
PRT,Passivo,Base monetária,Dez 1948,1948,Dez,13265.0
PRT,Passivo,Base monetária,Dez 1949,1949,Dez,11949.0
PRT,Passivo,Base monetária,Dez 1950,1950,Dez,12692.0
PRT,Passivo,Base monetária,Dez 1951,1951,Dez,15058.0
PRT,Passivo,Base monetária,Dez 1952,1952,Dez,15699.0
PRT,Passivo,Base monetária,Dez 1953,1953,Dez,17229.0
PRT,Passivo,Base monetária,Dez 1954,1954,Dez,18429.0
PRT,Passivo,Notas e moedas,Dez 1947,1947,Dez,9092.0
PRT,Passivo,Notas e moedas,Dez 1948,1948,Dez,9051.0
PRT,Passivo,Notas e moedas,Dez 1949,1949,Dez,8797.0
PRT,Passivo,Notas e moedas,Dez 1950,1950,Dez,8860.0
PRT,Passivo,Notas e moedas,Dez 1951,1951,Dez,9704.0
PRT,Passivo,Notas e moedas,Dez 1952,1952,Dez,9878.0
PRT,Passivo,Notas e moedas,Dez 1953,1953,Dez,10196.0
PRT,Passivo,Notas e moedas,Dez 1954,1954,Dez,10848.0
PRT,Passivo,Depósitos de instituições financeiras,Dez 1947,1947,Dez,6299.0
PRT,Passivo,Depósitos de instituições financeiras,Dez 1948,1948,Dez,4214.0
PRT,Passivo,Depósitos de instituições financeiras,Dez 1949,1949,Dez,3152.0
PRT,Passivo,Depósitos de instituições financeiras,Dez 1950,1950,Dez,3832.0
PRT,Passivo,Depósitos de instituições financeiras,Dez 1951,1951,Dez,5354.0
PRT,Passivo,Depósitos de instituições financeiras,Dez 1952,1952,Dez,5821.0
PRT,Passivo,Depósitos de instituições financeiras,Dez 1953,1953,Dez,7033.0
PRT,Passivo,Depósitos de instituições financeiras,Dez 1954,1954,Dez,7581.0
PRT,Passivo,Operações de absorção de liquidez com o sistema financeiro,Dez 1947,1947,Dez,0.0
PRT,Passivo,Operações de absorção de liquidez com o sistema financeiro,Dez 1948,1948,Dez,0.0
PRT,Passivo,Operações de absorção de liquidez com o sistema financeiro,Dez 1949,1949,Dez,0.0
PRT,Passivo,Operações de absorção de liquidez com o sistema financeiro,Dez 1950,1950,Dez,0.0
PRT,Passivo,Operações de absorção de liquidez com o sistema financeiro,Dez 1951,1951,Dez,0.0
PRT,Passivo,Operações de absorção de liquidez com o sistema financeiro,Dez 1952,1952,Dez,0.0
PRT,Passivo,Operações de absorção de liquidez com o sistema financeiro,Dez 1953,1953,Dez,0.0
PRT,Passivo,Operações de absorção de liquidez com o sistema financeiro,Dez 1954,1954,Dez,0.0
PRT,Passivo,Depósitos do Sector Público Administrativo,Dez 1947,1947,Dez,1612.0
PRT,Passivo,Depósitos do Sector Público Administrativo,Dez 1948,1948,Dez,527.0
PRT,Passivo,Depósitos do Sector Público Administrativo,Dez 1949,1949,Dez,355.0
PRT,Passivo,Depósitos do Sector Público Administrativo,Dez 1950,1950,Dez,752.0
PRT,Passivo,Depósitos do Sector Público Administrativo,Dez 1951,1951,Dez,1046.0
PRT,Passivo,Depósitos do Sector Público Administrativo,Dez 1952,1952,Dez,1427.0
PRT,Passivo,Depósitos do Sector Público Administrativo,Dez 1953,1953,Dez,1403.0
PRT,Passivo,Depósitos do Sector Público Administrativo,Dez 1954,1954,Dez,1676.0
PRT,Passivo,Contrapartida de flutuações cambiais,Dez 1947,1947,Dez,0.0
PRT,Passivo,Contrapartida de flutuações cambiais,Dez 1948,1948,Dez,0.0
PRT,Passivo,Contrapartida de flutuações cambiais,Dez 1949,1949,Dez,0.0
PRT,Passivo,Contrapartida de flutuações cambiais,Dez 1950,1950,Dez,0.0
PRT,Passivo,Contrapartida de flutuações cambiais,Dez 1951,1951,Dez,0.0
PRT,Passivo,Contrapartida de flutuações cambiais,Dez 1952,1952,Dez,0.0
PRT,Passivo,Contrapartida de flutuações cambiais,Dez 1953,1953,Dez,0.0
PRT,Passivo,Contrapartida de flutuações cambiais,Dez 1954,1954,Dez,0.0
PRT,Passivo,Recursos próprios e resultados,Dez 1947,1947,Dez,572.0
PRT,Passivo,Recursos próprios e resultados,Dez 1948,1948,Dez,601.0
PRT,Passivo,Recursos próprios e resultados,Dez 1949,1949,Dez,1963.0
PRT,Passivo,Recursos próprios e resultados,Dez 1950,1950,Dez,1973.0
PRT,Passivo,Recursos próprios e resultados,Dez 1951,1951,Dez,1756.0
PRT,Passivo,Recursos próprios e resultados,Dez 1952,1952,Dez,1766.0
PRT,Passivo,Recursos próprios e resultados,Dez 1953,1953,Dez,1802.0
PRT,Passivo,Recursos próprios e resultados,Dez 1954,1954,Dez,1864.0
PRT,Passivo,Outras responsabilidades (líquidas),Dez 1947,1947,Dez,226.0
PRT,Passivo,Outras responsabilidades (líquidas),Dez 1948,1948,Dez,123.0
PRT,Passivo,Outras responsabilidades (líquidas),Dez 1949,1949,Dez,297.0
PRT,Passivo,Outras responsabilidades (líquidas),Dez 1950,1950,Dez,318.0
PRT,Passivo,Outras responsabilidades (líquidas),Dez 1951,1951,Dez,337.0
PRT,Passivo,Outras responsabilidades (líquidas),Dez 1952,1952,Dez,153.0
PRT,Passivo,Outras responsabilidades (líquidas),Dez 1953,1953,Dez,-141.0
PRT,Passivo,Outras responsabilidades (líquidas),Dez 1954,1954,Dez,-373.0
PRT,Passivo,Total,Dez 1947,1947,Dez,17801.0
PRT,Passivo,Total,Dez 1948,1948,Dez,14516.0
