country_iso3,source_table,table_title,category,code,indicator,unit,year,value
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1941,7759.785
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1942,7826.139
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1943,7894.93
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1944,7973.805
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1945,8055.523
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1946,8138.403
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1947,8216.479
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1948,8307.26
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1949,8398.483
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1950,8439.171
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1951,8493.312
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1952,8556.082
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1953,8581.254
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1954,8605.702
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1955,8640.322
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1956,8683.017
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1957,8712.672
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1958,8749.93
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1959,8800.842
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1960,8857.715
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1961,8929.317
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1962,8993.978
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1963,9030.353
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1964,9035.36
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1965,8998.586
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1966,8930.987
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1967,8874.513
PRT,Q1.1,1.1 - Principais indicadores de população e emprego,Indicadores demográficos,1.1,"População Residente (população média, em milhares)",,1968,8836.643
