section,line_item,foreign_currency_million_rials,local_currency_million_rials,total_million_rials,total_million_usd,notes
A. Dam and other works common to all purposes,"Engineering, Supervision and Administration",150,84,234,,
A. Dam and other works common to all purposes,Land,0,0,0,,shown as nil (dash) in source
A. Dam and other works common to all purposes,Access Roads,91,107,198,,
A. Dam and other works common to all purposes,Dam - Diversion (Tunnels Cofferdams etc.),191,244,435,,
A. Dam and other works common to all purposes,Dam - Excavation,62,102,164,,
A. Dam and other works common to all purposes,Dam - Foundation Preparation,13,26,39,,
A. Dam and other works common to all purposes,Dam - Concrete,261,525,786,,
A. Dam and other works common to all purposes,Dam - Miscellaneous,14,7,21,,
A. Dam and other works common to all purposes,Spillways,173,244,417,,
A. Dam and other works common to all purposes,Sluiceways,31,14,45,,
A. Dam and other works common to all purposes,Sub-total,986,1353,2339,,
A. Dam and other works common to all purposes,Contingencies,91,165,256,,15% on foreign currency component still to be spent; 15% on local currency component still to be spent
A. Dam and other works common to all purposes,TOTAL,1077,1518,2595,34.6,"Allocated equally: Power 865, Irrigation 865, Flood Control 865 (million rials each, one-third each)"
B. Powerhouse and first two units of 65 MW each,"Engineering, Supervision and Administration",94,52,146,,
B. Powerhouse and first two units of 65 MW each,Power Intakes,48,42,90,,
B. Powerhouse and first two units of 65 MW each,Water Conduits,93,136,229,,
B. Powerhouse and first two units of 65 MW each,Powerhouse Civil Works,143,173,316,,
B. Powerhouse and first two units of 65 MW each,Turbines,87,11,98,,
B. Powerhouse and first two units of 65 MW each,Generators,95,15,110,,
B. Powerhouse and first two units of 65 MW each,Auxiliary Equipment,165,51,216,,
B. Powerhouse and first two units of 65 MW each,Step-up Substation at Plant,179,46,225,,
B. Powerhouse and first two units of 65 MW each,Sub-total,904,526,1430,,
B. Powerhouse and first two units of 65 MW each,Contingencies,127,63,190,,15% on foreign currency component still to be spent; 15% on local currency component still to be spent
B. Powerhouse and first two units of 65 MW each,TOTAL,1031,589,1620,21.6,
C. Transmission plant related to first two units,"Engineering, Supervision and Administration",31,4,35,,
C. Transmission plant related to first two units,230 KV Line Dez Dam - Ahwaz (First Circuit),173,27,200,,
C. Transmission plant related to first two units,Primary Step-down Substations,160,16,176,,
C. Transmission plant related to first two units,Secondary Lines and Substations,108,15,123,,
C. Transmission plant related to first two units,Spare Parts,38,0,38,,
C. Transmission plant related to first two units,Sub-total,510,62,572,,
C. Transmission plant related to first two units,Contingencies,54,9,63,,15% on foreign currency component still to be spent; 15% on local currency component still to be spent
C. Transmission plant related to first two units,TOTAL,564,71,635,8.5,
D. Additions to power facilities until 1984 - Third unit,"Civil Works, unit and substation expansion",189,25,214,,
D. Additions to power facilities until 1984 - Third unit,Expansion of transmission plant (incl. second circuit Dez Dam-Ahwaz),196,32,228,,
D. Additions to power facilities until 1984 - Third unit,Sub-total,385,57,442,,
D. Additions to power facilities until 1984 - Fourth unit,"Civil Works, unit and substation expansion",122,21,143,,
D. Additions to power facilities until 1984 - Fourth unit,Expansion of transmission plant,90,10,100,,
D. Additions to power facilities until 1984 - Fourth unit,Sub-total,212,31,243,,
D. Additions to power facilities until 1984 - Fifth unit,"Civil Works, unit and substation expansion",389,223,612,,
D. Additions to power facilities until 1984 - Fifth unit,Expansion of transmission plant,83,9,92,,
D. Additions to power facilities until 1984 - Fifth unit,Sub-total,472,232,704,,
D. Additions to power facilities until 1984 - Sixth unit,"Civil Works, unit and substation expansion",111,19,130,,
D. Additions to power facilities until 1984 - Sixth unit,Expansion of transmission plant,45,5,50,,
D. Additions to power facilities until 1984 - Sixth unit,Sub-total,156,24,180,,
