year,date_if_more_precise,rial_per_usd_parallel,source_confidence,citation,notes
2005,2005-12-10,9082,directly_observed,"Central Bank of the Islamic Republic of Iran, 'Exchange Rates Statistics' page (cbi.ir/ExRates), fa version -- http://web.archive.org/web/20051211063328/http://www.cbi.ir:80/ExRates/rates_fa.aspx","CBI's own official/reference USD exchange rate as published on cbi.ir's 'Exchange Rates Statistics' page (English: /ExRates/rates_en.aspx, Farsi: /ExRates/rates_fa.aspx). This is the single reference rate CBI itself publishes daily; per this project's own established research (2003-2010 unification-era finding), this rate equals the real transactable/parallel-market rate during this specific window (no separate black-market premium reported 2002-2010). Retrieved via Wayback Machine archival capture (cbi.ir itself returns a bot-detection challenge page to automated fetches; Wayback's cached copy of the actual CBI page content was retrievable). Date shown is the date requested via the page's own '?date=' query parameter or, where noted 'crawl-date snapshot', the date the page showed by default at crawl time (verified via the page's own selected-date form field, including Persian-calendar dates converted to Gregorian via the jdatetime library where the Farsi version of the page was captured). crawl-date snapshot."
2005,2005-12-20,9085,directly_observed,"Central Bank of the Islamic Republic of Iran, 'Exchange Rates Statistics' page (cbi.ir/ExRates), fa version -- http://web.archive.org/web/20051221040029/http://www.cbi.ir:80/ExRates/rates_fa.aspx?","CBI's own official/reference USD exchange rate as published on cbi.ir's 'Exchange Rates Statistics' page (English: /ExRates/rates_en.aspx, Farsi: /ExRates/rates_fa.aspx). This is the single reference rate CBI itself publishes daily; per this project's own established research (2003-2010 unification-era finding), this rate equals the real transactable/parallel-market rate during this specific window (no separate black-market premium reported 2002-2010). Retrieved via Wayback Machine archival capture (cbi.ir itself returns a bot-detection challenge page to automated fetches; Wayback's cached copy of the actual CBI page content was retrievable). Date shown is the date requested via the page's own '?date=' query parameter or, where noted 'crawl-date snapshot', the date the page showed by default at crawl time (verified via the page's own selected-date form field, including Persian-calendar dates converted to Gregorian via the jdatetime library where the Farsi version of the page was captured). crawl-date snapshot."
2006,2006-02-06,9117,directly_observed,"Central Bank of the Islamic Republic of Iran, 'Exchange Rates Statistics' page (cbi.ir/ExRates), en version -- http://web.archive.org/web/20060207012045/http://www.cbi.ir:80/ExRates/rates_en.aspx","CBI's own official/reference USD exchange rate as published on cbi.ir's 'Exchange Rates Statistics' page (English: /ExRates/rates_en.aspx, Farsi: /ExRates/rates_fa.aspx). This is the single reference rate CBI itself publishes daily; per this project's own established research (2003-2010 unification-era finding), this rate equals the real transactable/parallel-market rate during this specific window (no separate black-market premium reported 2002-2010). Retrieved via Wayback Machine archival capture (cbi.ir itself returns a bot-detection challenge page to automated fetches; Wayback's cached copy of the actual CBI page content was retrievable). Date shown is the date requested via the page's own '?date=' query parameter or, where noted 'crawl-date snapshot', the date the page showed by default at crawl time (verified via the page's own selected-date form field, including Persian-calendar dates converted to Gregorian via the jdatetime library where the Farsi version of the page was captured). crawl-date snapshot."
2006,2006-02-14,9120,directly_observed,"Central Bank of the Islamic Republic of Iran, 'Exchange Rates Statistics' page (cbi.ir/ExRates), en version -- http://web.archive.org/web/20060225084011/http://www.cbi.ir:80/ExRates/rates_en.aspx?date=2/14/2006","CBI's own official/reference USD exchange rate as published on cbi.ir's 'Exchange Rates Statistics' page (English: /ExRates/rates_en.aspx, Farsi: /ExRates/rates_fa.aspx). This is the single reference rate CBI itself publishes daily; per this project's own established research (2003-2010 unification-era finding), this rate equals the real transactable/parallel-market rate during this specific window (no separate black-market premium reported 2002-2010). Retrieved via Wayback Machine archival capture (cbi.ir itself returns a bot-detection challenge page to automated fetches; Wayback's cached copy of the actual CBI page content was retrievable). Date shown is the date requested via the page's own '?date=' query parameter or, where noted 'crawl-date snapshot', the date the page showed by default at crawl time (verified via the page's own selected-date form field, including Persian-calendar dates converted to Gregorian via the jdatetime library where the Farsi version of the page was captured). explicit ?date= query."
2006,2006-04-03,9144,directly_observed,"Central Bank of the Islamic Republic of Iran, 'Exchange Rates Statistics' page (cbi.ir/ExRates), en version -- http://web.archive.org/web/20060502043849/http://www.cbi.ir:80/ExRates/rates_en.aspx?date=4/3/2006","CBI's own official/reference USD exchange rate as published on cbi.ir's 'Exchange Rates Statistics' page (English: /ExRates/rates_en.aspx, Farsi: /ExRates/rates_fa.aspx). This is the single reference rate CBI itself publishes daily; per this project's own established research (2003-2010 unification-era finding), this rate equals the real transactable/parallel-market rate during this specific window (no separate black-market premium reported 2002-2010). Retrieved via Wayback Machine archival capture (cbi.ir itself returns a bot-detection challenge page to automated fetches; Wayback's cached copy of the actual CBI page content was retrievable). Date shown is the date requested via the page's own '?date=' query parameter or, where noted 'crawl-date snapshot', the date the page showed by default at crawl time (verified via the page's own selected-date form field, including Persian-calendar dates converted to Gregorian via the jdatetime library where the Farsi version of the page was captured). explicit ?date= query."
2006,2006-06-19,9174,directly_observed,"Central Bank of the Islamic Republic of Iran, 'Exchange Rates Statistics' page (cbi.ir/ExRates), en version -- http://web.archive.org/web/20060826091156/http://www.cbi.ir:80/ExRates/rates_en.aspx?date=6/19/2006","CBI's own official/reference USD exchange rate as published on cbi.ir's 'Exchange Rates Statistics' page (English: /ExRates/rates_en.aspx, Farsi: /ExRates/rates_fa.aspx). This is the single reference rate CBI itself publishes daily; per this project's own established research (2003-2010 unification-era finding), this rate equals the real transactable/parallel-market rate during this specific window (no separate black-market premium reported 2002-2010). Retrieved via Wayback Machine archival capture (cbi.ir itself returns a bot-detection challenge page to automated fetches; Wayback's cached copy of the actual CBI page content was retrievable). Date shown is the date requested via the page's own '?date=' query parameter or, where noted 'crawl-date snapshot', the date the page showed by default at crawl time (verified via the page's own selected-date form field, including Persian-calendar dates converted to Gregorian via the jdatetime library where the Farsi version of the page was captured). explicit ?date= query."
2006,2006-09-23,9202,directly_observed,"Central Bank of the Islamic Republic of Iran, 'Exchange Rates Statistics' page (cbi.ir/ExRates), en version -- http://web.archive.org/web/20060924022610/http://www.cbi.ir/ExRates/rates_en.aspx?date=9/23/2006","CBI's own official/reference USD exchange rate as published on cbi.ir's 'Exchange Rates Statistics' page (English: /ExRates/rates_en.aspx, Farsi: /ExRates/rates_fa.aspx). This is the single reference rate CBI itself publishes daily; per this project's own established research (2003-2010 unification-era finding), this rate equals the real transactable/parallel-market rate during this specific window (no separate black-market premium reported 2002-2010). Retrieved via Wayback Machine archival capture (cbi.ir itself returns a bot-detection challenge page to automated fetches; Wayback's cached copy of the actual CBI page content was retrievable). Date shown is the date requested via the page's own '?date=' query parameter or, where noted 'crawl-date snapshot', the date the page showed by default at crawl time (verified via the page's own selected-date form field, including Persian-calendar dates converted to Gregorian via the jdatetime library where the Farsi version of the page was captured). explicit ?date= query."
2006,2006-10-11,9218,directly_observed,"Central Bank of the Islamic Republic of Iran, 'Exchange Rates Statistics' page (cbi.ir/ExRates), en version -- http://web.archive.org/web/20061014004523/http://www.cbi.ir:80/ExRates/rates_en.aspx?date=10/11/2006","CBI's own official/reference USD exchange rate as published on cbi.ir's 'Exchange Rates Statistics' page (English: /ExRates/rates_en.aspx, Farsi: /ExRates/rates_fa.aspx). This is the single reference rate CBI itself publishes daily; per this project's own established research (2003-2010 unification-era finding), this rate equals the real transactable/parallel-market rate during this specific window (no separate black-market premium reported 2002-2010). Retrieved via Wayback Machine archival capture (cbi.ir itself returns a bot-detection challenge page to automated fetches; Wayback's cached copy of the actual CBI page content was retrievable). Date shown is the date requested via the page's own '?date=' query parameter or, where noted 'crawl-date snapshot', the date the page showed by default at crawl time (verified via the page's own selected-date form field, including Persian-calendar dates converted to Gregorian via the jdatetime library where the Farsi version of the page was captured). explicit ?date= query."
2006,2006-11-05,9218,directly_observed,"Central Bank of the Islamic Republic of Iran, 'Exchange Rates Statistics' page (cbi.ir/ExRates), en version -- http://web.archive.org/web/20061105194937/http://www.cbi.ir:80/ExRates/rates_en.aspx","CBI's own official/reference USD exchange rate as published on cbi.ir's 'Exchange Rates Statistics' page (English: /ExRates/rates_en.aspx, Farsi: /ExRates/rates_fa.aspx). This is the single reference rate CBI itself publishes daily; per this project's own established research (2003-2010 unification-era finding), this rate equals the real transactable/parallel-market rate during this specific window (no separate black-market premium reported 2002-2010). Retrieved via Wayback Machine archival capture (cbi.ir itself returns a bot-detection challenge page to automated fetches; Wayback's cached copy of the actual CBI page content was retrievable). Date shown is the date requested via the page's own '?date=' query parameter or, where noted 'crawl-date snapshot', the date the page showed by default at crawl time (verified via the page's own selected-date form field, including Persian-calendar dates converted to Gregorian via the jdatetime library where the Farsi version of the page was captured). crawl-date snapshot."
2006,2006-12-05,9216,directly_observed,"Central Bank of the Islamic Republic of Iran, 'Exchange Rates Statistics' page (cbi.ir/ExRates), en version -- http://web.archive.org/web/20061206104306/http://www.cbi.ir:80/ExRates/rates_en.aspx","CBI's own official/reference USD exchange rate as published on cbi.ir's 'Exchange Rates Statistics' page (English: /ExRates/rates_en.aspx, Farsi: /ExRates/rates_fa.aspx). This is the single reference rate CBI itself publishes daily; per this project's own established research (2003-2010 unification-era finding), this rate equals the real transactable/parallel-market rate during this specific window (no separate black-market premium reported 2002-2010). Retrieved via Wayback Machine archival capture (cbi.ir itself returns a bot-detection challenge page to automated fetches; Wayback's cached copy of the actual CBI page content was retrievable). Date shown is the date requested via the page's own '?date=' query parameter or, where noted 'crawl-date snapshot', the date the page showed by default at crawl time (verified via the page's own selected-date form field, including Persian-calendar dates converted to Gregorian via the jdatetime library where the Farsi version of the page was captured). crawl-date snapshot."
