country_iso3,indicator_id,series,special_or_major_group,weight_pct_in_base_year,year_iranian,year_western,base_year_sh,index_value,pct_change_yoy,pct_change_source,source_dataset,notes
IRN,Wholesale Price Index (WPI),General index,general,100.0,1375,1996-1997,1376,91.0,,,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 66 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),General index,general,100.0,1376,1997-1998,1376,100.0,9.9,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 66 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),General index,general,100.0,1377,1998-1999,1376,116.7,16.7,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 66 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),General index,general,100.0,1378,1999-2000,1376,144.9,24.2,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 66 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),General index,general,100.0,1379,2000-2001,1376,166.3,14.8,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 66 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Domestically produced and consumed goods,major_group,71.75,1375,1996-1997,1376,89.1,,,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 66 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Domestically produced and consumed goods,major_group,71.75,1376,1997-1998,1376,100.0,12.2,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 66 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Domestically produced and consumed goods,major_group,71.75,1377,1998-1999,1376,118.7,18.7,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 66 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Domestically produced and consumed goods,major_group,71.75,1378,1999-2000,1376,145.8,22.8,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 66 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Domestically produced and consumed goods,major_group,71.75,1379,2000-2001,1376,167.4,14.8,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 66 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Imported goods,major_group,24.29,1375,1996-1997,1376,93.6,,,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 66 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Imported goods,major_group,24.29,1376,1997-1998,1376,100.0,6.8,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 66 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Imported goods,major_group,24.29,1377,1998-1999,1376,110.0,10.0,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 66 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Imported goods,major_group,24.29,1378,1999-2000,1376,134.2,22.0,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 66 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Imported goods,major_group,24.29,1379,2000-2001,1376,152.1,13.3,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 66 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Exported goods,major_group,3.96,1375,1996-1997,1376,92.8,,,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 66 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Exported goods,major_group,3.96,1376,1997-1998,1376,100.0,7.8,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 66 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Exported goods,major_group,3.96,1377,1998-1999,1376,121.9,21.9,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 66 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Exported goods,major_group,3.96,1378,1999-2000,1376,195.9,60.7,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 66 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Exported goods,major_group,3.96,1379,2000-2001,1376,234.5,19.7,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1379 (2000/01), Table 66 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),General index,general,100.0,1380,2001-2002,1376,174.7,,,"Central Bank of Iran (CBI), Annual Review 1384 (2005/06), Table 68 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),General index,general,100.0,1381,2002-2003,1376,191.5,9.6,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1384 (2005/06), Table 68 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),General index,general,100.0,1382,2003-2004,1376,210.9,10.1,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1384 (2005/06), Table 68 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),General index,general,100.0,1383,2004-2005,1376,241.9,14.7,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1384 (2005/06), Table 68 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),General index,general,100.0,1384,2005-2006,1376,264.9,9.5,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1384 (2005/06), Table 68 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Domestically produced and consumed goods,major_group,71.75,1380,2001-2002,1376,178.8,,,"Central Bank of Iran (CBI), Annual Review 1384 (2005/06), Table 68 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Domestically produced and consumed goods,major_group,71.75,1381,2002-2003,1376,198.7,11.1,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1384 (2005/06), Table 68 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Domestically produced and consumed goods,major_group,71.75,1382,2003-2004,1376,221.7,11.6,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1384 (2005/06), Table 68 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Domestically produced and consumed goods,major_group,71.75,1383,2004-2005,1376,253.3,14.3,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1384 (2005/06), Table 68 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Domestically produced and consumed goods,major_group,71.75,1384,2005-2006,1376,277.4,9.5,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1384 (2005/06), Table 68 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Imported goods,major_group,24.29,1380,2001-2002,1376,153.3,,,"Central Bank of Iran (CBI), Annual Review 1384 (2005/06), Table 68 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Imported goods,major_group,24.29,1381,2002-2003,1376,159.7,4.2,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1384 (2005/06), Table 68 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Imported goods,major_group,24.29,1382,2003-2004,1376,167.3,4.8,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1384 (2005/06), Table 68 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Imported goods,major_group,24.29,1383,2004-2005,1376,191.5,14.5,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1384 (2005/06), Table 68 (Wholesale Price Index (WPI))",
IRN,Wholesale Price Index (WPI),Imported goods,major_group,24.29,1384,2005-2006,1376,204.2,6.6,computed from adjacent index values in same base-year vintage,"Central Bank of Iran (CBI), Annual Review 1384 (2005/06), Table 68 (Wholesale Price Index (WPI))",
