country_iso3,indicator_id,area,year_iranian,year_western,base_year_sh,cpi_index_general,pct_change_reported_by_source,source_dataset,notes
IRN,"Consumer Price Index of Goods and Services, General Index",Urban,1385,2006-2007,1395,18.6,13.7,"SCI Iran Statistical Yearbook 1399, Table 22.4 (Consumer Price Indices of Goods and Services for Urban Households in Major Groups by Month)","'Percentage change' column as printed in source is ambiguous for the non-consecutive years (1385, 1390) -- likely a multi-year change, not single-year YoY; for 1395-1399 (consecutive years) it is a genuine YoY percentage change. Reported as-is from the source table, not recomputed, to avoid mixing interpretations."
IRN,"Consumer Price Index of Goods and Services, General Index",Urban,1390,2011-2012,1395,43.2,26.4,"SCI Iran Statistical Yearbook 1399, Table 22.4 (Consumer Price Indices of Goods and Services for Urban Households in Major Groups by Month)","'Percentage change' column as printed in source is ambiguous for the non-consecutive years (1385, 1390) -- likely a multi-year change, not single-year YoY; for 1395-1399 (consecutive years) it is a genuine YoY percentage change. Reported as-is from the source table, not recomputed, to avoid mixing interpretations."
IRN,"Consumer Price Index of Goods and Services, General Index",Urban,1395,2016-2017,1395,100.0,6.8,"SCI Iran Statistical Yearbook 1399, Table 22.4 (Consumer Price Indices of Goods and Services for Urban Households in Major Groups by Month)",Single-year YoY percentage change as printed in source.
IRN,"Consumer Price Index of Goods and Services, General Index",Urban,1396,2017-2018,1395,108.1,8.1,"SCI Iran Statistical Yearbook 1399, Table 22.4 (Consumer Price Indices of Goods and Services for Urban Households in Major Groups by Month)",Single-year YoY percentage change as printed in source.
IRN,"Consumer Price Index of Goods and Services, General Index",Urban,1397,2018-2019,1395,136.9,26.6,"SCI Iran Statistical Yearbook 1399, Table 22.4 (Consumer Price Indices of Goods and Services for Urban Households in Major Groups by Month)",Single-year YoY percentage change as printed in source.
IRN,"Consumer Price Index of Goods and Services, General Index",Urban,1398,2019-2020,1395,184.0,34.4,"SCI Iran Statistical Yearbook 1399, Table 22.4 (Consumer Price Indices of Goods and Services for Urban Households in Major Groups by Month)",Single-year YoY percentage change as printed in source.
IRN,"Consumer Price Index of Goods and Services, General Index",Urban,1399,2020-2021,1395,250.6,36.2,"SCI Iran Statistical Yearbook 1399, Table 22.4 (Consumer Price Indices of Goods and Services for Urban Households in Major Groups by Month)",Single-year YoY percentage change as printed in source.
IRN,"Consumer Price Index of Goods and Services, General Index",Rural,1385,2006-2007,1395,15.3,12.4,"SCI Iran Statistical Yearbook 1399, Table 22.7 (Consumer Price Indices of Goods and Services for Rural Households in Major Groups by Month)","'Percentage change' column as printed in source is ambiguous for the non-consecutive years (1385, 1390) -- likely a multi-year change, not single-year YoY; for 1395-1399 (consecutive years) it is a genuine YoY percentage change. Reported as-is from the source table, not recomputed, to avoid mixing interpretations."
IRN,"Consumer Price Index of Goods and Services, General Index",Rural,1390,2011-2012,1395,41.1,36.5,"SCI Iran Statistical Yearbook 1399, Table 22.7 (Consumer Price Indices of Goods and Services for Rural Households in Major Groups by Month)","'Percentage change' column as printed in source is ambiguous for the non-consecutive years (1385, 1390) -- likely a multi-year change, not single-year YoY; for 1395-1399 (consecutive years) it is a genuine YoY percentage change. Reported as-is from the source table, not recomputed, to avoid mixing interpretations."
IRN,"Consumer Price Index of Goods and Services, General Index",Rural,1395,2016-2017,1395,100.0,7.2,"SCI Iran Statistical Yearbook 1399, Table 22.7 (Consumer Price Indices of Goods and Services for Rural Households in Major Groups by Month)",Single-year YoY percentage change as printed in source.
IRN,"Consumer Price Index of Goods and Services, General Index",Rural,1396,2017-2018,1395,108.8,8.8,"SCI Iran Statistical Yearbook 1399, Table 22.7 (Consumer Price Indices of Goods and Services for Rural Households in Major Groups by Month)",Single-year YoY percentage change as printed in source.
IRN,"Consumer Price Index of Goods and Services, General Index",Rural,1397,2018-2019,1395,139.4,28.1,"SCI Iran Statistical Yearbook 1399, Table 22.7 (Consumer Price Indices of Goods and Services for Rural Households in Major Groups by Month)",Single-year YoY percentage change as printed in source.
IRN,"Consumer Price Index of Goods and Services, General Index",Rural,1398,2019-2020,1395,191.4,37.3,"SCI Iran Statistical Yearbook 1399, Table 22.7 (Consumer Price Indices of Goods and Services for Rural Households in Major Groups by Month)",Single-year YoY percentage change as printed in source.
IRN,"Consumer Price Index of Goods and Services, General Index",Rural,1399,2020-2021,1395,263.5,37.7,"SCI Iran Statistical Yearbook 1399, Table 22.7 (Consumer Price Indices of Goods and Services for Rural Households in Major Groups by Month)",Single-year YoY percentage change as printed in source.
