country_iso3,country_name,year,category,metric,metric_label,value,value_raw_text,unit,estimate_flag
USA,United States,2024,general,population,Population,345.427,345.427 Millions,millions,
USA,United States,2024,general,gdp_current_usd,GDP,29185798.0,29 185 798 Millions current US$,millions current US$,
USA,United States,2024,general,merchandise_trade,Merchandise trade,5424516.0,5 424 516 Millions current US$,millions current US$,
USA,United States,2024,general,land_area,Land area,9147420.0,(p) 9 147 420 Km²,km2,provisional
USA,United States,2024,general,gdp_growth,GDP growth,2.8,2.80 %,%,
USA,United States,2024,general,transport_services_trade,Transport services trade,1993624.0,1 993 624 Millions current US$,millions current US$,
USA,United States,2024,fleet,fleet_national_flag_dwt,"fleet size, national-flag registry (deadweight tonnage)",13268.0,13 268 Thousands DWT,thousand DWT,
USA,United States,2024,fleet,fleet_national_flag_ships,"fleet size, national-flag registry (ship count)",3513.0,3 513 ships,ships,
USA,United States,2024,fleet,fleet_ownership_dwt,"fleet size, national ownership regardless of flag (deadweight tonnage)",49542.0,49 542 Thousands DWT,thousand DWT,
USA,United States,2024,maritime_key_figures,coast_area_ratio,Coast/area ratio,14.6,14.6 m/km²,m per km2,
USA,United States,2024,maritime_key_figures,ship_building,Ship building,30782.0,30 782 GT,GT,
USA,United States,2024,maritime_key_figures,ship_recycling,Ship recycling,0.0,0.000 GT,GT,
USA,United States,2024,maritime_key_figures,container_port_throughput,Container port throughput,54282705.0,54 282 705 TEU,TEU,
USA,United States,2024,maritime_key_figures,number_of_seafarers,Number of seafarers,59586.0,(m) 59 586,persons,modeled ILO estimate
USA,United States,2024,maritime_key_figures,number_of_port_calls,Number of port calls,267937.0,267 937,count,
VEN,Venezuela (Bolivarian Rep. of),2024,general,population,Population,28.406,28.406 Millions,millions,
VEN,Venezuela (Bolivarian Rep. of),2024,general,gdp_current_usd,GDP,,-,millions current US$,
VEN,Venezuela (Bolivarian Rep. of),2024,general,merchandise_trade,Merchandise trade,29220.0,(e) 29 220 Millions current US$,millions current US$,estimate
VEN,Venezuela (Bolivarian Rep. of),2024,general,land_area,Land area,882050.0,(p) 882 050 Km²,km2,provisional
VEN,Venezuela (Bolivarian Rep. of),2024,general,gdp_growth,GDP growth,6.2,6.20 %,%,
VEN,Venezuela (Bolivarian Rep. of),2024,general,transport_services_trade,Transport services trade,,-,millions current US$,
VEN,Venezuela (Bolivarian Rep. of),2024,fleet,fleet_national_flag_dwt,"fleet size, national-flag registry (deadweight tonnage)",1300.0,1 300 Thousands DWT,thousand DWT,
VEN,Venezuela (Bolivarian Rep. of),2024,fleet,fleet_national_flag_ships,"fleet size, national-flag registry (ship count)",268.0,268 ships,ships,
VEN,Venezuela (Bolivarian Rep. of),2024,fleet,fleet_ownership_dwt,"fleet size, national ownership regardless of flag (deadweight tonnage)",2503.0,2 503 Thousands DWT,thousand DWT,
VEN,Venezuela (Bolivarian Rep. of),2024,maritime_key_figures,coast_area_ratio,Coast/area ratio,7.7,7.7 m/km²,m per km2,
VEN,Venezuela (Bolivarian Rep. of),2024,maritime_key_figures,ship_building,Ship building,101.0,101 GT,GT,
VEN,Venezuela (Bolivarian Rep. of),2024,maritime_key_figures,ship_recycling,Ship recycling,0.0,0.000 GT,GT,
VEN,Venezuela (Bolivarian Rep. of),2024,maritime_key_figures,container_port_throughput,Container port throughput,,-,TEU,
VEN,Venezuela (Bolivarian Rep. of),2024,maritime_key_figures,number_of_seafarers,Number of seafarers,4735.0,(n) 4 735,persons,modeled ILO estimate
VEN,Venezuela (Bolivarian Rep. of),2024,maritime_key_figures,number_of_port_calls,Number of port calls,,-,count,
ESP,Spain,2024,general,population,Population,47.911,47.911 Millions,millions,
ESP,Spain,2024,general,gdp_current_usd,GDP,1721000.0,1 721 000 Millions current US$,millions current US$,
ESP,Spain,2024,general,merchandise_trade,Merchandise trade,896146.0,896 146 Millions current US$,millions current US$,
ESP,Spain,2024,general,land_area,Land area,499557.0,(p) 499 557 Km²,km2,provisional
ESP,Spain,2024,general,gdp_growth,GDP growth,3.1,3.10 %,%,
ESP,Spain,2024,general,transport_services_trade,Transport services trade,331898.0,331 898 Millions current US$,millions current US$,
ESP,Spain,2024,fleet,fleet_national_flag_dwt,"fleet size, national-flag registry (deadweight tonnage)",1691.0,1 691 Thousands DWT,thousand DWT,
ESP,Spain,2024,fleet,fleet_national_flag_ships,"fleet size, national-flag registry (ship count)",480.0,480 ships,ships,
ESP,Spain,2024,fleet,fleet_ownership_dwt,"fleet size, national ownership regardless of flag (deadweight tonnage)",4553.0,4 553 Thousands DWT,thousand DWT,
ESP,Spain,2024,maritime_key_figures,coast_area_ratio,Coast/area ratio,14.5,14.5 m/km²,m per km2,
ESP,Spain,2024,maritime_key_figures,ship_building,Ship building,64327.0,64 327 GT,GT,
ESP,Spain,2024,maritime_key_figures,ship_recycling,Ship recycling,0.0,0.000 GT,GT,
ESP,Spain,2024,maritime_key_figures,container_port_throughput,Container port throughput,16379282.0,16 379 282 TEU,TEU,
ESP,Spain,2024,maritime_key_figures,number_of_seafarers,Number of seafarers,24487.0,(k) 24 487,persons,modeled ILO estimate
ESP,Spain,2024,maritime_key_figures,number_of_port_calls,Number of port calls,142103.0,142 103,count,
PRT,Portugal,2024,general,population,Population,10.425,10.425 Millions,millions,
PRT,Portugal,2024,general,gdp_current_usd,GDP,307045.0,307 045 Millions current US$,millions current US$,
PRT,Portugal,2024,general,merchandise_trade,Merchandise trade,202032.0,202 032 Millions current US$,millions current US$,
PRT,Portugal,2024,general,land_area,Land area,91606.0,(p) 91 606 Km²,km2,provisional
PRT,Portugal,2024,general,gdp_growth,GDP growth,1.62,1.62 %,%,
PRT,Portugal,2024,general,transport_services_trade,Transport services trade,89943.0,89 943 Millions current US$,millions current US$,
PRT,Portugal,2024,fleet,fleet_national_flag_dwt,"fleet size, national-flag registry (deadweight tonnage)",29519.0,29 519 Thousands DWT,thousand DWT,
PRT,Portugal,2024,fleet,fleet_national_flag_ships,"fleet size, national-flag registry (ship count)",988.0,988 ships,ships,
PRT,Portugal,2024,fleet,fleet_ownership_dwt,"fleet size, national ownership regardless of flag (deadweight tonnage)",1132.0,1 132 Thousands DWT,thousand DWT,
PRT,Portugal,2024,maritime_key_figures,coast_area_ratio,Coast/area ratio,30.9,30.9 m/km²,m per km2,
PRT,Portugal,2024,maritime_key_figures,ship_building,Ship building,0.0,0.000 GT,GT,
PRT,Portugal,2024,maritime_key_figures,ship_recycling,Ship recycling,0.0,0.000 GT,GT,
PRT,Portugal,2024,maritime_key_figures,container_port_throughput,Container port throughput,3178259.0,3 178 259 TEU,TEU,
PRT,Portugal,2024,maritime_key_figures,number_of_seafarers,Number of seafarers,1238.0,1 238,persons,
PRT,Portugal,2024,maritime_key_figures,number_of_port_calls,Number of port calls,,-,count,
GRC,Greece,2024,general,population,Population,10.048,10.048 Millions,millions,
GRC,Greece,2024,general,gdp_current_usd,GDP,256580.0,256 580 Millions current US$,millions current US$,
GRC,Greece,2024,general,merchandise_trade,Merchandise trade,145799.0,145 799 Millions current US$,millions current US$,
GRC,Greece,2024,general,land_area,Land area,128900.0,(p) 128 900 Km²,km2,provisional
GRC,Greece,2024,general,gdp_growth,GDP growth,2.1,2.10 %,%,
GRC,Greece,2024,general,transport_services_trade,Transport services trade,86921.0,86 921 Millions current US$,millions current US$,
GRC,Greece,2024,fleet,fleet_national_flag_dwt,"fleet size, national-flag registry (deadweight tonnage)",56126.0,56 126 Thousands DWT,thousand DWT,
GRC,Greece,2024,fleet,fleet_national_flag_ships,"fleet size, national-flag registry (ship count)",1208.0,1 208 ships,ships,
GRC,Greece,2024,fleet,fleet_ownership_dwt,"fleet size, national ownership regardless of flag (deadweight tonnage)",394963.0,394 963 Thousands DWT,thousand DWT,
GRC,Greece,2024,maritime_key_figures,coast_area_ratio,Coast/area ratio,117.5,117.5 m/km²,m per km2,
GRC,Greece,2024,maritime_key_figures,ship_building,Ship building,4918.0,4 918 GT,GT,
GRC,Greece,2024,maritime_key_figures,ship_recycling,Ship recycling,0.0,0.000 GT,GT,
GRC,Greece,2024,maritime_key_figures,container_port_throughput,Container port throughput,5818508.0,5 818 508 TEU,TEU,
GRC,Greece,2024,maritime_key_figures,number_of_seafarers,Number of seafarers,30507.0,30 507,persons,
GRC,Greece,2024,maritime_key_figures,number_of_port_calls,Number of port calls,171951.0,171 951,count,
TUR,Türkiye,2024,general,population,Population,87.474,87.474 Millions,millions,
TUR,Türkiye,2024,general,gdp_current_usd,GDP,1323459.0,1 323 459 Millions current US$,millions current US$,
TUR,Türkiye,2024,general,merchandise_trade,Merchandise trade,605813.0,605 813 Millions current US$,millions current US$,
TUR,Türkiye,2024,general,land_area,Land area,769630.0,(p) 769 630 Km²,km2,provisional
TUR,Türkiye,2024,general,gdp_growth,GDP growth,3.2,3.20 %,%,
TUR,Türkiye,2024,general,transport_services_trade,Transport services trade,168506.0,168 506 Millions current US$,millions current US$,
TUR,Türkiye,2024,fleet,fleet_national_flag_dwt,"fleet size, national-flag registry (deadweight tonnage)",7193.0,7 193 Thousands DWT,thousand DWT,
