year,metric,value,unit,source,notes
1890,Tehran sugar consumption (low estimate),3800,tons/year,"Encyclopaedia Iranica, SUGAR, citing Ministerie van Waterstaat Handel en Nijverheid (Netherlands), p.27","Based on 10.6 tons/day. Article notes this was 'believed to be probably higher'; an alternative contemporaneous estimate assuming 200,000 population and 60g/person/day gives 4,300 tons/year (4,500 incl. surrounding villages)."
1890,Tehran sugar consumption (higher contemporaneous estimate),4500,tons/year,"Encyclopaedia Iranica, SUGAR, citing same Dutch legation source","Includes villages around Tehran who purchased in the city. Two-thirds of this was loaf sugar (qand)."
1898,Sugar consumption per capita,37.5,kg/person/year,"Encyclopaedia Iranica, SUGAR, citing Nationaal Archief (Netherlands), Legatie Perzie, 15 July 1898","Article explicitly flags this and the 1890 estimates as 'clearly too high, given the fact that the population of Tehran only reached the 200,000 level by 1920' -- included for completeness but transcribed with the source's own skepticism preserved."
1891,Mazandaran sugar exported to Russia,35.5,tons,"Encyclopaedia Iranica, SUGAR, citing Govt of Great Britain DCR Annual Series no.4398 (1910), p.30","2,165 puds (1 pud = 16.38 kg). By this point Mazandaran cane-sugar exports to Russia had already 'diminished over time' from earlier in the 19th century."
1892,Mazandaran sugar exported to Russia,15.5,tons,"Encyclopaedia Iranica, SUGAR, citing same source","948 puds. Sharp single-year drop from the 1891 figure, illustrating the terminal decline of the old Mazandaran cane-sugar export trade."
1906,Value of loaf sugar imported into Persia from Russia,1780095,GBP,"Encyclopaedia Iranica, SUGAR, TABLE 1 ('Value of Loaf Sugar Imported into Persia from 1906-07 to 1913-14'), sourced to Govt of Great Britain DCR No.4478 p.8 and No.5515 p.12","Iranian/fiscal year 1906-07. VISUALLY VERIFIED via downloaded table image sugar_table_1.jpg (Read tool, no OCR). Russia dominated loaf-sugar imports throughout this period."
1906,Value of loaf sugar imported into Persia from France,355411,GBP,"Encyclopaedia Iranica, SUGAR, TABLE 1","Fiscal year 1906-07. Visually verified."
1906,Value of loaf sugar imported into Persia from Belgium,8468,GBP,"Encyclopaedia Iranica, SUGAR, TABLE 1","Fiscal year 1906-07. Visually verified."
1906,Value of loaf sugar imported into Persia from Austria-Hungary,15373,GBP,"Encyclopaedia Iranica, SUGAR, TABLE 1","Fiscal year 1906-07. Visually verified."
1906,Value of loaf sugar imported into Persia from Germany,43115,GBP,"Encyclopaedia Iranica, SUGAR, TABLE 1","Fiscal year 1906-07. Visually verified."
1906,Value of loaf sugar imported into Persia from India,17902,GBP,"Encyclopaedia Iranica, SUGAR, TABLE 1","Fiscal year 1906-07. Visually verified."
1906,Value of loaf sugar imported into Persia from British Empire (excl. India),8893,GBP,"Encyclopaedia Iranica, SUGAR, TABLE 1","Fiscal year 1906-07. Visually verified."
1906,Value of loaf sugar imported into Persia from Turkey,1806,GBP,"Encyclopaedia Iranica, SUGAR, TABLE 1","Fiscal year 1906-07. Visually verified."
1906,Value of loaf sugar imported into Persia from other countries,7854,GBP,"Encyclopaedia Iranica, SUGAR, TABLE 1","Fiscal year 1906-07. Visually verified."
1906,Total value of loaf sugar imported into Persia,2231852,GBP,"Encyclopaedia Iranica, SUGAR, TABLE 1","Fiscal year 1906-07. Visually verified AS PRINTED; note the sum of the 9 country rows above computes to 2,238,917, about 0.3% higher than the printed total of 2,231,852 -- an apparent arithmetic discrepancy in the century-old source itself (or a single mistranscribed digit in the original 1910s British consular report this table is drawn from), transcribed exactly as printed, not corrected."
1907,Total value of loaf sugar imported into Persia,1683189,GBP,"Encyclopaedia Iranica, SUGAR, TABLE 1","Fiscal year 1907-08. Country breakdown: Russia 1,411,417; France 133,066; Belgium 26,370; Austria-Hungary 693; Germany 27,354; India 19,852; British Empire (excl. India) 63,736; Turkey 555; Other 121. Visually verified."
1908,Total value of loaf sugar imported into Persia,1569489,GBP,"Encyclopaedia Iranica, SUGAR, TABLE 1","Fiscal year 1908-09. Country breakdown: Russia 1,340,178; France 129,955; Belgium 61,285; Austria-Hungary 13,237; Germany 11,238; India 9,412; British Empire (excl. India) 4,166; Turkey 15; Other 0 (printed as '-'). Visually verified. NOTE: source table skips 1909-10 and 1910-11 entirely (gap in original)."
1911,Total value of loaf sugar imported into Persia,2016486,GBP,"Encyclopaedia Iranica, SUGAR, TABLE 1","Fiscal year 1911-12. Country breakdown: Russia 1,679,573; France 85,245; Belgium 168,586; Austria-Hungary 36,385; Germany 31,614; India 8,615; British Empire (excl. India) 4,930; Turkey 99; Other 1,475. Visually verified."
1912,Total value of loaf sugar imported into Persia,2100848,GBP,"Encyclopaedia Iranica, SUGAR, TABLE 1","Fiscal year 1912-13. Country breakdown: Russia 1,787,026; France 98,042; Belgium 121,002; Austria-Hungary 17,130; Germany 37,176; India 15,006; British Empire (excl. India) 14,713; Turkey 48; Other 10,705. Visually verified."
1913,Total value of loaf sugar imported into Persia,2658187,GBP,"Encyclopaedia Iranica, SUGAR, TABLE 1","Fiscal year 1913-14. Country breakdown: Russia 2,104,899; France 149,998; Belgium 259,873; Austria-Hungary 19,826; Germany 70,165; India 15,397; British Empire (excl. India) 36,639; Turkey 1,236; Other 154. Visually verified. Highest total in the table -- sugar imports nearly doubled in value from the 1908-09 low over five years."
1910,Sugar share of total Persian imports,24,percent,"Encyclopaedia Iranica, SUGAR, narrative text","Article states sugar was 'the most important import commodity' after cottons that year."
1907,Russian market share of Persian loafsugar imports (value),71000000,qerans,"Encyclopaedia Iranica, SUGAR, citing Entner, table 13, p.72","Fiscal year 1907-08. Loafsugar was 85% of all sugar imports; Russia held an 80% share of that. ~100 qerans = 1 French Franc per the article's own conversion note (as of 1912)."
1932,Sugar refining state monopoly factories,8,factories,"Encyclopaedia Iranica, SUGAR, citing Floor 1984, p.30","Kahrizak factory (originally opened 1895/96, closed 1899/1900) resumed operation in 1932, followed by seven more state-owned mills. Employed 4,200 workers total; output 34,000 metric tons/year -- see next two rows."
1932,Sugar refining workforce (state monopoly factories),4200,workers,"Encyclopaedia Iranica, SUGAR, citing Floor 1984, p.30","Same 8-factory state monopoly system as the row above."
1932,Sugar output (state monopoly factories),34000,metric tons,"Encyclopaedia Iranica, SUGAR, citing Floor 1984, p.30","Same 8-factory state monopoly system as the two rows above."
1948,Annual sugar consumption,135000,tons,"Encyclopaedia Iranica, SUGAR, citing Roberts 1948 ('Iran. Economic and Commercial Conditions'), pp.18,21","67% of this was imported; Iran had just come off relying on the International Emergency Food Council (through 1948) and was newly exposed to world-market vagaries."
1946,Sugar share of total Persian imports,22,percent,"Encyclopaedia Iranica, SUGAR, narrative text","Sugar 'dominated imports' this year."
1947,Sugar share of total Persian imports,12,percent,"Encyclopaedia Iranica, SUGAR, narrative text","Sharp one-year drop from the 1946 share above."
1950,New state-owned sugar mills built,5,mills,"Encyclopaedia Iranica, SUGAR, narrative text","Part of the postwar expansion of the state sugar monopoly."
1936,Sugar-mill milling season (low end of range),24,days,"Encyclopaedia Iranica, SUGAR, citing Agah 1958, pp.230-31","Iranian year 1936-37. Illustrates poor capacity utilization/cost-competitiveness of the state mills; contrast with the 1956-57 figures in the next two rows."
1936,Sugar-mill milling season (high end of range),55,days,"Encyclopaedia Iranica, SUGAR, citing Agah 1958, pp.230-31","Iranian year 1936-37, companion to the row above."
1956,Sugar-mill milling season (low end of range),59,days,"Encyclopaedia Iranica, SUGAR, citing Agah 1958, pp.230-31","Iranian year printed in the source article as '1656-57', an unambiguous typographical error for '1956-57' (given the sentence directly parallels '1936-37' two decades earlier, and no sugar mills of any kind existed in Iran in the 1650s per this same article's own history section). Year corrected to 1956 here; value transcribed exactly as printed."
