Downloaded from wid.world on 12-07-2026 at 18:24:20
Country;Year;Percentile;Variable;Value;DataQuality
ES;1700;p90p100;sptinc999j;;
ES;1700;p99p100;sptinc999j;;
ES;1700;p99p100;sptinc992j;;
ES;1700;p90p100;shweal999j;;
ES;1700;p99p100;shweal992j;;
ES;1700;p0p100;anninc992i;;
ES;1700;p99p100;shweal999j;;
ES;1700;p90p100;sptinc992j;;
ES;1700;p90p100;shweal992j;;
ES;1700;p0p100;anninc999i;;
ES;1701;p90p100;sptinc999j;;
ES;1701;p99p100;sptinc999j;;
ES;1701;p99p100;sptinc992j;;
ES;1701;p90p100;shweal999j;;
ES;1701;p99p100;shweal992j;;
ES;1701;p0p100;anninc992i;;
ES;1701;p99p100;shweal999j;;
ES;1701;p90p100;sptinc992j;;
ES;1701;p90p100;shweal992j;;
ES;1701;p0p100;anninc999i;;
ES;1702;p90p100;sptinc999j;;
ES;1702;p99p100;sptinc999j;;
ES;1702;p99p100;sptinc992j;;
ES;1702;p90p100;shweal999j;;
ES;1702;p99p100;shweal992j;;
ES;1702;p0p100;anninc992i;;
ES;1702;p99p100;shweal999j;;
ES;1702;p90p100;sptinc992j;;
ES;1702;p90p100;shweal992j;;
ES;1702;p0p100;anninc999i;;
ES;1703;p90p100;sptinc999j;;
ES;1703;p99p100;sptinc999j;;
ES;1703;p99p100;sptinc992j;;
ES;1703;p90p100;shweal999j;;
ES;1703;p99p100;shweal992j;;
ES;1703;p0p100;anninc992i;;
ES;1703;p99p100;shweal999j;;
ES;1703;p90p100;sptinc992j;;
ES;1703;p90p100;shweal992j;;
ES;1703;p0p100;anninc999i;;
ES;1704;p90p100;sptinc999j;;
ES;1704;p99p100;sptinc999j;;
ES;1704;p99p100;sptinc992j;;
ES;1704;p90p100;shweal999j;;
ES;1704;p99p100;shweal992j;;
ES;1704;p0p100;anninc992i;;
ES;1704;p99p100;shweal999j;;
ES;1704;p90p100;sptinc992j;;
ES;1704;p90p100;shweal992j;;
ES;1704;p0p100;anninc999i;;
ES;1705;p90p100;sptinc999j;;
ES;1705;p99p100;sptinc999j;;
ES;1705;p99p100;sptinc992j;;
ES;1705;p90p100;shweal999j;;
ES;1705;p99p100;shweal992j;;
ES;1705;p0p100;anninc992i;;
ES;1705;p99p100;shweal999j;;
ES;1705;p90p100;sptinc992j;;
ES;1705;p90p100;shweal992j;;
ES;1705;p0p100;anninc999i;;
ES;1706;p90p100;sptinc999j;;
ES;1706;p99p100;sptinc999j;;
ES;1706;p99p100;sptinc992j;;
ES;1706;p90p100;shweal999j;;
ES;1706;p99p100;shweal992j;;
ES;1706;p0p100;anninc992i;;
ES;1706;p99p100;shweal999j;;
ES;1706;p90p100;sptinc992j;;
ES;1706;p90p100;shweal992j;;
ES;1706;p0p100;anninc999i;;
ES;1707;p90p100;sptinc999j;;
ES;1707;p99p100;sptinc999j;;
ES;1707;p99p100;sptinc992j;;
ES;1707;p90p100;shweal999j;;
ES;1707;p99p100;shweal992j;;
ES;1707;p0p100;anninc992i;;
ES;1707;p99p100;shweal999j;;
ES;1707;p90p100;sptinc992j;;
ES;1707;p90p100;shweal992j;;
ES;1707;p0p100;anninc999i;;
ES;1708;p90p100;sptinc999j;;
ES;1708;p99p100;sptinc999j;;
ES;1708;p99p100;sptinc992j;;
ES;1708;p90p100;shweal999j;;
ES;1708;p99p100;shweal992j;;
ES;1708;p0p100;anninc992i;;
ES;1708;p99p100;shweal999j;;
ES;1708;p90p100;sptinc992j;;
ES;1708;p90p100;shweal992j;;
ES;1708;p0p100;anninc999i;;
ES;1709;p90p100;sptinc999j;;
ES;1709;p99p100;sptinc999j;;
ES;1709;p99p100;sptinc992j;;
ES;1709;p90p100;shweal999j;;
ES;1709;p99p100;shweal992j;;
ES;1709;p0p100;anninc992i;;
ES;1709;p99p100;shweal999j;;
ES;1709;p90p100;sptinc992j;;
ES;1709;p90p100;shweal992j;;
ES;1709;p0p100;anninc999i;;
ES;1710;p90p100;sptinc999j;;
ES;1710;p99p100;sptinc999j;;
ES;1710;p99p100;sptinc992j;;
ES;1710;p90p100;shweal999j;;
ES;1710;p99p100;shweal992j;;
ES;1710;p0p100;anninc992i;;
ES;1710;p99p100;shweal999j;;
ES;1710;p90p100;sptinc992j;;
ES;1710;p90p100;shweal992j;;
ES;1710;p0p100;anninc999i;;
ES;1711;p90p100;sptinc999j;;
ES;1711;p99p100;sptinc999j;;
ES;1711;p99p100;sptinc992j;;
ES;1711;p90p100;shweal999j;;
ES;1711;p99p100;shweal992j;;
ES;1711;p0p100;anninc992i;;
ES;1711;p99p100;shweal999j;;
ES;1711;p90p100;sptinc992j;;
ES;1711;p90p100;shweal992j;;
ES;1711;p0p100;anninc999i;;
ES;1712;p90p100;sptinc999j;;
ES;1712;p99p100;sptinc999j;;
ES;1712;p99p100;sptinc992j;;
ES;1712;p90p100;shweal999j;;
ES;1712;p99p100;shweal992j;;
ES;1712;p0p100;anninc992i;;
ES;1712;p99p100;shweal999j;;
ES;1712;p90p100;sptinc992j;;
ES;1712;p90p100;shweal992j;;
ES;1712;p0p100;anninc999i;;
ES;1713;p90p100;sptinc999j;;
ES;1713;p99p100;sptinc999j;;
ES;1713;p99p100;sptinc992j;;
ES;1713;p90p100;shweal999j;;
ES;1713;p99p100;shweal992j;;
ES;1713;p0p100;anninc992i;;
ES;1713;p99p100;shweal999j;;
ES;1713;p90p100;sptinc992j;;
ES;1713;p90p100;shweal992j;;
ES;1713;p0p100;anninc999i;;
ES;1714;p90p100;sptinc999j;;
ES;1714;p99p100;sptinc999j;;
ES;1714;p99p100;sptinc992j;;
ES;1714;p90p100;shweal999j;;
ES;1714;p99p100;shweal992j;;
ES;1714;p0p100;anninc992i;;
ES;1714;p99p100;shweal999j;;
ES;1714;p90p100;sptinc992j;;
ES;1714;p90p100;shweal992j;;
ES;1714;p0p100;anninc999i;;
ES;1715;p90p100;sptinc999j;;
ES;1715;p99p100;sptinc999j;;
ES;1715;p99p100;sptinc992j;;
ES;1715;p90p100;shweal999j;;
ES;1715;p99p100;shweal992j;;
ES;1715;p0p100;anninc992i;;
ES;1715;p99p100;shweal999j;;
ES;1715;p90p100;sptinc992j;;
ES;1715;p90p100;shweal992j;;
ES;1715;p0p100;anninc999i;;
ES;1716;p90p100;sptinc999j;;
ES;1716;p99p100;sptinc999j;;
ES;1716;p99p100;sptinc992j;;
ES;1716;p90p100;shweal999j;;
ES;1716;p99p100;shweal992j;;
ES;1716;p0p100;anninc992i;;
ES;1716;p99p100;shweal999j;;
ES;1716;p90p100;sptinc992j;;
ES;1716;p90p100;shweal992j;;
ES;1716;p0p100;anninc999i;;
ES;1717;p90p100;sptinc999j;;
ES;1717;p99p100;sptinc999j;;
ES;1717;p99p100;sptinc992j;;
ES;1717;p90p100;shweal999j;;
ES;1717;p99p100;shweal992j;;
ES;1717;p0p100;anninc992i;;
ES;1717;p99p100;shweal999j;;
ES;1717;p90p100;sptinc992j;;
ES;1717;p90p100;shweal992j;;
ES;1717;p0p100;anninc999i;;
ES;1718;p90p100;sptinc999j;;
ES;1718;p99p100;sptinc999j;;
ES;1718;p99p100;sptinc992j;;
ES;1718;p90p100;shweal999j;;
ES;1718;p99p100;shweal992j;;
ES;1718;p0p100;anninc992i;;
ES;1718;p99p100;shweal999j;;
ES;1718;p90p100;sptinc992j;;
ES;1718;p90p100;shweal992j;;
ES;1718;p0p100;anninc999i;;
ES;1719;p90p100;sptinc999j;;
ES;1719;p99p100;sptinc999j;;
ES;1719;p99p100;sptinc992j;;
ES;1719;p90p100;shweal999j;;
ES;1719;p99p100;shweal992j;;
ES;1719;p0p100;anninc992i;;
ES;1719;p99p100;shweal999j;;
ES;1719;p90p100;sptinc992j;;
ES;1719;p90p100;shweal992j;;
ES;1719;p0p100;anninc999i;;
ES;1720;p90p100;sptinc999j;;
ES;1720;p99p100;sptinc999j;;
ES;1720;p99p100;sptinc992j;;
ES;1720;p90p100;shweal999j;;
ES;1720;p99p100;shweal992j;;
ES;1720;p0p100;anninc992i;;
ES;1720;p99p100;shweal999j;;
ES;1720;p90p100;sptinc992j;;
ES;1720;p90p100;shweal992j;;
ES;1720;p0p100;anninc999i;;
ES;1721;p90p100;sptinc999j;;
ES;1721;p99p100;sptinc999j;;
ES;1721;p99p100;sptinc992j;;
ES;1721;p90p100;shweal999j;;
ES;1721;p99p100;shweal992j;;
ES;1721;p0p100;anninc992i;;
ES;1721;p99p100;shweal999j;;
ES;1721;p90p100;sptinc992j;;
ES;1721;p90p100;shweal992j;;
ES;1721;p0p100;anninc999i;;
ES;1722;p90p100;sptinc999j;;
ES;1722;p99p100;sptinc999j;;
ES;1722;p99p100;sptinc992j;;
ES;1722;p90p100;shweal999j;;
ES;1722;p99p100;shweal992j;;
ES;1722;p0p100;anninc992i;;
ES;1722;p99p100;shweal999j;;
ES;1722;p90p100;sptinc992j;;
ES;1722;p90p100;shweal992j;;
ES;1722;p0p100;anninc999i;;
ES;1723;p90p100;sptinc999j;;
ES;1723;p99p100;sptinc999j;;
ES;1723;p99p100;sptinc992j;;
ES;1723;p90p100;shweal999j;;
ES;1723;p99p100;shweal992j;;
ES;1723;p0p100;anninc992i;;
ES;1723;p99p100;shweal999j;;
ES;1723;p90p100;sptinc992j;;
ES;1723;p90p100;shweal992j;;
ES;1723;p0p100;anninc999i;;
ES;1724;p90p100;sptinc999j;;
ES;1724;p99p100;sptinc999j;;
ES;1724;p99p100;sptinc992j;;
ES;1724;p90p100;shweal999j;;
ES;1724;p99p100;shweal992j;;
ES;1724;p0p100;anninc992i;;
ES;1724;p99p100;shweal999j;;
ES;1724;p90p100;sptinc992j;;
ES;1724;p90p100;shweal992j;;
ES;1724;p0p100;anninc999i;;
ES;1725;p90p100;sptinc999j;;
ES;1725;p99p100;sptinc999j;;
ES;1725;p99p100;sptinc992j;;
ES;1725;p90p100;shweal999j;;
ES;1725;p99p100;shweal992j;;
ES;1725;p0p100;anninc992i;;
ES;1725;p99p100;shweal999j;;
ES;1725;p90p100;sptinc992j;;
ES;1725;p90p100;shweal992j;;
ES;1725;p0p100;anninc999i;;
ES;1726;p90p100;sptinc999j;;
ES;1726;p99p100;sptinc999j;;
ES;1726;p99p100;sptinc992j;;
ES;1726;p90p100;shweal999j;;
ES;1726;p99p100;shweal992j;;
ES;1726;p0p100;anninc992i;;
ES;1726;p99p100;shweal999j;;
ES;1726;p90p100;sptinc992j;;
ES;1726;p90p100;shweal992j;;
ES;1726;p0p100;anninc999i;;
ES;1727;p90p100;sptinc999j;;
ES;1727;p99p100;sptinc999j;;
ES;1727;p99p100;sptinc992j;;
ES;1727;p90p100;shweal999j;;
ES;1727;p99p100;shweal992j;;
ES;1727;p0p100;anninc992i;;
ES;1727;p99p100;shweal999j;;
ES;1727;p90p100;sptinc992j;;
ES;1727;p90p100;shweal992j;;
ES;1727;p0p100;anninc999i;;
ES;1728;p90p100;sptinc999j;;
ES;1728;p99p100;sptinc999j;;
ES;1728;p99p100;sptinc992j;;
ES;1728;p90p100;shweal999j;;
ES;1728;p99p100;shweal992j;;
ES;1728;p0p100;anninc992i;;
ES;1728;p99p100;shweal999j;;
ES;1728;p90p100;sptinc992j;;
ES;1728;p90p100;shweal992j;;
ES;1728;p0p100;anninc999i;;
ES;1729;p90p100;sptinc999j;;
ES;1729;p99p100;sptinc999j;;
ES;1729;p99p100;sptinc992j;;
ES;1729;p90p100;shweal999j;;
ES;1729;p99p100;shweal992j;;
ES;1729;p0p100;anninc992i;;
ES;1729;p99p100;shweal999j;;
ES;1729;p90p100;sptinc992j;;
ES;1729;p90p100;shweal992j;;
ES;1729;p0p100;anninc999i;;
ES;1730;p90p100;sptinc999j;;
ES;1730;p99p100;sptinc999j;;
ES;1730;p99p100;sptinc992j;;
ES;1730;p90p100;shweal999j;;
