commodity,value_1956_57,value_1957_58,value_1958_59,pct_1956_57,pct_1957_58,pct_1958_59,value_unit
Raw cotton,22.3,25.4,19.4,21.3,23.0,18.5,US dollar millions
Carpets,17.1,19.5,17.4,16.3,17.7,16.7,US dollar millions
Fruits,18.1,19.8,20.4,17.3,18.0,19.4,US dollar millions
Wool,8.9,7.3,9.3,8.5,6.6,8.9,US dollar millions
Hides and skins,3.9,4.8,6.0,3.7,4.4,5.7,US dollar millions
Rice,0.4,0.6,0.3,0.4,0.5,0.3,US dollar millions
Gums,4.0,3.2,3.2,3.8,2.9,3.1,US dollar millions
Hair,4.8,3.9,4.0,4.6,3.5,3.7,US dollar millions
Animal casings,2.7,2.2,2.4,2.6,2.0,2.3,US dollar millions
Minerals,4.5,5.3,3.7,4.3,4.8,3.5,US dollar millions
Cumin seeds,2.1,2.5,2.5,2.0,2.3,2.4,US dollar millions
Oilseeds,2.0,1.3,0.9,1.9,1.2,0.9,US dollar millions
Timber,0.6,0.7,0.8,0.6,0.6,0.7,US dollar millions
Other,13.3,13.8,14.6,12.7,12.5,13.9,US dollar millions
Total,104.7,110.3,104.9,100.0,100.0,100.0,US dollar millions
