# Series;Series description (EN);Metric;Unit of Measure;Reference date;Value;State
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2024-12-31;45060.0;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2024-09-30;43827.7;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2024-06-30;43264.4;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2024-03-31;42592.2;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2023-12-31;41941.0;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2023-09-30;41227.1;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2023-06-30;41035.7;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2023-03-31;40921.9;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2022-12-31;40358.8;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2022-09-30;39347.6;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2022-06-30;38212.9;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2022-03-31;37296.0;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2021-12-31;35957.2;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2021-09-30;35188.6;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2021-06-30;34240.4;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2021-03-31;31672.0;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2020-12-31;32849.9;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2020-09-30;32948.8;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2020-06-30;28523.1;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2020-03-31;33725.3;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2019-12-31;34610.3;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2019-09-30;34276.6;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2019-06-30;34037.3;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2019-03-31;33813.6;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2018-12-31;33370.2;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2018-09-30;32844.6;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2018-06-30;32573.9;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2018-03-31;32194.9;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2017-12-31;31812.8;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2017-09-30;31523.2;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2017-06-30;31190.9;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2017-03-31;31132.4;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2016-12-31;30927.7;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2016-09-30;30455.8;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2016-06-30;30153.1;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2016-03-31;29971.6;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2015-12-31;29603.1;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2015-09-30;29578.7;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2015-06-30;29386.4;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2015-03-31;28881.9;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2014-12-31;28919.2;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2014-09-30;28815.0;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2014-06-30;28452.5;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2014-03-31;28347.5;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2013-12-31;28368.0;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2013-09-30;28013.3;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2013-06-30;27795.5;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2013-03-31;27470.0;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2012-12-31;27570.1;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2012-09-30;27928.5;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2012-06-30;27958.5;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2012-03-31;28506.3;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2011-12-31;28512.4;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2011-09-30;28895.5;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2011-06-30;29138.5;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2011-03-31;29532.6;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2010-12-31;29919.2;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2010-09-30;29603.4;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2010-06-30;29576.5;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2010-03-31;29351.1;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2009-12-31;28756.8;
12562568;TSPE-Private consumption-Total-Quarterly-Current prices-M€;Value;Millions of euros;2009-09-30;28282.4;
