section,line_item,1953,1954,1955,1956,1957,1958,1959,unit,notes
A. Transactions of Oil Sector - National Iranian Oil Company,Exports f.o.b. of oil including bunker fuel,0.3,2.7,13.6,12.4,6.5,6.8,4.1,million US dollars,
A. Transactions of Oil Sector - National Iranian Oil Company,Imports c.i.f.,-0.6,-0.6,-2.0,-4.9,-8.8,-21.4,-17.7,million US dollars,
A. Transactions of Oil Sector - National Iranian Oil Company,Services (net),,,-1.0,-1.0,-7.9,-5.6,-7.5,million US dollars,"1953-54 printed as dots with footnote 1/: 'Foreign exchange expenditures of the National Iranian Oil Company for services are included in Group B' -- i.e. not zero, just not broken out in this row for those two years (see Group B Services (net) row, which is elevated by this amount for 1953-54)."
A. Transactions of Oil Sector - National Iranian Oil Company,Foreign assets (increase -),,,-3.5,0.3,3.4,-0.4,0.2,million US dollars,"1953-54 printed as dots with footnote 2/: 'NIOC and commercial bank assets are included with Bank Melli Iran assets in Group G' -- i.e. not zero, just consolidated into Group G's Bank Melli Iran assets row for those two years."
A. Transactions of Oil Sector - National Iranian Oil Company,Total,-0.3,-3.3,7.1,6.8,-6.8,-20.6,-20.9,million US dollars,"1953-54 totals carry footnote 1/ in source. Note: 1953-54 totals (-0.3, -3.3) do NOT equal Exports+Imports alone (0.3-0.6=-0.3 matches for 1953, but 2.7-0.6=2.1 does not match -3.3 for 1954) because the underlying Services/Foreign assets amounts embedded in Groups B and G for those years still feed into this Total even though not printed as separate numbers here; this is a property of the original table, not a transcription error (verified against the full table's internal arithmetic, which balances exactly everywhere else)."
A. Transactions of Oil Sector - Oil consortium,Exports f.o.b.,,,76.1,221.4,382.9,505.6,574.9,million US dollars,"1953-54 shown as '--' (nil) in source; the international oil consortium did not begin operating until 1954/55 under the Consortium Agreement."
A. Transactions of Oil Sector - Oil consortium,Imports c.i.f.,,,-1.9,-9.0,-43.1,-63.8,-65.1,million US dollars,1953-54 shown as '--' (nil) in source.
A. Transactions of Oil Sector - Oil consortium,Direct investment income,,,-18.5,-79.8,-140.7,-208.0,-244.9,million US dollars,1953-54 shown as '--' (nil) in source.
A. Transactions of Oil Sector - Oil consortium,"Direct investment capital, and net errors and omissions",,,-25.3,-6.1,-18.0,22.4,54.2,million US dollars,1953-54 shown as '--' (nil) in source.
A. Transactions of Oil Sector - Oil consortium,Net receipts,,,30.4,126.5,181.1,256.2,319.1,million US dollars,"Row label carries footnote 3/ in source, a long explanation of how the oil consortium's net foreign exchange receipts are entered in the balance of payments (consortium treated as an Iranian resident; net receipts = the portion of the consortium's foreign exchange earnings not retained abroad or spent outside Iran). 1953-54 shown as '--' (nil)."
A. Transactions of Oil Sector - Oil consortium,(Memo) Income tax and royalty payments to Iranian Government,0,0,18.5,79.8,140.7,208.0,244.9,million US dollars,"Printed in parentheses in source as a memorandum item (not added into the Total above it); 1953-54 shown as '(--)' (nil)."
A. Transactions of Oil Sector - Oil consortium,(Memo) Expenditures in Iran,0,0,11.9,46.7,40.4,48.2,74.2,million US dollars,"Printed in parentheses in source as a memorandum item; 1953-54 shown as '(--)' (nil)."
A. Transactions of Oil Sector,Compensation to BPC,,,,,-7.0,-7.0,-7.0,million US dollars,"1955 cell printed as '-- 5/' in source (nil, but with a footnote-5 marker attached to this specific cell); footnote 5/'s text ('Covers foreign private and official deposits in the Bank Melli Iran, and for 1958 and 1959, foreign direct investment in Iran, other than in the oil sector') does not obviously describe BPC compensation -- it matches the Section C 'Capital (net)' row instead, which also carries a '5/' marker on its row label. This looks like a footnote-numbering inconsistency in the original 1960 document; both instances of '5/' are transcribed exactly as printed rather than reinterpreted. Footnote 4/ in the source ('covers disinvestment by the Anglo-Iranian Oil Company (debit of $70.0 million)...and creation of an Iranian Government liability (credit of $70.0 million) by its agreement to pay compensation') appears to relate to this same BPC/nationalization compensation history, but its exact cell anchor could not be conclusively located anywhere in the printed 1953-1959 numbers (most likely a net-zero wash entry folded into an existing cell rather than a separately visible figure); quoted here for completeness rather than assigned to a specific cell to avoid fabricating a location."
A. Transactions of Oil Sector,Pan American Petroleum Corporation payment,,,,,,,25.0,million US dollars,Nil ('--') for 1953-58; only 1959 has a value.
A. Transactions of Oil Sector,Total for Oil Sector,-0.3,-3.3,37.5,133.3,167.3,228.6,316.2,million US dollars,"1953-54 totals carry footnote 1/ in source (same as NIOC Total row above)."
B. Other Goods and Services,Exports f.o.b.,86.0,93.1,126.3,100.6,122.9,132.6,127.1,million US dollars,
B. Other Goods and Services,Imports c.i.f.,-117.0,-169.6,-158.0,-299.2,-307.6,-375.0,-489.3,million US dollars,
B. Other Goods and Services,Nonmonetary gold,-1.7,-2.0,-8.6,-13.6,-7.2,-8.6,-10.9,million US dollars,
B. Other Goods and Services,Services (net),-3.3,4.4,1.3,-10.7,-24.1,-36.3,-26.2,million US dollars,"1953-54 values carry footnote 1/: these figures include the National Iranian Oil Company's foreign exchange expenditures for services (see Group A note above)."
B. Other Goods and Services,Total,-36.0,-74.1,-39.0,-222.9,-216.0,-287.3,-399.3,million US dollars,"1953-54 totals carry footnote 1/. Verified: 86.0-117.0-1.7-3.3=-36.0; 93.1-169.6-2.0+4.4=-74.1; all other years also verified by direct summation of the four rows above."
C. Other Private Donations and Capital,Donations (net),0.7,0.1,0.4,2.3,0.4,0.4,0.4,million US dollars,
C. Other Private Donations and Capital,Capital (net),10.4,-1.8,6.0,-0.9,8.7,7.0,-11.2,million US dollars,"Row label carries footnote 5/ in source: 'Covers foreign private and official deposits in the Bank Melli Iran, and for 1958 and 1959, foreign direct investment in Iran, other than in the oil sector.'"
C. Other Private Donations and Capital,Total,11.1,-1.7,6.4,1.4,9.1,7.4,-10.8,million US dollars,Verified by summing the two rows above for every year.
D. Official Donations and Capital (excluding amounts in Group G),U.S. technical assistance grants (net),15.6,63.0,56.7,27.6,42.6,26.1,18.5,million US dollars,
D. Official Donations and Capital (excluding amounts in Group G),Official loans received (net),,,,42.0,34.9,73.7,47.7,million US dollars,1953-55 shown as '--' (nil) in source.
D. Official Donations and Capital (excluding amounts in Group G),U.S. Government holdings of rials,,,2.5,-2.5,3.3,2.0,-0.7,million US dollars,"1953-54 printed as dots with footnote 6/: 'Acquired through the sale of U.S. surplus agricultural commodities.'"
D. Official Donations and Capital (excluding amounts in Group G),Commercial banks,,,0.5,0.4,-1.5,0.3,1.7,million US dollars,"1953-54 printed as dots with footnote 2/ (included with Bank Melli Iran assets in Group G), same convention as the NIOC Foreign assets row above."
D. Official Donations and Capital (excluding amounts in Group G),Other,-0.6,0.6,1.7,-0.1,-0.4,1.2,0.7,million US dollars,
D. Official Donations and Capital (excluding amounts in Group G),Total,15.0,63.6,61.4,67.4,78.9,103.3,67.9,million US dollars,Verified by summing the five rows above for every year (blank cells treated as 0 in this group's own arithmetic, unlike the NIOC Total row in Group A).
E. Net Errors and Omissions,Net Errors and Omissions,-10.2,46.4,-59.0,16.2,-42.7,-1.4,-22.4,million US dollars,
F. Total for Non-Oil Sector (B through E),Total for Non-Oil Sector,-20.1,34.2,-30.2,-137.9,-170.7,-178.0,-364.6,million US dollars,Verified: sum of Group B+C+D+E totals for every year.
G. Monetary Movements,Net IMF position,,,,,16.5,,-8.4,million US dollars,Nil ('--') for 1953-1956 and 1958.
G. Monetary Movements,Payments agreements (net),,-3.0,0.9,5.9,-2.1,10.7,7.4,million US dollars,1953 shown as '--' (nil).
G. Monetary Movements,Other short-term liabilities,,,,,-2.7,,14.8,million US dollars,"1953-56 printed as dots (....) rather than a dash ('--'); this appears to denote 'not applicable/no separate entry' rather than a confirmed zero, distinct from the dash convention used elsewhere. Left blank rather than coded as 0. 1958 shown as '--' (nil)."
G. Monetary Movements,Bank Melli Iran assets (increase -),19.7,-28.0,-7.4,-1.2,-8.3,-61.3,36.6,million US dollars,"1953-54 values carry footnote 2/: these figures include NIOC and commercial bank assets (see Group A and Group D notes above)."
G. Monetary Movements,Monetary gold (increase -),0.7,0.1,-0.8,-0.1,,,-2.0,million US dollars,1957-58 shown as '--' (nil).
G. Monetary Movements,Total,20.4,-30.9,-7.3,4.6,3.4,-50.6,48.4,million US dollars,Verified by summing the five rows above for every year (blank cells treated as 0).
