year,metric,value,unit,source,country_iso3
1950,passengers_annual,80000,persons,"Encyclopedia.com IranAir (International Directory of Company Histories) -- 'late 1950s', placed at 1958 approx; recorded here as 1950s-decade marker year 1958",IRN
1961,passengers_annual,142000,persons,Encyclopedia.com IranAir (International Directory of Company Histories),IRN
1967,passengers_annual,403000,persons,Encyclopedia.com IranAir (International Directory of Company Histories),IRN
1972,passengers_annual,800000,persons,"Encyclopedia.com IranAir (International Directory of Company Histories) -- stated as 'nearly 800,000'",IRN
1990,passengers_annual,6000000,persons,Encyclopedia.com IranAir (International Directory of Company Histories),IRN
2000,passengers_annual,9500000,persons,Encyclopedia.com IranAir (International Directory of Company Histories),IRN
2001,passengers_annual_mainline,6000000,persons,"Encyclopedia.com IranAir (International Directory of Company Histories) -- IranAir mainline only, excludes Iran Air Tours subsidiary",IRN
2001,passengers_annual_iran_air_tours_subsidiary,2000000,persons,Encyclopedia.com IranAir (International Directory of Company Histories),IRN
1961,employees,700,persons,Encyclopedia.com IranAir (International Directory of Company Histories),IRN
1967,employees,2000,persons,Encyclopedia.com IranAir (International Directory of Company Histories),IRN
1972,employees,3800,persons,Encyclopedia.com IranAir (International Directory of Company Histories),IRN
1975,employees,5600,persons,Encyclopedia.com IranAir (International Directory of Company Histories),IRN
1990,employees,11000,persons,Encyclopedia.com IranAir (International Directory of Company Histories),IRN
2000,employees,11000,persons,"Encyclopedia.com IranAir (International Directory of Company Histories) -- stated as range 10,000-12,000, midpoint recorded",IRN
1961,revenue_annual,5000000,US_dollars,Encyclopedia.com IranAir (International Directory of Company Histories),IRN
1967,revenue_annual,22000000,US_dollars,Encyclopedia.com IranAir (International Directory of Company Histories),IRN
1975,revenue_annual,151400000,US_dollars,Encyclopedia.com IranAir (International Directory of Company Histories) -- fiscal year ending 20 March 1975,IRN
2003,revenue_annual,407440000,US_dollars,Encyclopedia.com IranAir (International Directory of Company Histories),IRN
1958,fleet_dc4_count,8,aircraft,Encyclopedia.com IranAir (International Directory of Company Histories) -- 'late 1950s',IRN
1958,fleet_convair240_count,3,aircraft,Encyclopedia.com IranAir (International Directory of Company Histories) -- 'late 1950s',IRN
1958,fleet_viscount_turboprop_count,3,aircraft,Encyclopedia.com IranAir (International Directory of Company Histories) -- 'late 1950s',IRN
