year,metric,value,unit,source,country_iso3,value_usd_nominal,value_usd_real_2015,currency_conversion_note
1962,iran_air_startup_capital,170000000,rials,Encyclopaedia Iranica AVIATION (Atrvash 2010),IRN,2244224.4202,9901620.8357,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1962=75.75000007575, rebased CPI_1962=0.051)"
1962,iran_air_workforce,700,persons,Encyclopaedia Iranica AVIATION (Atrvash 2010),IRN,,,
1978,iran_air_workforce_end_khademi_era,12000,persons,"Encyclopaedia Iranica AVIATION (Atrvash 2010) -- 'grew from 700 to over 12,000 skilled personnel' over the 1962-1978/79 Khademi tenure, upper bound recorded",IRN,,,
1958,iranian_airways_fleet_peak_dc3,20,aircraft,Encyclopaedia Iranica AVIATION (Atrvash 2010),IRN,,,
1958,iranian_airways_destinations_domestic,14,destinations,Encyclopaedia Iranica AVIATION (Atrvash 2010),IRN,,,
1958,iranian_airways_destinations_regional,10,destinations,Encyclopaedia Iranica AVIATION (Atrvash 2010),IRN,,,
1952,mehrabad_accident_deaths,27,persons,Encyclopaedia Iranica AVIATION (Atrvash 2010) -- Iranian Airways accident,IRN,,,
1978,iran_air_fleet_size_all_jet,35,aircraft,"Encyclopaedia Iranica AVIATION (Atrvash 2010) -- 29 Boeing + 6 Airbus, approximate late-1970s timing (exact year not stated in source)",IRN,,,
1978,iran_air_annual_passengers_approx,5000000,persons,"Encyclopaedia Iranica AVIATION (Atrvash 2010) -- 'close to five million passengers a year', stated as contemporaneous with 35-jet fleet size; exact year not given in source, placed at approx. 1978",IRN,,,
1980,first_post_revolution_fatal_accident_deaths,129,persons,Encyclopaedia Iranica AVIATION (Atrvash 2010) -- 21 January 1980,IRN,,,
1988,iran_air_flight_655_shootdown_deaths,290,persons,Encyclopaedia Iranica AVIATION (Atrvash 2010) -- 3 July 1988,IRN,,,
1988,new_airlines_founded_after_ceasefire,14,count,"Encyclopaedia Iranica AVIATION (Atrvash 2010) -- following 1988 Iran-Iraq War ceasefire, minimum license investment 2 billion rial",IRN,,,
