country_iso3,series_type,section,period,metric,value,base_period
SAU,annual_average_index_by_section,General Index,2025,index_level,103.6,"unspecified (source table, likely 2018=100 per GASTAT CPI base)"
SAU,annual_average_index_by_section,General Index,2024,index_level,101.5,
SAU,annual_average_index_by_section,General Index,2025,pct_change_vs_2024,2.0,
SAU,annual_average_index_by_section,Food and beverages,2025,index_level,101.8,"unspecified (source table, likely 2018=100 per GASTAT CPI base)"
SAU,annual_average_index_by_section,Food and beverages,2024,index_level,100.7,
SAU,annual_average_index_by_section,Food and beverages,2025,pct_change_vs_2024,1.1,
SAU,annual_average_index_by_section,Tobacco,2025,index_level,99.5,"unspecified (source table, likely 2018=100 per GASTAT CPI base)"
SAU,annual_average_index_by_section,Tobacco,2024,index_level,98.9,
SAU,annual_average_index_by_section,Tobacco,2025,pct_change_vs_2024,0.6,
SAU,annual_average_index_by_section,Clothing and footwear,2025,index_level,96.7,"unspecified (source table, likely 2018=100 per GASTAT CPI base)"
SAU,annual_average_index_by_section,Clothing and footwear,2024,index_level,96.8,
SAU,annual_average_index_by_section,Clothing and footwear,2025,pct_change_vs_2024,0.0,
SAU,annual_average_index_by_section,"Housing, water, electricity, gas and other fuels",2025,index_level,113.0,"unspecified (source table, likely 2018=100 per GASTAT CPI base)"
SAU,annual_average_index_by_section,"Housing, water, electricity, gas and other fuels",2024,index_level,106.5,
SAU,annual_average_index_by_section,"Housing, water, electricity, gas and other fuels",2025,pct_change_vs_2024,6.1,
SAU,annual_average_index_by_section,"Furnishings, household equipment and routine household maintenance",2025,index_level,98.0,"unspecified (source table, likely 2018=100 per GASTAT CPI base)"
SAU,annual_average_index_by_section,"Furnishings, household equipment and routine household maintenance",2024,index_level,98.8,
SAU,annual_average_index_by_section,"Furnishings, household equipment and routine household maintenance",2025,pct_change_vs_2024,-0.8,
SAU,annual_average_index_by_section,Health,2025,index_level,99.8,"unspecified (source table, likely 2018=100 per GASTAT CPI base)"
SAU,annual_average_index_by_section,Health,2024,index_level,100.0,
SAU,annual_average_index_by_section,Health,2025,pct_change_vs_2024,-0.2,
SAU,annual_average_index_by_section,Transportation,2025,index_level,100.7,"unspecified (source table, likely 2018=100 per GASTAT CPI base)"
SAU,annual_average_index_by_section,Transportation,2024,index_level,100.2,
SAU,annual_average_index_by_section,Transportation,2025,pct_change_vs_2024,0.4,
SAU,annual_average_index_by_section,Information and communication,2025,index_level,97.6,"unspecified (source table, likely 2018=100 per GASTAT CPI base)"
SAU,annual_average_index_by_section,Information and communication,2024,index_level,98.3,
SAU,annual_average_index_by_section,Information and communication,2025,pct_change_vs_2024,-0.7,
SAU,annual_average_index_by_section,"Recreation, sport and culture",2025,index_level,103.4,"unspecified (source table, likely 2018=100 per GASTAT CPI base)"
SAU,annual_average_index_by_section,"Recreation, sport and culture",2024,index_level,100.8,
SAU,annual_average_index_by_section,"Recreation, sport and culture",2025,pct_change_vs_2024,2.5,
SAU,annual_average_index_by_section,Education services,2025,index_level,101.6,"unspecified (source table, likely 2018=100 per GASTAT CPI base)"
SAU,annual_average_index_by_section,Education services,2024,index_level,101.3,
SAU,annual_average_index_by_section,Education services,2025,pct_change_vs_2024,0.3,
SAU,annual_average_index_by_section,Restaurants and accommodation services,2025,index_level,106.1,"unspecified (source table, likely 2018=100 per GASTAT CPI base)"
SAU,annual_average_index_by_section,Restaurants and accommodation services,2024,index_level,104.2,
SAU,annual_average_index_by_section,Restaurants and accommodation services,2025,pct_change_vs_2024,1.8,
SAU,annual_average_index_by_section,Insurance and financial services,2025,index_level,104.7,"unspecified (source table, likely 2018=100 per GASTAT CPI base)"
SAU,annual_average_index_by_section,Insurance and financial services,2024,index_level,98.5,
SAU,annual_average_index_by_section,Insurance and financial services,2025,pct_change_vs_2024,6.3,
SAU,annual_average_index_by_section,"Personal care, social protection and miscellaneous goods and services",2025,index_level,107.5,"unspecified (source table, likely 2018=100 per GASTAT CPI base)"
SAU,annual_average_index_by_section,"Personal care, social protection and miscellaneous goods and services",2024,index_level,102.3,
SAU,annual_average_index_by_section,"Personal care, social protection and miscellaneous goods and services",2025,pct_change_vs_2024,5.1,
SAU,monthly_general_index_yoy_pct_change,General Index,2025-05,yoy_pct_change,2.1,
SAU,monthly_general_index_yoy_pct_change,General Index,2025-06,yoy_pct_change,2.0,
SAU,monthly_general_index_yoy_pct_change,General Index,2025-07,yoy_pct_change,2.2,
SAU,monthly_general_index_yoy_pct_change,General Index,2025-08,yoy_pct_change,2.3,
SAU,monthly_general_index_yoy_pct_change,General Index,2025-09,yoy_pct_change,2.2,
