country_iso3,source_table,table_title,code,indicator,unit,year,value
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,A,"Agriculture, forestry and fishing",SAR million,2018,80256
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,A,"Agriculture, forestry and fishing",SAR million,2019,81795
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,A,"Agriculture, forestry and fishing",SAR million,2020,85116
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,A,"Agriculture, forestry and fishing",SAR million,2021,90214
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,A,"Agriculture, forestry and fishing",SAR million,2022,102912
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,A,"Agriculture, forestry and fishing",SAR million,2023,112308
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,A,"Agriculture, forestry and fishing",SAR million,2024,117893
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,01,"Crop and animal production, hunting and related service activities",SAR million,2018,77582
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,01,"Crop and animal production, hunting and related service activities",SAR million,2019,79007
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,01,"Crop and animal production, hunting and related service activities",SAR million,2020,82210
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,01,"Crop and animal production, hunting and related service activities",SAR million,2021,87101
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,01,"Crop and animal production, hunting and related service activities",SAR million,2022,99346
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,01,"Crop and animal production, hunting and related service activities",SAR million,2023,108434
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,01,"Crop and animal production, hunting and related service activities",SAR million,2024,113836
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,02,Forestry and logging,SAR million,2018,246
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,02,Forestry and logging,SAR million,2019,257
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,02,Forestry and logging,SAR million,2020,270
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,02,Forestry and logging,SAR million,2021,291
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,02,Forestry and logging,SAR million,2022,332
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,02,Forestry and logging,SAR million,2023,363
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,02,Forestry and logging,SAR million,2024,376
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,03,Fishing and aquaculture,SAR million,2018,2427
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,03,Fishing and aquaculture,SAR million,2019,2531
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,03,Fishing and aquaculture,SAR million,2020,2635
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,03,Fishing and aquaculture,SAR million,2021,2822
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,03,Fishing and aquaculture,SAR million,2022,3234
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,03,Fishing and aquaculture,SAR million,2023,3512
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,03,Fishing and aquaculture,SAR million,2024,3681
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,B,Mining and quarrying,SAR million,2018,981134
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,B,Mining and quarrying,SAR million,2019,849291
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,B,Mining and quarrying,SAR million,2020,477136
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,B,Mining and quarrying,SAR million,2021,900673
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,B,Mining and quarrying,SAR million,2022,1404388
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,B,Mining and quarrying,SAR million,2023,1047126
SAU,Table 1,Gross Domestic Product By Main Economic Activity at Current Prices,B,Mining and quarrying,SAR million,2024,931659
