category,1958/59,unit
Ministry of War,8217.0,million rials
Gendarmerie,1489.0,million rials
Police,1473.9,million rials
Ministry of Post and Telegraphs,753.8,million rials
Ministry of Education,3255.3,million rials
Universities and Tehran Education Department,1572.7,million rials
Ministry of Agriculture,618.5,million rials
Ministry of Roads,577.0,million rials
Ministry of Health,999.4,million rials
Ministry of Finance,1152.7,million rials
Ministry of Customs,483.8,million rials
Ministry of Commerce,36.8,million rials
Ministry of Labor,53.6,million rials
Ministry of Mines and Industry,67.6,million rials
Tobacco Monopoly,1235.1,million rials
Loss of Bread and Cereal Administration,501.5,million rials
Other,2774.3,million rials
Total,25262.0,million rials
