country_iso3,indicator_id,fiscal_year_ah,fiscal_year_label,year,value,unit,source_dataset,source_file,notes
IRN,iran_crude_oil_export_volume_thousand_bpd,1375,1996/97,1997,2441,thousand barrels per day,cbi-iran-annual-review,cbi_annual_review_1379_2000-01.pdf,
IRN,iran_oil_products_export_volume_thousand_bpd,1375,1996/97,1997,186,thousand barrels per day,cbi-iran-annual-review,cbi_annual_review_1379_2000-01.pdf,
IRN,iran_total_oil_export_volume_thousand_bpd,1375,1996/97,1997,2627,thousand barrels per day,cbi-iran-annual-review,cbi_annual_review_1379_2000-01.pdf,
IRN,iran_crude_oil_export_volume_thousand_bpd,1376,1997/98,1998,2342,thousand barrels per day,cbi-iran-annual-review,cbi_annual_review_1379_2000-01.pdf,"Identical in FY1380's report (own-vintage cross-check, no revision)."
IRN,iran_oil_products_export_volume_thousand_bpd,1376,1997/98,1998,222,thousand barrels per day,cbi-iran-annual-review,cbi_annual_review_1379_2000-01.pdf,"Identical in FY1380's report (own-vintage cross-check, no revision)."
IRN,iran_total_oil_export_volume_thousand_bpd,1376,1997/98,1998,2564,thousand barrels per day,cbi-iran-annual-review,cbi_annual_review_1379_2000-01.pdf,"Identical in FY1380's report (own-vintage cross-check, no revision)."
IRN,iran_crude_oil_export_volume_thousand_bpd,1377,1998/99,1999,2300,thousand barrels per day,cbi-iran-annual-review,cbi_annual_review_1379_2000-01.pdf,Identical in FY1380's report.
IRN,iran_oil_products_export_volume_thousand_bpd,1377,1998/99,1999,113,thousand barrels per day,cbi-iran-annual-review,cbi_annual_review_1379_2000-01.pdf,Identical in FY1380's report.
IRN,iran_total_oil_export_volume_thousand_bpd,1377,1998/99,1999,2413,thousand barrels per day,cbi-iran-annual-review,cbi_annual_review_1379_2000-01.pdf,Identical in FY1380's report.
IRN,iran_crude_oil_export_volume_thousand_bpd,1378,1999/00,2000,2079,thousand barrels per day,cbi-iran-annual-review,cbi_annual_review_1379_2000-01.pdf,Identical in FY1380's report.
IRN,iran_oil_products_export_volume_thousand_bpd,1378,1999/00,2000,197,thousand barrels per day,cbi-iran-annual-review,cbi_annual_review_1379_2000-01.pdf,Identical in FY1380's report.
IRN,iran_total_oil_export_volume_thousand_bpd,1378,1999/00,2000,2276,thousand barrels per day,cbi-iran-annual-review,cbi_annual_review_1379_2000-01.pdf,Identical in FY1380's report.
IRN,iran_crude_oil_export_volume_thousand_bpd,1379,2000/01,2001,2345,thousand barrels per day,cbi-iran-annual-review,cbi_annual_review_1380_2001-02.pdf,"FY1379's OWN report left this year's own-year column as '..' (not yet available at press time); value taken from FY1380's report, the earliest vintage that reports it."
IRN,iran_oil_products_export_volume_thousand_bpd,1379,2000/01,2001,181,thousand barrels per day,cbi-iran-annual-review,cbi_annual_review_1380_2001-02.pdf,"FY1379's OWN report left this year's own-year column as '..' (not yet available at press time); value taken from FY1380's report, the earliest vintage that reports it."
IRN,iran_total_oil_export_volume_thousand_bpd,1379,2000/01,2001,2526,thousand barrels per day,cbi-iran-annual-review,cbi_annual_review_1380_2001-02.pdf,"FY1379's OWN report left this year's own-year column as '..' (not yet available at press time); value taken from FY1380's report, the earliest vintage that reports it."
IRN,iran_crude_oil_export_volume_thousand_bpd,1380,2001/02,2002,2208,thousand barrels per day,cbi-iran-annual-review,cbi_annual_review_1380_2001-02.pdf,"Own-year report. LAST year this table appears in any of the 23 reports held -- confirmed by grep for 'EXPORT OF CRUDE OIL' / 'Export of Crude Oil' across all 23 plain-text extractions: zero hits in any FY1381-1401 report. CBI's own published oil-export VOLUME series stops here even though oil export REVENUE (via the Balance of Payments table) continues to be published every subsequent year through FY1401. Genuine source gap, not a project omission."
IRN,iran_oil_products_export_volume_thousand_bpd,1380,2001/02,2002,218,thousand barrels per day,cbi-iran-annual-review,cbi_annual_review_1380_2001-02.pdf,"Own-year report. LAST year this table appears in any of the 23 reports held -- confirmed by grep for 'EXPORT OF CRUDE OIL' / 'Export of Crude Oil' across all 23 plain-text extractions: zero hits in any FY1381-1401 report. CBI's own published oil-export VOLUME series stops here even though oil export REVENUE (via the Balance of Payments table) continues to be published every subsequent year through FY1401. Genuine source gap, not a project omission."
IRN,iran_total_oil_export_volume_thousand_bpd,1380,2001/02,2002,2426,thousand barrels per day,cbi-iran-annual-review,cbi_annual_review_1380_2001-02.pdf,"Own-year report. LAST year this table appears in any of the 23 reports held -- confirmed by grep for 'EXPORT OF CRUDE OIL' / 'Export of Crude Oil' across all 23 plain-text extractions: zero hits in any FY1381-1401 report. CBI's own published oil-export VOLUME series stops here even though oil export REVENUE (via the Balance of Payments table) continues to be published every subsequent year through FY1401. Genuine source gap, not a project omission."
