year,medium,metric,value,unit,source
1940,radio,radio_sets_total,20000,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing UNESCO Statistical Yearbook 1950 p.278"
1950,radio,radio_sets_total,60000,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing UNESCO Statistical Yearbook 1950 p.278 -- 'a decade later' than 1940, ~1 set per 300 people"
1976,radio,radio_ownership_urban,76,percent,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Markaz-e amar (Statistical Centre of Iran) p.144"
1976,radio,radio_ownership_rural,45,percent,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Markaz-e amar (Statistical Centre of Iran) p.144"
1988,radio,radio_stations_broadcasting_programs_1_2,89,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 1367 (1988) p.325"
1958,television,tv_station_founded,1,event,"Encyclopaedia Iranica COMMUNICATIONS in Persia -- first Persian TV station, Television Iran (Tabet Pasal), Tehran"
1960,television,tv_regional_station_founded,1,event,"Encyclopaedia Iranica COMMUNICATIONS in Persia -- first regional TV station, Abadan"
1966,television,tv_audience_reach_pre_nirt,2100000,persons,"Encyclopaedia Iranica COMMUNICATIONS in Persia -- 'before 1346 Sh/1967' i.e. up to 1966, private TV era"
1967,television,tv_audience_reach,4800000,persons,"Encyclopaedia Iranica COMMUNICATIONS in Persia -- when National Iranian Television began regular transmissions"
1974,television,tv_audience_reach,15000000,persons,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing NIRT Commercial Affairs 1974 p.30 -- approximately half the total population"
1974,television,tv_avg_daily_viewing_hours,6,hours,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing NIRT 1974 p.57"
1974,television,tv_avg_viewers_per_set,7,persons,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing NIRT 1974 p.57"
1974,television,tv_imported_programming_share_channel1,33,percent,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Katz & Shinar 1974 / Motamed-Nejad 1977"
1974,television,tv_imported_programming_share_channel2,60,percent,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Katz & Shinar 1974 / Motamed-Nejad 1977"
1978,television,tv_coverage_projection_pct_urban_large_villages,95,percent,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing NIRT p.42 -- projection made for 1357 Sh/1978"
1978,television,tv_coverage_projection_pct_total_population,75,percent,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing NIRT p.42"
1989,television,broadcasting_channels_total,578,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 1367 (1988) p.325"
1989,television,satellite_channels_total,159,count,"Encyclopaedia Iranica COMMUNICATIONS in Persia, citing Iran Statistical Yearbook 1367 (1988) p.325"
