category,product,share_of_imported_inputs_in_sales_value_pct,footnote_b_planned_project_under_construction,notes
Light Consumer Goods,Sugar,2,,
Light Consumer Goods,Meat Packing,10,,
Light Consumer Goods,Cotton Textiles,10,,
Light Consumer Goods,Footwear,10-20,,
Light Consumer Goods,Canned Fruits and Vegetables,10-20,,
Light Consumer Goods,Woolen Textiles,40,,
Light Consumer Goods,Vegetable Oils,50,,
Light Consumer Goods,Pharmaceuticals,60,,
Durable Consumer Goods,Electric Fans,26,yes,
Durable Consumer Goods,Radios,37-50,,
Durable Consumer Goods,Space Heaters,40,,
Durable Consumer Goods,Refrigerators,40,,"source annotates this figure ""(understated?)"""
Durable Consumer Goods,Air Coolers,60,,
Durable Consumer Goods,TV Sets,60,,
Transport Equipment,Diesel Engines,33-43,yes,
Transport Equipment,Trucks,48,,
Transport Equipment,Buses,,,"source gives n.a., annotated ""probably as trucks"" (i.e. similar to the Trucks figure of 48%)"
Transport Equipment,Passenger Cars,50,,
Transport Equipment,Tires,50,,
Intermediate Products,DDB (Dodecil Benzane),10,yes,
Intermediate Products,PVC,10,yes,
Intermediate Products,Caustic Soda,10,,
Intermediate Products,Glass (Sheet),10,,
Intermediate Products,Paper,25,yes,
Intermediate Products,Paints,45,,
Intermediate Products,Synthetic Fibres,,,"source gives n.a., annotated ""(above 50?)"""
Intermediate Products,Rolled Steel,60,,
Capital Goods,Cement,20,,
Capital Goods,Carbon Steel and Stainless Blades,20,,
Capital Goods,Telephone Receivers,20,,
Capital Goods,Electric Meters,20,yes,
Capital Goods,Telephone Exchanges,20,yes,
Capital Goods,"Steel Wire, Nails and Screws",30,,"source marks this figure with ""(?)"" indicating a doubtful/conflicting estimate"
Capital Goods,Pumps,40,,
Capital Goods,Transformers,45,,
Capital Goods,Cables,65-90,,
Capital Goods,Electric Switchgear,80,,
