topic,item,detail
Isfahan Steel Mill (Aryamehr / National Iranian Steel Corporation),Site selection,"Isfahan chosen; availability of water was the prime consideration, plus central location relative to raw materials (Kerman-area coal/iron ore) and markets (concentrated in Tehran area)"
Isfahan Steel Mill,Financing,"Financed via a gas-sales arrangement (barter) with the Soviet Union -- natural gas exports as repayment, attractive partly because no alternative export market for the gas existed at the time (LNG liquefaction not yet commercially developed)"
Isfahan Steel Mill,Supplier selection context,"USSR was reportedly the ONLY country prepared to supply an integrated iron and steelworks to Iran at the time of planning, limiting the Government's choice"
Isfahan Steel Mill,Associated town,Aryashar -- a new modern town built alongside the steel complex to serve it; construction cost of the town was NOT initially separated from the steel plant's cost in official accounting
Isfahan Steel Mill,Stage 1 capacity/target date,"750,000 tons of ingot steel by mid-1972 (planned output later limited to this figure rather than a more economically efficient 1.2 million tons, due to a binding constraint: limited supply of high-quality coking coal and water for coal washeries at the mines -- required somewhat uneconomic coal-mining procedures to hit the startup date)"
Isfahan Steel Mill,Stage 2 capacity/target date,2 to 2.5 million tons by 1975
Isfahan Steel Mill,Stage 3 capacity/target date,4 to 5 million tons by the end of the 1970s
Isfahan Steel Mill,Site infrastructure ultimate capacity,"Infrastructure at Isfahan estimated adequate for a mill of up to 7 million tons, though planning beyond 4-5 million tons was 'not yet advanced' as of this 1972 report"
Isfahan Steel Mill,Equipment,"Conventional blast furnace with gas fuel injection, coke ovens and auxiliary by-product plant, L.D. (Linz-Donawitz) steel converters, continuous casting equipment, and rolling mills; bars/rods (light to heavy sections) rolled up to 2 million ton capacity, flat-rolled products envisaged only once capacity exceeds 2 million tons"
Isfahan Steel Mill,Construction status (as of 1972 report),"Construction running according to schedule -- described as 'a formidable achievement' given enterprise size, attributed to successful collaboration between Iranian civil engineers in charge and their Russian technical advisers"
Isfahan Steel Mill,Investment cost assessment,"Report states it was 'impossible accurately to assess the investment' for the first-stage plant specifically, because much of the initial investment was already made in preparation for the larger 2-million-plus-ton stages, and infrastructure/town costs were commingled with plant costs in the accounts -- no single all-in dollar figure given in this source"
Isfahan Steel Mill,Competitive positioning risk noted by report,"Report flags that the Isfahan mill's initial product mix (bars/rods) would compete directly with existing private bar-rolling mills near Ahwaz, and notes it was 'perhaps unfortunate' the Isfahan mill did not begin with flat-rolled products given larger unmet demand for those"
IDRO (Industrial Development and Renovation Organization) capital-goods plants,Aluminum plant,"Location: Arak. Partner: Reynolds (US) -- matches the 'Iralco' aluminum smelter also documented independently in the USGS Minerals Yearbook 1975 chapter (same round, see usgs-minerals-yearbook/historical-pre1990-volumes/iran-production-extraction/)"
IDRO capital-goods plants,Heavy engineering complex,Location: Arak. Same financing arrangement as the steel complex (i.e. USSR barter financing)
IDRO capital-goods plants,Machine tool factory,Location: Tabriz. Financed and technically assisted by Czechoslovakia
IDRO capital-goods plants,Agricultural equipment factory,Location: Tabriz. Financed and technically assisted by Romania
IDRO capital-goods plants,Common characteristics noted by report,"All (except the aluminum plant) described as 'very solid construction' but 'lacking in flexibility'; all being completed on schedule and locally managed; report flags a forward risk that combined production capacity of these plants will exceed local product demand for some time, making IDRO's product-mix design and export strategy important for economic multi-shift utilization"
Textile sector (mass-consumption segment),Price competitiveness,'Chit' and 'khodari' mass-consumption textiles -- at least 70 percent of total domestic textile consumption -- priced approximately 25-40 percent above the average price of similar products imported into the USA (net of indirect taxes); wool prices (net of high import duties on wool) roughly comparable to import prices
Automotive sector,Paykan price competitiveness,"Selected automobile makes in Iran priced 15-40 percent above international prices; the Paykan specifically -- described as having 'the largest market' -- was only about 15 percent above the price set by a recently-determined international competitive tender in Kuwait, i.e. the most internationally price-competitive Iranian-made car of the ones compared"
Automotive sector,Buses,"Roughly comparable in price to imports, attributed to the high proportion of labor cost in bus production"
Automotive sector,Forward planning (1972),"Import substitution being extended to motor-vehicle COMPONENT industries specifically (as opposed to just final assembly) -- new intermediate-product plants planned/underway for piston, gearbox and electrical-systems production to service the motor vehicle industry; a compressor plant likewise planned to service the refrigerator industry"
Capital goods sector (national context),Composition (1972),"Capital goods production 'presently very small' -- chief components: trucks, buses, trailers, communications equipment, and water pumps. New IDRO-linked public enterprises were adding machine tools, agricultural machinery and other engineering products"
