year,metric,value,unit,note
1962,cars_total,105.9,thousand vehicles,
1962,cars_private,99.2,thousand vehicles,
1962,cars_government,6.7,thousand vehicles,
1962,buses_total,9.0,thousand vehicles,
1962,buses_private,8.4,thousand vehicles,
1962,buses_government,0.6,thousand vehicles,
1962,trucks_total,35.0,thousand vehicles,"mission estimate (e), private/government breakdown not given in source"
1962,all_vehicles_total,149.9,thousand vehicles,
1962,gasoline_consumption,4.22,million barrels,
1963,cars_total,122.1,thousand vehicles,
1963,cars_private,114.8,thousand vehicles,
1963,cars_government,7.3,thousand vehicles,
1963,buses_total,10.4,thousand vehicles,
1963,buses_private,9.6,thousand vehicles,
1963,buses_government,0.8,thousand vehicles,
1963,trucks_total,36.0,thousand vehicles,"mission estimate (e), private/government breakdown not given in source"
1963,all_vehicles_total,168.5,thousand vehicles,
1963,gasoline_consumption,4.42,million barrels,
1964,cars_total,143.8,thousand vehicles,
1964,cars_private,134.8,thousand vehicles,
1964,cars_government,9.0,thousand vehicles,
1964,buses_total,11.5,thousand vehicles,
1964,buses_private,10.7,thousand vehicles,
1964,buses_government,0.8,thousand vehicles,
1964,trucks_total,37.0,thousand vehicles,"mission estimate (e), private/government breakdown not given in source"
1964,all_vehicles_total,192.3,thousand vehicles,
1964,gasoline_consumption,4.65,million barrels,
1965,cars_total,199.6,thousand vehicles,
1965,cars_private,189.0,thousand vehicles,
1965,cars_government,10.6,thousand vehicles,
1965,buses_total,16.8,thousand vehicles,
1965,buses_private,16.0,thousand vehicles,
1965,buses_government,0.8,thousand vehicles,
1965,trucks_total,40.0,thousand vehicles,"mission estimate (e), private/government breakdown not given in source"
1965,all_vehicles_total,256.4,thousand vehicles,
1965,gasoline_consumption,4.49,million barrels,
1966,cars_total,227.9,thousand vehicles,
1966,cars_private,215.6,thousand vehicles,
1966,cars_government,12.3,thousand vehicles,
1966,buses_total,19.2,thousand vehicles,
1966,buses_private,18.4,thousand vehicles,
1966,buses_government,0.8,thousand vehicles,
1966,trucks_total,43.0,thousand vehicles,"mission estimate (e), private/government breakdown not given in source"
1966,all_vehicles_total,290.1,thousand vehicles,
1966,gasoline_consumption,5.03,million barrels,
1967,cars_total,233.1,thousand vehicles,mission estimate (e)
1967,cars_private,225.9,thousand vehicles,
1967,cars_government,7.2,thousand vehicles,
1967,buses_total,19.3,thousand vehicles,
1967,buses_private,19.0,thousand vehicles,
1967,buses_government,0.3,thousand vehicles,
1967,trucks_total,45.0,thousand vehicles,"mission estimate (e), private/government breakdown not given in source"
1967,all_vehicles_total,297.4,thousand vehicles,
1967,gasoline_consumption,5.57,million barrels,
1968,cars_total,245.2,thousand vehicles,mission estimate (e)
1968,cars_private,236.7,thousand vehicles,
1968,cars_government,8.5,thousand vehicles,
1968,buses_total,19.3,thousand vehicles,
1968,buses_private,17.2,thousand vehicles,
1968,buses_government,2.1,thousand vehicles,
1968,trucks_total,52.0,thousand vehicles,"mission estimate (e), private/government breakdown not given in source"
1968,all_vehicles_total,316.5,thousand vehicles,
1968,gasoline_consumption,5.96,million barrels,
1969,cars_total,260.9,thousand vehicles,
1969,cars_private,247.5,thousand vehicles,
1969,cars_government,13.4,thousand vehicles,
1969,buses_total,19.5,thousand vehicles,
1969,buses_private,19.1,thousand vehicles,
1969,buses_government,0.4,thousand vehicles,
1969,trucks_total,65.0,thousand vehicles,"mission estimate (e), private/government breakdown not given in source"
1969,all_vehicles_total,345.4,thousand vehicles,
1969,gasoline_consumption,6.68,million barrels,
1970,cars_total,285.4,thousand vehicles,
1970,cars_private,268.7,thousand vehicles,
1970,cars_government,16.7,thousand vehicles,
1970,buses_total,12.0,thousand vehicles,
1970,buses_private,11.6,thousand vehicles,
1970,buses_government,0.4,thousand vehicles,
1970,trucks_total,75.0,thousand vehicles,"mission estimate (e), private/government breakdown not given in source"
1970,all_vehicles_total,372.4,thousand vehicles,
1970,gasoline_consumption,8.04,million barrels,
1971,cars_total,330.2,thousand vehicles,
1971,cars_private,306.8,thousand vehicles,
1971,cars_government,23.4,thousand vehicles,
1971,buses_total,18.1,thousand vehicles,
1971,buses_private,18.1,thousand vehicles,
1971,buses_government,0.0,thousand vehicles,
1971,trucks_total,87.0,thousand vehicles,"mission estimate (e), private/government breakdown not given in source"
1971,all_vehicles_total,435.3,thousand vehicles,
1971,gasoline_consumption,9.26,million barrels,
1972,cars_total,374.6,thousand vehicles,mission estimate (e)
1972,cars_private,347.7,thousand vehicles,
1972,cars_government,26.9,thousand vehicles,
1972,buses_total,19.5,thousand vehicles,
1972,buses_private,19.5,thousand vehicles,
1972,buses_government,0.0,thousand vehicles,
1972,trucks_total,96.0,thousand vehicles,"mission estimate (e), private/government breakdown not given in source"
1972,all_vehicles_total,490.1,thousand vehicles,
1972,gasoline_consumption,10.1,million barrels,
