commodity,fiscal_year,unit,value
Tea,1954/55,1000 metric tons,6.0
Tea,1955/56,1000 metric tons,7.0
Tea,1956/57,1000 metric tons,7.8
Tea,1957/58,1000 metric tons,7.8
Tea,1958/59,1000 metric tons,8.0
Sugar,1954/55,1000 metric tons,61.7
Sugar,1955/56,1000 metric tons,76.8
Sugar,1956/57,1000 metric tons,85.2
Sugar,1957/58,1000 metric tons,86.5
Sugar,1958/59,1000 metric tons,93.9
Cement,1954/55,1000 metric tons,65.0
Cement,1955/56,1000 metric tons,131.9
Cement,1956/57,1000 metric tons,321.5
Cement,1957/58,1000 metric tons,322.0
Cement,1958/59,1000 metric tons,410.1
Cotton cloth,1954/55,million metres,64.5
Cotton cloth,1955/56,million metres,55.3
Cotton cloth,1956/57,million metres,61.9
Cotton cloth,1957/58,million metres,63.0
Cotton cloth,1958/59,million metres,107.0
Woolen cloth,1954/55,million metres,1.9
Woolen cloth,1955/56,million metres,2.3
Woolen cloth,1956/57,million metres,3.3
Woolen cloth,1957/58,million metres,3.4
Woolen cloth,1958/59,million metres,1.7
Jute cloth,1954/55,million metres,5.4
Jute cloth,1955/56,million metres,6.1
Jute cloth,1956/57,million metres,5.2
Jute cloth,1957/58,million metres,6.0
Jute cloth,1958/59,million metres,5.2
Silk cloth,1954/55,million metres,0.6
Silk cloth,1955/56,million metres,0.4
Silk cloth,1956/57,million metres,0.1
Silk cloth,1957/58,million metres,0.2
Silk cloth,1958/59,million metres,0.1
Cigarettes,1954/55,million Nos,6.7
Cigarettes,1955/56,million Nos,6.8
Cigarettes,1956/57,million Nos,6.6
Cigarettes,1957/58,million Nos,6.7
Cigarettes,1958/59,million Nos,7.2
Matches,1954/55,million Nos,408.9
Matches,1955/56,million Nos,365.2
Matches,1956/57,million Nos,317.5
Matches,1957/58,million Nos,350.0
Matches,1958/59,million Nos,401.4
Soap,1954/55,1000 metric tons,58.0
Soap,1955/56,1000 metric tons,58.7
Soap,1956/57,1000 metric tons,53.7
Soap,1957/58,1000 metric tons,54.7
Soap,1958/59,1000 metric tons,35.0
Rubber shoes,1954/55,million pairs,0.6
Rubber shoes,1955/56,million pairs,0.8
Rubber shoes,1956/57,million pairs,2.9
Rubber shoes,1957/58,million pairs,3.0
Rubber shoes,1958/59,million pairs,8.2
Glass,1954/55,million square metres,
Glass,1955/56,million square metres,0.3
Glass,1956/57,million square metres,0.5
Glass,1957/58,million square metres,0.6
Glass,1958/59,million square metres,0.8
Soft drinks,1954/55,million bottles,
Soft drinks,1955/56,million bottles,96.5
Soft drinks,1956/57,million bottles,128.0
Soft drinks,1957/58,million bottles,138.5
Soft drinks,1958/59,million bottles,127.5
