year,product,value_thousand_mtons
1964,fuel_oil,1247
1964,gas_oil,1117
1964,kerosene,1188
1964,gasoline,612
1964,other_products_incl_liquid_gas,310
1964,total_consumption,4474
1965,fuel_oil,1417
1965,gas_oil,1319
1965,kerosene,2216
1965,gasoline,591
1965,other_products_incl_liquid_gas,409
1965,total_consumption,4952
1966,fuel_oil,1638
1966,gas_oil,1557
1966,kerosene,1266
1966,gasoline,662
1966,other_products_incl_liquid_gas,506
1966,total_consumption,5629
1967,fuel_oil,1852
1967,gas_oil,1808
1967,kerosene,1496
1967,gasoline,706
1967,other_products_incl_liquid_gas,611
1967,total_consumption,6473
1968,fuel_oil,2133
1968,gas_oil,2042
1968,kerosene,1647
1968,gasoline,780
1968,other_products_incl_liquid_gas,551
1968,total_consumption,7153
1969,fuel_oil,2332
1969,gas_oil,2196
1969,kerosene,1933
1969,gasoline,883
1969,other_products_incl_liquid_gas,689
1969,total_consumption,8033
