year_or_period,metric,value,unit,cited_source
1956,"Total population (1956 census, adjusted for under-enumeration)",19.3,million,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 3"
1966,"Total population (1966 census, adjusted for under-enumeration + tribal/nomad estimate)",26.1,million,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 3"
1956-1966,Population growth rate (decade average),3.1,percent/year,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 3"
1956,"Crude birth rate (demographic estimate, no direct measurement existed)",~46,per 1000,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 4"
1966,Crude birth rate (demographic estimate),~48,per 1000,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 4"
1956,Crude death rate (demographic estimate),20,per 1000,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 4"
1960,Crude death rate (demographic estimate),17.8,per 1000,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 4"
1966,Life expectancy at birth (narrative-text estimate; NOTE conflicts with same document's Table 1.4 value of 45.6 -- both cited here as the source itself is internally inconsistent),53,years,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 4"
1966,Life expectancy at birth (Table 1.4 / Plan Organization estimate; NOTE conflicts with para 4 narrative value of 53 -- see note above),45.6,years,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 38 and Table 1.4"
1982,Life expectancy at birth (Plan Organization projection made in 1971),52.6,years,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 38"
1956,Urban share of population (settlements 5000+),~33,percent,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 9"
1956,Share of population in cities of 100000+ (9 cities),16,percent,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 9"
1966,Urban share of population,40,percent,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 9"
1966,Share of population in cities of 100000+ (14 cities; >5 million people),23,percent,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 9"
1956-1966,Tehran population annual growth rate,6.6,percent/year,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 9"
1966,Tehran share of national population,11,percent,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 9"
1970,Urban share of population (Plan Organization estimate),~43,percent,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 9"
1970,Tehran population (Plan Organization estimate),3.8,million,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 9"
1970,Tehran share of national population (Plan Organization estimate),13,percent,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 9"
mid-1960s,"General fertility rate (live births per 1000 women 15-44), rural areas",295,per 1000 women 15-44,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 7"
mid-1960s,"General fertility rate (live births per 1000 women 15-44), Tehran",210,per 1000 women 15-44,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 7"
mid-1960s,"Completed family size per married woman, rural areas",7.6,children,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 7"
mid-1960s,"Completed family size per married woman, Tehran",6.0,children,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 7"
mid-1960s,"Net reproduction rate, rural areas",2.21,ratio,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 7"
mid-1960s,"Net reproduction rate, Tehran",2.14,ratio,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 7"
1966,Gross reproduction rate,3.47,ratio,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 38"
1972,Gross reproduction rate (Plan Organization projection made in 1971),3.24,ratio,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 38"
1982,Gross reproduction rate (Plan Organization projection made in 1971),2.63,ratio,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 38"
1970 (present at time of writing),Crude death rate (Plan Organization projection basis),17,per 1000,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 38"
1982,Crude death rate (Plan Organization projection made in 1971),15,per 1000,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 38"
1970,Total population (Plan Organization estimate),29,million,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 37"
1972,"Total population (Plan Organization projection, end of Fourth Plan)",31,million,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 37"
1982,Total population (Plan Organization projection made in 1971),41,million,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 37"
1970 (present at time of writing),Population growth rate (Plan Organization projection basis),3.0,percent/year,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 37"
1982,Population growth rate (Plan Organization projection made in 1971),2.8,percent/year,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 37"
1956,Active (labor force) population -- males,5.5,million,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 44"
1956,Active (labor force) population -- females,0.6,million,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 44"
1956,Active (labor force) population -- total,6.1,million,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 44"
1956,Active population as share of total population,31,percent,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 44"
1956,Male labor force participation rate (age 10+),84,percent,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 44"
1956,Female labor force participation rate (age 10+),9,percent,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 44"
1966,Active (labor force) population -- males,6.8,million,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 45"
1966,Male labor force participation rate (age 10+),77,percent,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 45"
1966,Active (labor force) population -- females,1.0,million,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 45"
1966,Female labor force participation rate (age 10+),~12,percent,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 45"
1956,Unemployment rate (share of economically active population),3,percent,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 46"
1966,Unemployment rate (share of economically active population),10,percent,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 46"
1956,Female unemployment rate (census showed no female unemployment -- flagged by WB report itself as implausible / evidence of inadequate 1956 census enumeration of employment status),0,percent,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 46"
1966,Female unemployment rate,9,percent,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 46"
1966,Active population -- total,8,million,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 59"
1972,Active population -- total (Plan Organization projection made in 1971; 1966 total + 1.3 million),9.3,million,"WB 1971_cep_vol3_population_employment_family_planning.pdf, para 59"
1956,Economically active population by sector -- agriculture,56,percent of active population,"WB 1971_cep_vol3_population_employment_family_planning.pdf, table under para 57"
1956,Economically active population by sector -- industry,20,percent of active population,"WB 1971_cep_vol3_population_employment_family_planning.pdf, table under para 57"
1956,Economically active population by sector -- services,24,percent of active population,"WB 1971_cep_vol3_population_employment_family_planning.pdf, table under para 57"
1966,Economically active population by sector -- agriculture,50,percent of active population,"WB 1971_cep_vol3_population_employment_family_planning.pdf, table under para 57"
1966,Economically active population by sector -- industry,25,percent of active population,"WB 1971_cep_vol3_population_employment_family_planning.pdf, table under para 57"
1966,Economically active population by sector -- services,25,percent of active population,"WB 1971_cep_vol3_population_employment_family_planning.pdf, table under para 57"
1966,Tehran city population (settlement-size breakdown table),2.72,million,"WB 1971_cep_vol7_statistical_annex.pdf, Table 1.3 (source: Plan Organization)"
1966,Tehran households,567,thousand,"WB 1971_cep_vol7_statistical_annex.pdf, Table 1.3"
