year,month,day,locationName,latitude,longitude,eqMagnitude,eqMagMw,eqMagMs,eqDepth,intensity,deaths,deathsTotal,injuries,injuriesTotal,housesDestroyed,housesDestroyedTotal,damageMillionsDollars,damageMillionsDollarsTotal
1956,10,31,IRAN:  BASTAK,27.407,54.462,6.4,6.4,6.2,15,8,410,410,,,,,2.8,2.8
1960,4,24,IRAN:  LAR,27.814,54.497,5.9,5.9,5.8,15,7,420,420,3000,3000,,,20,20
1962,9,1,IRAN:   BUYIN-ZARA,35.63,49.87,7.2,,7.2,27,9,12225,12225,2776,2776,21310,21310,30,30
1968,4,29,"IRAN:  MAKU,SHAH BANDALU,QURTA BOLAGH,QONDEQLI",39.253,44.203,5.6,5.6,5.3,34,7,38,38,100,100,1000,1000,1,1
1968,8,31,IRAN:  DASHT-E-BAYAZ,34.158,59.083,7.1,7.1,7.3,13,10,10488,10488,17000,17000,12000,12000,35,35
1970,7,30,"IRAN:  KARNAVEH, MAREV",37.8,55.9,6.7,,6.7,16,8,220,220,483,483,2000,2000,8,8
1978,9,16,IRAN:  TABAS,33.205,57.478,7.4,7.4,7.8,33,9,20000,20000,,,15000,15000,50,50
1978,11,4,"IRAN:  RASHT, SIAHBIL",37.684,48.996,6.3,6.3,6,34,7,26,26,,,541,541,1.2,1.2
1980,12,19,"IRAN:  N CENTRAL, TEHRAN",34.587,50.652,6,6,5.8,33,7,26,26,,,,,5,5
1980,12,22,"IRAN:  N CENTRAL, TEHRAN",34.503,50.59,5.2,,5.2,41,6,3,3,139,139,,,1,1
1981,6,11,IRAN:  SE:  GOLBAFT,29.913,57.715,6.6,6.6,6.7,33,8,1400,1400,3000,3000,,,5,5
1981,7,28,"IRAN:  SE, KERMAN",30.013,57.794,7,7,7.1,33,9,3000,3000,1000,1000,,,1000,1000
1983,3,25,"IRAN:  TEHRAN, DAMAVOND, AMOI",35.953,52.264,4.9,,4.9,33,6,30,30,61,61,,,5,5
1983,7,22,"IRAN:  NW, ZANJIN",36.948,49.18,5,,5,41,6,4,4,41,41,75,75,5,5
1989,5,27,"IRAN:  DO GOBADAN, FARS, YASUJ",30.167,50.921,5.8,,5.8,31,,114,114,,,,,5,5
1990,6,20,"IRAN:  RASHT, QAZVIN, ZANJAN,  RUDBAR, MANJIL",36.957,49.409,7.3,7.3,7.7,19,7,40000,40000,105000,105000,100000,100000,7200,7200
1990,11,6,"IRAN:  S, DARAB",28.251,55.462,6.5,6.5,6.7,11,8,22,22,90,90,1445,1445,232.3,232.3
1994,2,23,IRAN:  SISTAN,30.853,60.596,6.1,6.1,6.1,6,7,6,6,,,300,300,1.4,1.4
1997,2,4,"IRAN:  BOJNURD, SHIRVAN, ESFARAYEN",37.661,57.291,6.5,6.5,6.8,10,8,88,88,1948,1948,5500,5500,30,30
1997,2,28,IRAN:  ARDABIL,38.075,48.05,6.1,6.1,6.1,10,8,1100,1100,2600,2600,12000,12000,76,76
1997,5,10,"IRAN: BIRJAND, GHAEN;  AFGHANISTAN",33.825,59.809,7.2,7.2,7.3,10,10,1728,1728,2300,2300,10533,10533,100,100
2002,6,22,IRAN:  AB GARM-ABHAR-AVAJ-SHIRIN SU,35.626,49.047,6.5,6.5,6.4,10,8,261,261,1300,1300,,,300,300
2003,7,10,IRAN:  SOUTHERN: GAJJIABAD,28.355,54.169,5.8,5.8,5.5,10,7,1,1,25,25,3500,3500,21.6,21.6
2003,12,26,"IRAN:  SOUTHEASTERN:  BAM, BARAVAT",28.995,58.311,6.6,6.6,6.8,10,9,31000,31000,30000,30000,,,500,500
2004,5,28,"IRAN:  MAZANDARAN, QAZVIN, TEHRAN",36.29,51.61,6.3,6.3,6.3,17,8,35,35,400,400,3880,3880,165,165
2012,8,11,"IRAN:  AHAR, HARIS, VARZAGAN",38.329,46.826,6.5,6.5,6.7,11,,306,306,3000,3000,,,599,599
2013,4,9,"IRAN:  BUSHEHR PROVINCE:  SHANBE, KAKI, SENA",28.428,51.593,6.4,6.4,6.3,12,4,37,37,850,850,,,297,297
2014,1,2,IRAN:  BASTAK,27.15,54.448,5.2,5.2,,8,,1,1,30,30,,,2,2
2014,8,18,IRAN:  ILAM PROVINCE:  ABDANAN,32.703,47.695,6.2,6.2,,10,8,,,330,330,2700,2700,43,43
2017,5,13,IRAN: KHORASAN,37.769,57.206,5.6,5.6,,8,7,3,3,417,417,,,2,2
2017,11,12,IRAN: KERMANSHAH; IRAQ: KURDISTAN,34.911,45.959,7.3,7.3,,19,8,630,630,12900,12900,15500,15500,750,750
2021,2,17,"IRAN: ESFAHAN, KOHGILUYEH, BOYER-AHMAD",30.839,51.365,5.4,5.4,,7,8,2,2,63,63,,,10,10
2021,11,14,IRAN:  HORMOZGAN PROVINCE,27.736,56.077,6.3,,,10,9,2,2,,,,,165,165
2022,7,1,IRAN:  HORMOZGAN PROVINCE,26.906,55.239,6,6,,16,5,5,5,84,84,,,142,142
2023,1,18,IRAN:  AZARBAIJAN,38.433,44.946,5.7,5.7,,19,,,,252,252,370,370,50,50
2023,1,28,IRAN:  KHVOY (KHOY),38.424,44.909,5.9,5.9,,16,8,3,3,1017,1017,370,370,255,255
