year_sh,number_of_companies,number_of_branches,number_of_brokers,number_of_agents,number_of_life_insurance_agents,number_of_loss_adjusters,number_of_policies,number_of_claims,edition
1382,13,400,204,6000,,,14648097,2618520,annualreport20052006
1383,15,410,233,6484,,,15909296,2321158,annualreport20052006
1384,16,424,257,7134,,,17735069,2989538,annualreport20052006
1386,19,557,254,8532,,,25599673,3298267,annualreport20092010
1387,20,649,266,11530,,,30650620,3641654,annualreport20092010
1388,20,731,288,15221,,,32712647,4013631,annualreport20092010
1387,20,648,266,11530,657,17,28569285,3641654,annualreport2011
1388,21,730,288,15221,865,28,29478857,4024834,annualreport2011
1389,22,803,324,19554,1344,58,32415077,5998824,annualreport2011
1386,19,557,254,8532,,16,25408860,3382674,annualreport2012
1387,20,649,266,11530,657,17,28569285,3641654,annualreport2012
1388,20,732,288,15221,865,28,29478857,4024834,annualreport2012
1389,22,805,324,19554,1344,58,31931184,6692495,annualreport2012
1390,25,850,384,25304,3956,106,35290747,7141026,annualreport2012
1387,20,649,266,11538,657,11,28569285,3641654,annualreport_1391_2012-2013
1388,21,732,288,15221,865,20,29478857,4024834,annualreport_1391_2012-2013
1389,22,805,324,19554,1344,47,31931184,6692495,annualreport_1391_2012-2013
1390,25,850,384,25304,2840,129,35880048,8877434,annualreport_1391_2012-2013
1391,27,867,415,30958,3415,175,38526659,13140049,annualreport_1391_2012-2013
