year_sh,earned_premium_million_irr,incurred_loss_million_irr,loss_ratio_pct,edition,earned_premium_usd_nominal,earned_premium_usd_real_2015,incurred_loss_usd_nominal,incurred_loss_usd_real_2015,currency_conversion_note
1379,3535553,2486847,70.34,annualreport20052006,441.4705,1061.0325,310.5227,746.3119,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1379)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2001=8008.583333333333, rebased CPI_2001=9.8982"
1380,4826696,3930514,81.43,annualreport20052006,602.6402,1266.8776,490.7468,1031.654,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1380)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2002=8009.25, rebased CPI_2002=11.3173"
1381,7626378,6039273,79.19,annualreport20052006,922.7597,1718.6899,730.7266,1361.0179,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1381)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2003=8264.75, rebased CPI_2003=13.181"
1382,11175058,8060264,72.13,annualreport20052006,1257.7443,2194.4876,907.1766,1582.824,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1382)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2004=8885.0, rebased CPI_2004=15.1267"
1383,15086306,11368002,75.35,annualreport20052006,1682.9882,2611.7168,1268.1841,1968.01,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1383)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2005=8964.0, rebased CPI_2005=17.1587"
1384,19553379,15294849,78.22,annualreport20052006,2119.148,3076.8724,1657.6188,2406.7604,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1384)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2006=9227.0, rebased CPI_2006=18.8773"
1384,19587968,15378901,78.51,annualreport20092010,2122.8967,3082.3152,1666.7282,2419.9866,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1384)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2006=9227.0, rebased CPI_2006=18.8773"
1385,23754638,17824124,75.03,annualreport20092010,2524.9403,3185.5656,1894.571,2390.2665,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1385)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2007=9408.0, rebased CPI_2007=22.1508"
1386,29972473,22080363,73.67,annualreport20092010,3278.188,3204.9943,2415.002,2361.081,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1386)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2008=9143.0, rebased CPI_2008=27.7794"
1387,33825409,25249666,74.65,annualreport20092010,3416.708,3185.3257,2550.4713,2377.7513,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1387)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2009=9900.0, rebased CPI_2009=31.544"
