year_sh,state_owned_companies,private_companies,state_owned_employees,private_employees,number_of_branches,number_of_agents,number_of_life_insurance_agents,number_of_brokers,number_of_loss_adjusters,edition
1385,4,15,7857,1928,534,7852,0,234,12,annualreport2011
1386,4,15,8157,2612,556,8532,0,254,16,annualreport2011
1387,4,16,10406,3273,648,11530,657,266,17,annualreport2011
1388,2,19,6443,8191,730,15221,865,288,28,annualreport2011
1389,1,21,5068,10518,803,19554,1344,324,58,annualreport2011
1387,4,16,9946,3733,649,11538,657,266,11,annualreport_1391_2012-2013
1388,2,19,6003,8631,732,15221,865,288,20,annualreport_1391_2012-2013
1389,1,21,4614,10824,805,19554,1344,324,47,annualreport_1391_2012-2013
1390,1,24,4598,11810,850,25304,2840,384,129,annualreport_1391_2012-2013
1391,1,26,4573,13067,867,30958,3415,415,175,annualreport_1391_2012-2013
