class_label,year_sh,earned_premium_million_irr,incurred_loss_million_irr,loss_ratio_pct,edition,earned_premium_usd_nominal,earned_premium_usd_real_2015,incurred_loss_usd_nominal,incurred_loss_usd_real_2015,currency_conversion_note
Fire,1383,1078880,459075,42.55,annualreport20052006,120.357,186.774,51.2132,79.4743,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1383)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2005=8964.0, rebased CPI_2005=17.1587"
Fire,1384,1468850,482510,32.85,annualreport20052006,159.1904,231.1347,52.2933,75.9266,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1384)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2006=9227.0, rebased CPI_2006=18.8773"
Marine Cargo,1383,907320,124008,13.67,annualreport20052006,101.2182,157.0738,13.834,21.4681,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1383)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2005=8964.0, rebased CPI_2005=17.1587"
Marine Cargo,1384,892391,114900,12.88,annualreport20052006,96.7152,140.4245,12.4526,18.0804,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1384)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2006=9227.0, rebased CPI_2006=18.8773"
Marine Hull,1383,57922,25452,43.94,annualreport20052006,6.4616,10.0274,2.8394,4.4062,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1383)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2005=8964.0, rebased CPI_2005=17.1587"
Marine Hull,1384,78620,117679,149.68,annualreport20052006,8.5206,12.3715,12.7538,18.5177,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1384)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2006=9227.0, rebased CPI_2006=18.8773"
Accident,1383,879594,356678,40.55,annualreport20052006,98.1252,152.2739,39.79,61.7475,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1383)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2005=8964.0, rebased CPI_2005=17.1587"
Accident,1384,1061479,464392,43.75,annualreport20052006,115.0405,167.0318,50.3297,73.0756,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1384)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2006=9227.0, rebased CPI_2006=18.8773"
Motor (P.D.),1383,2173301,1246973,57.38,annualreport20052006,242.4477,376.2383,139.109,215.8739,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1383)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2005=8964.0, rebased CPI_2005=17.1587"
Motor (P.D.),1384,2938289,1981719,67.44,annualreport20052006,318.4447,462.362,214.7739,311.8385,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1384)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2006=9227.0, rebased CPI_2006=18.8773"
Motor (T.P.L.),1383,6058813,6221278,102.68,annualreport20052006,675.9051,1048.8919,694.0292,1077.0175,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1383)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2005=8964.0, rebased CPI_2005=17.1587"
Motor (T.P.L.),1384,8389297,8458386,100.82,annualreport20052006,909.2118,1320.1195,916.6995,1330.9912,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1384)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2006=9227.0, rebased CPI_2006=18.8773"
Aviation,1383,288315,131880,45.74,annualreport20052006,32.1637,49.9126,14.7122,22.8309,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1383)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2005=8964.0, rebased CPI_2005=17.1587"
Aviation,1384,294834,85189,28.89,annualreport20052006,31.9534,46.3944,9.2326,13.4051,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1384)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2006=9227.0, rebased CPI_2006=18.8773"
Engineering,1383,380358,163033,42.86,annualreport20052006,42.4317,65.847,18.1875,28.224,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1383)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2005=8964.0, rebased CPI_2005=17.1587"
Engineering,1384,451092,403799,89.52,annualreport20052006,48.8883,70.9827,43.7628,63.5408,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1384)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2006=9227.0, rebased CPI_2006=18.8773"
Health,1383,1287623,1145742,88.98,annualreport20052006,143.6438,222.9112,127.8159,198.349,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1383)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2005=8964.0, rebased CPI_2005=17.1587"
Health,1384,1568099,1800743,114.84,annualreport20052006,169.9468,246.7523,195.1602,283.3606,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1384)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2006=9227.0, rebased CPI_2006=18.8773"
Others,1383,1323608,881862,66.63,annualreport20052006,147.6582,229.1409,98.3782,152.6665,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1383)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2005=8964.0, rebased CPI_2005=17.1587"
Others,1384,1408385,694534,49.31,annualreport20052006,152.6374,221.6201,75.2719,109.2902,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1384)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2006=9227.0, rebased CPI_2006=18.8773"
Life,1383,650571,612019,94.07,annualreport20052006,72.576,112.6258,68.2752,105.9517,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1383)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2005=8964.0, rebased CPI_2005=17.1587"
Life,1384,1002043,690998,68.96,annualreport20052006,108.599,157.6791,74.8887,108.7338,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1384)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2006=9227.0, rebased CPI_2006=18.8773"
Total,1383,15086306,11368002,75.35,annualreport20052006,1682.9882,2611.7168,1268.1841,1968.01,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1383)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2005=8964.0, rebased CPI_2005=17.1587"
Total,1384,19553379,15294849,78.22,annualreport20052006,2119.148,3076.8724,1657.6188,2406.7604,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1384)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2006=9227.0, rebased CPI_2006=18.8773"
Fire,1388,2789136,687797,24.66,annualreport2011,270.5797,238.5805,66.7246,58.8336,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1388)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2010=10308.0, rebased CPI_2010=34.7266"
Fire,1389,3086540,853977,27.67,annualreport2011,216.2406,209.0536,59.829,57.8405,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1389)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2011=14273.636363636364, rebased CPI_2011=43.8573"
