year_sh,gross_premium_million_irr,retained_premium_million_irr,retained_pct_of_gross,earned_premium_million_irr,incurred_loss_million_irr,incurred_loss_pct_of_earned,net_claim_million_irr,net_claim_pct_of_retained,investment_and_other_income_million_irr,general_expenses_million_irr,general_expenses_pct_of_retained,profit_loss_million_irr,total_assets_million_irr,shareholders_equity_million_irr,technical_reserve_million_irr,unexpired_risks_million_irr,outstanding_loss_million_irr,catastrophic_risk_reserve_million_irr,edition,gross_premium_usd_nominal,gross_premium_usd_real_2015,retained_premium_usd_nominal,retained_premium_usd_real_2015,earned_premium_usd_nominal,earned_premium_usd_real_2015,incurred_loss_usd_nominal,incurred_loss_usd_real_2015,net_claim_usd_nominal,net_claim_usd_real_2015,investment_and_other_income_usd_nominal,investment_and_other_income_usd_real_2015,general_expenses_usd_nominal,general_expenses_usd_real_2015,profit_loss_usd_nominal,profit_loss_usd_real_2015,total_assets_usd_nominal,total_assets_usd_real_2015,shareholders_equity_usd_nominal,shareholders_equity_usd_real_2015,technical_reserve_usd_nominal,technical_reserve_usd_real_2015,unexpired_risks_usd_nominal,unexpired_risks_usd_real_2015,outstanding_loss_usd_nominal,outstanding_loss_usd_real_2015,catastrophic_risk_reserve_usd_nominal,catastrophic_risk_reserve_usd_real_2015,currency_conversion_note
1386,9095664,8663681,95.25,7038507,5508072,78.26,5371446,62.0,742000,91438,1.06,664270,10134945,1754568,8160796,5045914,1355114,,annualreport20092010,994.8227,972.6108,947.5753,926.4183,769.8247,752.6364,602.436,588.9851,587.4927,574.3755,81.155,79.343,10.0009,9.7776,72.6534,71.0312,1108.4923,1083.7424,191.9029,187.6182,892.5731,872.6442,551.8882,539.5659,148.2133,144.904,,,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1386)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2008=9143.0, rebased CPI_2008=27.7794"
1387,10905281,10375758,95.14,8842416,6615761,88.2,6372910,61.42,963396,124938,1.2,780816,12972645,1549633,10731287,7962043,1597966,,annualreport20092010,1101.5435,1026.9461,1048.0564,977.0811,893.1733,832.6869,668.2587,623.0036,643.7283,600.1345,97.3127,90.7226,12.62,11.7654,78.8703,73.5291,1310.3682,1221.629,156.5286,145.9283,1083.9684,1010.5611,804.2468,749.7825,161.4107,150.4798,,,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1387)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2009=9900.0, rebased CPI_2009=31.544"
1388,12679306,12175763,96.03,10591462,8059239,76.09,7908980,64.96,1808090,191023,1.57,741376,16274797,1623233,13655411,9373633,1748225,,annualreport20092010,1230.0452,1084.5779,1181.1955,1041.5053,1027.4992,905.9854,781.8431,689.381,767.2662,676.528,175.4065,154.6626,18.5315,16.34,71.9224,63.4167,1578.8511,1392.1334,157.4731,138.8501,1324.7391,1168.0732,909.3552,801.8132,169.5989,149.5418,,,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1388)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2010=10308.0, rebased CPI_2010=34.7266"
1387,10905281,10375758,95.14,8842416,6615761,74.82,6372910,61.42,963396,124938,1.2,780816,12972645,1549633,10731287,7962043,1597966,1171278,annualreport2011,1101.5435,1026.9461,1048.0564,977.0811,893.1733,832.6869,668.2587,623.0036,643.7283,600.1345,97.3127,90.7226,12.62,11.7654,78.8703,73.5291,1310.3682,1221.629,156.5286,145.9283,1083.9684,1010.5611,804.2468,749.7825,161.4107,150.4798,118.3109,110.2988,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1387)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2009=9900.0, rebased CPI_2009=31.544"
1388,12679306,12175763,96.03,10591462,8059239,76.09,7908980,64.96,1808090,191023,1.57,741376,16274797,1623233,13655411,9373633,1748225,2533553,annualreport2011,1230.0452,1084.5779,1181.1955,1041.5053,1027.4992,905.9854,781.8431,689.381,767.2662,676.528,175.4065,154.6626,18.5315,16.34,71.9224,63.4167,1578.8511,1392.1334,157.4731,138.8501,1324.7391,1168.0732,909.3552,801.8132,169.5989,149.5418,245.7851,216.7181,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1388)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2010=10308.0, rebased CPI_2010=34.7266"
1389,16365497,15825149,96.7,13549374,10684132,78.85,10147279,64.12,2271677,265663,1.68,876642,21047749,1944587,17800219,12203037,2285077,3312105,annualreport2011,1146.5541,1108.4468,1108.6978,1071.8486,949.2587,917.7088,748.5221,723.6439,710.9106,687.2825,159.1519,153.8623,18.6121,17.9935,61.4169,59.3756,1474.5891,1425.5791,136.2363,131.7083,1247.0697,1205.6215,854.9354,826.5204,160.0907,154.7699,232.0435,224.3312,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1389)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2011=14273.636363636364, rebased CPI_2011=43.8573"
1388,12679306,12175763,96.03,10591462,8059239,76.09,7908980,64.96,1808090,191023,1.57,741376,16274797,1623233,13655411,9373633,1748225,,annualreport2012,1230.0452,1084.5779,1181.1955,1041.5053,1027.4992,905.9854,781.8431,689.381,767.2662,676.528,175.4065,154.6626,18.5315,16.34,71.9224,63.4167,1578.8511,1392.1334,157.4731,138.8501,1324.7391,1168.0732,909.3552,801.8132,169.5989,149.5418,,,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1388)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2010=10308.0, rebased CPI_2010=34.7266"
1389,16365497,15825149,96.7,13549374,11120349,82.07,10147279,64.12,2061922,215663,1.36,462579,21256846,1524166,17800219,12203037,2946946,,annualreport2012,1146.5541,1108.4468,1108.6978,1071.8486,949.2587,917.7088,779.0831,753.1892,710.9106,687.2825,144.4567,139.6554,15.1092,14.607,32.4079,31.3308,1489.2383,1439.7414,106.7819,103.2329,1247.0697,1205.6215,854.9354,826.5204,206.4608,199.5988,,,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1389)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2011=14273.636363636364, rebased CPI_2011=43.8573"
1390,23614276,22958574,97.22,18201426,17601256,96.7,13716133,59.74,2777132,259923,1.13,1115942,27683750,2439492,22659182,15827113,6832069,,annualreport2012,1034.6481,1256.8356,1005.9188,1221.9368,797.4867,968.7445,771.1905,936.8014,600.9657,730.0213,121.6787,147.8088,11.3884,13.834,48.8945,59.3944,1212.9501,1473.4275,106.8852,129.8384,992.8011,1206.0021,693.4573,842.3752,299.3438,363.627,,,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1390)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2012=22823.485714285714, rebased CPI_2012=55.8115"
1389,16365497,15825149,96.7,13549374,11120349,82.07,10147279,64.12,2061922,215663,1.36,462579,21256846,1524166,17800219,12203037,2946946,3312105,annualreport_1391_2012-2013,1146.5541,1108.4468,1108.6978,1071.8486,949.2587,917.7088,779.0831,753.1892,710.9106,687.2825,144.4567,139.6554,15.1092,14.607,32.4079,31.3308,1489.2383,1439.7414,106.7819,103.2329,1247.0697,1205.6215,854.9354,826.5204,206.4608,199.5988,232.0435,224.3312,"computed via IRN official/parallel FX rate + CPI, base year 2015; year = year_sh(1389)+622 (approx Gregorian fiscal-year-end, consistent with cbi_annual_review_series' own fiscal_year_western_end convention); FX_2011=14273.636363636364, rebased CPI_2011=43.8573"
