year,metric,value,unit,source,notes
1967,founding_date,1967-02-04,date,"Wikipedia: Tehran Stock Exchange","TSE founded, initially trading only corporate and government bonds"
1967,trading_value_shares_and_bonds,15000000,rials,"Wikipedia: Tehran Stock Exchange","First-year trading value; equities were added later in the 1970s alongside bonds"
1970,equity_trading_introduced,1970,year,"Wikipedia: Tehran Stock Exchange","Iran's rapid 1970s economic expansion + government policy of granting shares to employees of large state-owned/family-owned enterprises drove demand for equity trading, expanding TSE beyond its original bonds-only scope"
1978,trading_value_shares_and_bonds,34200000000,rials,"Wikipedia: Tehran Stock Exchange","Pre-revolution peak trading value -- a 2,280x increase over the 1967 opening-year figure (15 million to 34.2 billion rials)"
1979,operations_halted,1979,year,"Wikipedia: Tehran Stock Exchange","Operations halted after the Islamic Revolution due to nationalization of major industries and a prohibition against interest-based financial activities under the new government; further suspended through the 1980-1988 Iran-Iraq War"
1988,reopening_year,1988,year,"Wikipedia: Tehran Stock Exchange","TSE reopened via a Budget Act provision, restarting organized equity trading after roughly a decade of dormancy"
1990,tepix_index_introduced,1990,year,"Wikipedia: Tehran Stock Exchange","TEPIX (Tehran Price Index, the All-Shares Price Index) introduced as the main market barometer -- a weighted market value of all listed share prices, updated every two minutes"
1996,listed_companies_count,249,count,"Wikipedia: Tehran Stock Exchange","'Within eight years [of the 1988 reopening] the exchange saw its numbers rise to 249 companies listed'"
1996,automated_trading_system_introduced,1996,year,"Wikipedia: Tehran Stock Exchange",""
2005,listed_companies_count,419,count,"Wikipedia: Tehran Stock Exchange",""
2005,shareholder_base_share_of_iranians_owning_stock,5,percent,"Wikipedia: Tehran Stock Exchange","'Fewer than 5% of Iranians owned stock' as of 2005 -- illustrates how thin retail participation was before the 2009-2014 boom"
2006,market_capitalization_usd,43794000000,US_dollars,"Wikipedia: Tehran Stock Exchange",""
2007,listed_companies_count,324,count,"Wikipedia: Tehran Stock Exchange","Note: company count fell from 419 (2005) to 324 (2007) despite rising market cap -- likely reflects delistings/consolidations rather than market contraction; recorded as-is from source without reconciling"
2007,market_capitalization_usd,45574000000,US_dollars,"Wikipedia: Tehran Stock Exchange",""
2008,market_capitalization_usd,49040000000,US_dollars,"Wikipedia: Tehran Stock Exchange",""
2009,listed_companies_count,337,count,"Wikipedia: Tehran Stock Exchange",""
2009,market_capitalization_usd,58698000000,US_dollars,"Wikipedia: Tehran Stock Exchange",""
2006,daily_trading_value_avg_usd,26100000,US_dollars,"Wikipedia: Tehran Stock Exchange","Start point of the 2006-2009 daily-average trading-value growth range"
2009,daily_trading_value_avg_usd,65400000,US_dollars,"Wikipedia: Tehran Stock Exchange","End point of the 2006-2009 daily-average trading-value growth range -- 2.5x growth"
2010,monthly_transactions_value_usd_mar_apr,1000000000,US_dollars,"Wikipedia: Tehran Stock Exchange","March-April 2010 monthly transactions exceeded US$1 billion, versus just US$95 million in the same period the prior year -- reflects a major boom period"
2010,market_capitalization_usd_range_low,71000000000,US_dollars,"Wikipedia: Tehran Stock Exchange","2010 market cap given as a range, 71-84 billion USD"
2010,market_capitalization_usd_range_high,84000000000,US_dollars,"Wikipedia: Tehran Stock Exchange",""
2010,shareholder_registered_count,3219000,persons,"Wikipedia: Tehran Stock Exchange","March 2010 figure"
2010,tepix_index_value_aug02,16056,index_points,"Wikipedia: Tehran Stock Exchange","2 August 2010 record at the time"
2010,tepix_index_value_sep18,18658,index_points,"Wikipedia: Tehran Stock Exchange","18 September 2010"
2010,performance_ranking_note,2,world_ranking,"Wikipedia: Tehran Stock Exchange","TSE ranked as 'world's second-best performing equity index' in 2010"
2011,market_capitalization_usd_peak,100000000000,US_dollars,"Wikipedia: Tehran Stock Exchange","2011 cyclical peak"
2011,tepix_index_value_feb01_ath,21349,index_points,"Wikipedia: Tehran Stock Exchange","1 February 2011, all-time high AT THAT POINT (index continued climbing in subsequent years -- see later rows)"
2011,tepix_index_value_apr09,26222,index_points,"Wikipedia: Tehran Stock Exchange","9 April 2011"
2011,tepix_annual_growth_pct_may2010_to_may2011,79,percent,"Wikipedia: Tehran Stock Exchange","Ranked 1st among World Federation of Exchanges members for this 12-month growth period"
2011,shareholder_registered_count,4500000,persons,"Wikipedia: Tehran Stock Exchange",""
2012,tepix_index_value_oct,31000,index_points,"Wikipedia: Tehran Stock Exchange","Surpassed 31,000 points, October 2012"
2013,tepix_annual_growth_pct,130,percent,"Wikipedia: Tehran Stock Exchange","2013 annual growth rate"
2013,tepix_index_value_oct14,71471,index_points,"Wikipedia: Tehran Stock Exchange","14 October 2013"
2014,listed_companies_count,346,count,"Wikipedia: Tehran Stock Exchange","Approximate; source notes a 'significant market correction' around this year"
2014,shareholder_registered_count,7000000,persons,"Wikipedia: Tehran Stock Exchange",""
2016,shareholder_registered_count,9000000,persons,"Wikipedia: Tehran Stock Exchange",""
2016,institutional_investors_count,38000,count,"Wikipedia: Tehran Stock Exchange",""
