section,line_item,foreign_currency_million_rials,local_currency_million_rials,total_million_rials,total_million_usd,notes,total_computed_usd_nominal,total_computed_usd_real_2015,currency_conversion_note
A. Dam and other works common to all purposes,"Engineering, Supervision and Administration",150,84,234,,,3.0891,14.1567,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
A. Dam and other works common to all purposes,Land,0,0,0,,shown as nil (dash) in source,0.0,0.0,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
A. Dam and other works common to all purposes,Access Roads,91,107,198,,,2.6139,11.9787,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
A. Dam and other works common to all purposes,Dam - Diversion (Tunnels Cofferdams etc.),191,244,435,,,5.7426,26.3169,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
A. Dam and other works common to all purposes,Dam - Excavation,62,102,164,,,2.165,9.9218,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
A. Dam and other works common to all purposes,Dam - Foundation Preparation,13,26,39,,,0.5149,2.3594,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
A. Dam and other works common to all purposes,Dam - Concrete,261,525,786,,,10.3762,47.552,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
A. Dam and other works common to all purposes,Dam - Miscellaneous,14,7,21,,,0.2772,1.2705,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
A. Dam and other works common to all purposes,Spillways,173,244,417,,,5.505,25.228,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
A. Dam and other works common to all purposes,Sluiceways,31,14,45,,,0.5941,2.7224,"total_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1960=75.75000007575, rebased CPI_1960=0.0491) [year 1960 taken from filename/report date, no per-row year column in source; pre-existing total_million_usd column, where present, is a primary-sourced figure from the original document and is left untouched]"
