metric,original_plan,actual_or_revised,notes
Loan amount (Loan 517-IRN),US$22.00 million,US$9.20 million disbursed / US$12.80 million cancelled,Loan signed October 1967; closed June 1974; US$1.2M repaid / US$8.0M outstanding as of 10/30/1977
Conception in Bank,,October 1962,
Board Approval,,14 September 1967,
Loan Agreement,,17 October 1967,
Effectiveness,15 January 1968,24 January 1968,
Physical Completion,21 March 1972,December 1973,Main irrigation works completed by Dec 1973; some works still being implemented as of the Oct 1976 audit mission
Loan Closing,31 December 1972,30 June 1974,
Total project cost,US$50.9 million,US$32.5 million,"Appraisal exchange rate US$1=Rls75.75; actual-period average exchange rate US$1=Rls73.00. Actual expenditure of US$32.5 million = 64% of the appraisal estimate; total actual expenditure across the whole (Ghazvin Development Authority) program cited elsewhere in the report as US$85.0 million, still below the appraisal estimate of investment"
Groundwater well-field yield,original estimate,~25 million cubic meters (close to 10% below appraisal estimate),
Follow-on works cost (original estimate vs. now-estimated actual),Rls original estimate,"Rls 8 billion (~US$115 million) for works alone, per footnote /e",footnote flags this as a large actual-cost escalation for follow-on/continuing works beyond the audited loan itself
Economic rate of return,10%,~0%,"Rate of return collapsed from the appraised 10% to approximately 0%, attributed mainly to inadequate/overestimated water supplies and the Borrower's rejection of the initial private-well-expropriation understanding with the Bank"
Phase II follow-on project cost (Bank not participating),,US$77 million,estimated cost of a Phase II project that the Bank chose not to finance
