category,dam_name,common_or_modern_name,dam_type,river,location,height_from_foundation_m,reservoir_capacity_million_m3,regulated_annual_capacity_million_m3,generators_number_and_unit_capacity_kw,area_under_cultivation_final_phase_1000ha,year_operation_started,cost_of_dam_million_rials,cost_of_irrigation_million_rials,engineering_consultants,notes,cost_of_dam_usd_nominal,cost_of_dam_usd_real_2015,cost_of_irrigation_usd_nominal,cost_of_irrigation_usd_real_2015,currency_conversion_note
Dams constructed,Shah Esmail,,Earth,Golpayegan,Akhtekhan,56.0,44,50,,5.5,1958,280,70,Justin + Gourtuey,"(1) also supplies Tehran and Karaj drinking water -- footnote marker appears on this row's cultivation column in source but likely a source typo/misplacement, transcribed exactly as printed",,,,,"cost_of_dam_million_rials: no FX rate for 1958 (known gap), not converted; cost_of_irrigation_million_rials: no FX rate for 1958 (known gap), not converted [year = this dam's own year_operation_started, not the 1971 survey/report year; blank for dams still under study/construction with no start year yet]"
Dams constructed,Amir Kabir,Karaj Dam,Arched concrete,Karaj,North of Karaj,180.0,205,400,2 x 42100,21.0,1962,4800,322,Harza,,63.3663,279.5752,4.2508,18.7548,"cost_of_dam_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1962=75.75000007575, rebased CPI_1962=0.051); cost_of_irrigation_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1962=75.75000007575, rebased CPI_1962=0.051) [year = this dam's own year_operation_started, not the 1971 survey/report year; blank for dams still under study/construction with no start year yet]"
Dams constructed,Shahbanu Farah,Sefid Rud Dam,Buttressed concrete,Sepidrud,Mangil,106.0,1800,2000,5 x 17500,240.0,1962,4500,3400,Etko Ofer,,59.4059,262.1017,44.8845,198.0324,"cost_of_dam_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1962=75.75000007575, rebased CPI_1962=0.051); cost_of_irrigation_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1962=75.75000007575, rebased CPI_1962=0.051) [year = this dam's own year_operation_started, not the 1971 survey/report year; blank for dams still under study/construction with no start year yet]"
Dams constructed,Mohammad Reza Shah-e-Pahlavi,Dez Dam,Arched concrete,Dez,Dezful,203.0,3340,6940,8 x 65000,96.3,1963,5377,5373,Development & Resources Corporation (D+R),footnote (2) applies to this row per source layout ambiguity -- see raw table image; figure retained as printed,70.9835,311.9591,70.9307,311.727,"cost_of_dam_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512); cost_of_irrigation_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512) [year = this dam's own year_operation_started, not the 1971 survey/report year; blank for dams still under study/construction with no start year yet]"
Dams constructed,Shahnaz-e-Pahlavi,,Buttressed concrete,Abshnieh,Yalfan-e-Hamadan,65.0,8,17,,0.2,1964,919,69,Verbundplan,footnote (2) also supplies Hamadan drinking water,12.132,51.3135,0.9109,3.8527,"cost_of_dam_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532); cost_of_irrigation_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532) [year = this dam's own year_operation_started, not the 1971 survey/report year; blank for dams still under study/construction with no start year yet]"
Dams constructed,Farahnaz-e-Pahlavi,,Buttressed concrete,Gajerud,Latyan,107.0,95,245,2 x 22500,31.0,1968,4326,0,Gibb,Latian Dam -- Cost of Irrigation shown as '-' (nil) in source,57.1089,231.9553,0.0,0.0,"cost_of_dam_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554); cost_of_irrigation_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554) [year = this dam's own year_operation_started, not the 1971 survey/report year; blank for dams still under study/construction with no start year yet]"
Dams constructed,Shah Abbas-e-Kabir,,Arched concrete,Zayandehrud,West of Esfahan,100.0,1250,900,3 x 18400,95.0,1971,3000,2901,Sogreah-Syferlac,,39.604,146.8115,38.297,141.9667,"cost_of_dam_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607); cost_of_irrigation_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607) [year = this dam's own year_operation_started, not the 1971 survey/report year; blank for dams still under study/construction with no start year yet]"
Dams constructed,Voshmgir,,Earth,Gorganrud,"Sangar Savar, Gorgan",21.0,79,100,,25.0,1971,505,1300,Etkco,,6.6667,24.7133,17.1617,63.6183,"cost_of_dam_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607); cost_of_irrigation_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607) [year = this dam's own year_operation_started, not the 1971 survey/report year; blank for dams still under study/construction with no start year yet]"
Dams constructed,Aras,,Earth,Aras,Aras,38.0,1350,1400,2 x 11000,90.0,1971,3588,2500,Back/Gezdro Rogers,shared/border dam on the Aras river (Iran-USSR border),47.3663,175.5866,33.0033,122.3429,"cost_of_dam_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607); cost_of_irrigation_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607) [year = this dam's own year_operation_started, not the 1971 survey/report year; blank for dams still under study/construction with no start year yet]"
Dams constructed,Shahpur-e-Avval,,Rock fill,Mahabad,Mahabad,46.5,230,195,2 x 2880,20.0,1971,940,340,Harza,,12.4092,46.0009,4.4884,16.6386,"cost_of_dam_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607); cost_of_irrigation_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607) [year = this dam's own year_operation_started, not the 1971 survey/report year; blank for dams still under study/construction with no start year yet]"
Dams constructed,Kurosh-e-Kabir,,Earth,Zarrinehrud,S.East of Bukan,50.0,650,535,2 x 5000,95.0,1971,1266,1700,Justin C + Taleghani Daftary,,16.7129,61.9545,22.4422,83.1932,"cost_of_dam_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607); cost_of_irrigation_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607) [year = this dam's own year_operation_started, not the 1971 survey/report year; blank for dams still under study/construction with no start year yet]"
Dams constructed,Dariyush-e-Kabir,,Earth,Kor,Dorudzan,60.0,993,526,2 x 5000,77.0,1972,1700,1300,,,22.4423,78.1707,17.1617,59.7776,"cost_of_dam_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1972=75.7499701345202, rebased CPI_1972=0.0646); cost_of_irrigation_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1972=75.7499701345202, rebased CPI_1972=0.0646) [year = this dam's own year_operation_started, not the 1971 survey/report year; blank for dams still under study/construction with no start year yet]"
Reservoir dams under construction,Reza Shah-e-Kabir,Karun-1 / Shahid Abbaspour Dam (modern name),Arched concrete,Karun,Masjed Soleyman,200.0,2900,9260,4 x 250000,38.0,1975 (planned),8800,1515,Harza,figure in 'Year Operation Started' is the planned/target year at time of report (dam under construction as of 1971),130.0718,285.6861,22.393,49.1835,"cost_of_dam_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1975=67.65494553244062, rebased CPI_1975=0.0915); cost_of_irrigation_million_rials: computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1975=67.65494553244062, rebased CPI_1975=0.0915) [year = this dam's own year_operation_started, not the 1971 survey/report year; blank for dams still under study/construction with no start year yet]"
Reservoir dams under construction,Taleqan,,Earth,Shahrud,Sangban,70.0,208,0,26000 (single unit kw-h shown),0,,1900,700,Taleghani Daftary,cultivation area column shown as '-' (nil) in source; regulated annual capacity shown as '-' (nil),,,,,"cost_of_dam_million_rials: no year available for this row, not converted; cost_of_irrigation_million_rials: no year available for this row, not converted [year = this dam's own year_operation_started, not the 1971 survey/report year; blank for dams still under study/construction with no start year yet]"
Dams under study,Nader Shah-e-Afshar,,Rock fill,Marun,Tang-e-Takab,175.0,1620,1150,,55.5,,2683,525,Harza,,,,,,"cost_of_dam_million_rials: no year available for this row, not converted; cost_of_irrigation_million_rials: no year available for this row, not converted [year = this dam's own year_operation_started, not the 1971 survey/report year; blank for dams still under study/construction with no start year yet]"
