zone,water_controlled_end_4th_plan_Mm3,water_controlled_during_5th_plan_Mm3,water_controlled_end_5th_plan_Mm3,public_supply_end_4th_plan_cities_industries_Mm3,public_supply_end_4th_plan_agriculture_Mm3,public_supply_during_5th_plan_cities_industries_Mm3,public_supply_during_5th_plan_agriculture_Mm3,public_supply_end_5th_plan_cities_industries_Mm3,public_supply_end_5th_plan_agriculture_Mm3
Total,16360,9920,26280,768,10790,487,3969,1255,14759
Azarbayejan,3995,0,3995,4,1877,39,440,43,2317
West,0,50,50,0,105,19,190,19,295
Khuzestan,6712,8400,15112,35,3190,85,854,120,5044
Fars,635,0,635,45,633,11,40,56,673
Kerman and Bandar-e-Abbas,0,530,530,4,60,35,483,39,543
Sistan and Baluchestan,0,649,649,0,793,4,749,4,1542
Khorasan,0,13,13,14,0,15,146,29,146
North,3230,0,3230,9,1921,17,254,26,2175
Tehran,816,0,816,306,478,192,617,498,1095
Esfahan,972,278,1250,210,733,3,196,213,929
