country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,original_period_label,computed,notes
IRN,Iran,1964,20.1,billion rials (year-end stock level; 1 US$ = 75.7 rials per report),foreign_assets_net,Foreign assets (net),wb1971-table6.1-monetary-survey,1963/64,false,
IRN,Iran,1964,0.2653,current US$ (computed),foreign_assets_net.USD_NOMINAL,"Foreign assets (net) (computed, nominal US$)",wb1971-table6.1-monetary-survey,1963/64,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
IRN,Iran,1964,1.1223,constant 2015 US$ (computed),foreign_assets_net.USD_REAL_2015,"Foreign assets (net) (computed, real 2015 US$)",wb1971-table6.1-monetary-survey,1963/64,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
IRN,Iran,1965,27.5,billion rials (year-end stock level; 1 US$ = 75.7 rials per report),foreign_assets_net,Foreign assets (net),wb1971-table6.1-monetary-survey,1964/65,false,
IRN,Iran,1965,0.363,current US$ (computed),foreign_assets_net.USD_NOMINAL,"Foreign assets (net) (computed, nominal US$)",wb1971-table6.1-monetary-survey,1964/65,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
IRN,Iran,1965,1.5044,constant 2015 US$ (computed),foreign_assets_net.USD_REAL_2015,"Foreign assets (net) (computed, real 2015 US$)",wb1971-table6.1-monetary-survey,1964/65,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
IRN,Iran,1966,23.0,billion rials (year-end stock level; 1 US$ = 75.7 rials per report),foreign_assets_net,Foreign assets (net),wb1971-table6.1-monetary-survey,1965/66,false,
IRN,Iran,1966,0.3036,current US$ (computed),foreign_assets_net.USD_NOMINAL,"Foreign assets (net) (computed, nominal US$)",wb1971-table6.1-monetary-survey,1965/66,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
IRN,Iran,1966,1.2629,constant 2015 US$ (computed),foreign_assets_net.USD_REAL_2015,"Foreign assets (net) (computed, real 2015 US$)",wb1971-table6.1-monetary-survey,1965/66,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
IRN,Iran,1967,20.5,billion rials (year-end stock level; 1 US$ = 75.7 rials per report),foreign_assets_net,Foreign assets (net),wb1971-table6.1-monetary-survey,1966/67,false,
IRN,Iran,1967,0.2706,current US$ (computed),foreign_assets_net.USD_NOMINAL,"Foreign assets (net) (computed, nominal US$)",wb1971-table6.1-monetary-survey,1966/67,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
IRN,Iran,1967,1.1072,constant 2015 US$ (computed),foreign_assets_net.USD_REAL_2015,"Foreign assets (net) (computed, real 2015 US$)",wb1971-table6.1-monetary-survey,1966/67,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
IRN,Iran,1968,18.5,billion rials (year-end stock level; 1 US$ = 75.7 rials per report),foreign_assets_net,Foreign assets (net),wb1971-table6.1-monetary-survey,1967/68,false,
IRN,Iran,1968,0.2442,current US$ (computed),foreign_assets_net.USD_NOMINAL,"Foreign assets (net) (computed, nominal US$)",wb1971-table6.1-monetary-survey,1967/68,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
IRN,Iran,1968,0.9919,constant 2015 US$ (computed),foreign_assets_net.USD_REAL_2015,"Foreign assets (net) (computed, real 2015 US$)",wb1971-table6.1-monetary-survey,1967/68,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
IRN,Iran,1969,12.8,billion rials (year-end stock level; 1 US$ = 75.7 rials per report),foreign_assets_net,Foreign assets (net),wb1971-table6.1-monetary-survey,1968/69,false,
IRN,Iran,1969,0.169,current US$ (computed),foreign_assets_net.USD_NOMINAL,"Foreign assets (net) (computed, nominal US$)",wb1971-table6.1-monetary-survey,1968/69,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
IRN,Iran,1969,0.6636,constant 2015 US$ (computed),foreign_assets_net.USD_REAL_2015,"Foreign assets (net) (computed, real 2015 US$)",wb1971-table6.1-monetary-survey,1968/69,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
IRN,Iran,1970,9.4,billion rials (year-end stock level; 1 US$ = 75.7 rials per report),foreign_assets_net,Foreign assets (net),wb1971-table6.1-monetary-survey,1969/70,false,
IRN,Iran,1970,0.1241,current US$ (computed),foreign_assets_net.USD_NOMINAL,"Foreign assets (net) (computed, nominal US$)",wb1971-table6.1-monetary-survey,1969/70,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
IRN,Iran,1970,0.4789,constant 2015 US$ (computed),foreign_assets_net.USD_REAL_2015,"Foreign assets (net) (computed, real 2015 US$)",wb1971-table6.1-monetary-survey,1969/70,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
IRN,Iran,1964,11.8,billion rials (year-end stock level; 1 US$ = 75.7 rials per report),public_sector_net,Public sector (net),wb1971-table6.1-monetary-survey,1963/64,false,
IRN,Iran,1964,0.1558,current US$ (computed),public_sector_net.USD_NOMINAL,"Public sector (net) (computed, nominal US$)",wb1971-table6.1-monetary-survey,1963/64,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
IRN,Iran,1964,0.6589,constant 2015 US$ (computed),public_sector_net.USD_REAL_2015,"Public sector (net) (computed, real 2015 US$)",wb1971-table6.1-monetary-survey,1963/64,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
IRN,Iran,1965,4.1,billion rials (year-end stock level; 1 US$ = 75.7 rials per report),public_sector_net,Public sector (net),wb1971-table6.1-monetary-survey,1964/65,false,
IRN,Iran,1965,0.0541,current US$ (computed),public_sector_net.USD_NOMINAL,"Public sector (net) (computed, nominal US$)",wb1971-table6.1-monetary-survey,1964/65,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
