year,date_if_more_precise,rial_per_usd_parallel,source_confidence,citation,notes
1979,1979-01,98.0,directly_observed,"Bahmani-Oskooee, Mohsen (2005), ""History of the Rial and Foreign Exchange Policy in Iran,"" Iranian Economic Review, Vol. 10, No. 14 (Fall 2005), Table 4, p.16-19. https://ier.ut.ac.ir/article_30891.html (PDF: https://ier.ut.ac.ir/article_30891_cc9816769f0293f06d92344e31426eea.pdf)","End-of-month black-market/free-market rate, January 1979. Underlying primary source per paper's own citation: World Currency Yearbook (Pick's Currency Yearbook), as compiled in Bahmani-Oskooee (2005) Table 4. Value visually verified against a 300dpi render of the source PDF page (tesseract OCR cross-check matched exactly, zero discrepancies)."
1979,1979-02,112.0,directly_observed,"Bahmani-Oskooee, Mohsen (2005), ""History of the Rial and Foreign Exchange Policy in Iran,"" Iranian Economic Review, Vol. 10, No. 14 (Fall 2005), Table 4, p.16-19. https://ier.ut.ac.ir/article_30891.html (PDF: https://ier.ut.ac.ir/article_30891_cc9816769f0293f06d92344e31426eea.pdf)","End-of-month black-market/free-market rate, February 1979. Underlying primary source per paper's own citation: World Currency Yearbook (Pick's Currency Yearbook), as compiled in Bahmani-Oskooee (2005) Table 4. Value visually verified against a 300dpi render of the source PDF page (tesseract OCR cross-check matched exactly, zero discrepancies)."
1979,1979-03,98.5,directly_observed,"Bahmani-Oskooee, Mohsen (2005), ""History of the Rial and Foreign Exchange Policy in Iran,"" Iranian Economic Review, Vol. 10, No. 14 (Fall 2005), Table 4, p.16-19. https://ier.ut.ac.ir/article_30891.html (PDF: https://ier.ut.ac.ir/article_30891_cc9816769f0293f06d92344e31426eea.pdf)","End-of-month black-market/free-market rate, March 1979. Underlying primary source per paper's own citation: World Currency Yearbook (Pick's Currency Yearbook), as compiled in Bahmani-Oskooee (2005) Table 4. Value visually verified against a 300dpi render of the source PDF page (tesseract OCR cross-check matched exactly, zero discrepancies)."
1979,1979-04,96.0,directly_observed,"Bahmani-Oskooee, Mohsen (2005), ""History of the Rial and Foreign Exchange Policy in Iran,"" Iranian Economic Review, Vol. 10, No. 14 (Fall 2005), Table 4, p.16-19. https://ier.ut.ac.ir/article_30891.html (PDF: https://ier.ut.ac.ir/article_30891_cc9816769f0293f06d92344e31426eea.pdf)","End-of-month black-market/free-market rate, April 1979. Underlying primary source per paper's own citation: World Currency Yearbook (Pick's Currency Yearbook), as compiled in Bahmani-Oskooee (2005) Table 4. Value visually verified against a 300dpi render of the source PDF page (tesseract OCR cross-check matched exactly, zero discrepancies)."
1979,1979-05,115.0,directly_observed,"Bahmani-Oskooee, Mohsen (2005), ""History of the Rial and Foreign Exchange Policy in Iran,"" Iranian Economic Review, Vol. 10, No. 14 (Fall 2005), Table 4, p.16-19. https://ier.ut.ac.ir/article_30891.html (PDF: https://ier.ut.ac.ir/article_30891_cc9816769f0293f06d92344e31426eea.pdf)","End-of-month black-market/free-market rate, May 1979. Underlying primary source per paper's own citation: World Currency Yearbook (Pick's Currency Yearbook), as compiled in Bahmani-Oskooee (2005) Table 4. Value visually verified against a 300dpi render of the source PDF page (tesseract OCR cross-check matched exactly, zero discrepancies)."
1979,1979-06,121.0,directly_observed,"Bahmani-Oskooee, Mohsen (2005), ""History of the Rial and Foreign Exchange Policy in Iran,"" Iranian Economic Review, Vol. 10, No. 14 (Fall 2005), Table 4, p.16-19. https://ier.ut.ac.ir/article_30891.html (PDF: https://ier.ut.ac.ir/article_30891_cc9816769f0293f06d92344e31426eea.pdf)","End-of-month black-market/free-market rate, June 1979. Underlying primary source per paper's own citation: World Currency Yearbook (Pick's Currency Yearbook), as compiled in Bahmani-Oskooee (2005) Table 4. Value visually verified against a 300dpi render of the source PDF page (tesseract OCR cross-check matched exactly, zero discrepancies)."
1979,1979-07,132.0,directly_observed,"Bahmani-Oskooee, Mohsen (2005), ""History of the Rial and Foreign Exchange Policy in Iran,"" Iranian Economic Review, Vol. 10, No. 14 (Fall 2005), Table 4, p.16-19. https://ier.ut.ac.ir/article_30891.html (PDF: https://ier.ut.ac.ir/article_30891_cc9816769f0293f06d92344e31426eea.pdf)","End-of-month black-market/free-market rate, July 1979. Underlying primary source per paper's own citation: World Currency Yearbook (Pick's Currency Yearbook), as compiled in Bahmani-Oskooee (2005) Table 4. Value visually verified against a 300dpi render of the source PDF page (tesseract OCR cross-check matched exactly, zero discrepancies)."
1979,1979-08,132.0,directly_observed,"Bahmani-Oskooee, Mohsen (2005), ""History of the Rial and Foreign Exchange Policy in Iran,"" Iranian Economic Review, Vol. 10, No. 14 (Fall 2005), Table 4, p.16-19. https://ier.ut.ac.ir/article_30891.html (PDF: https://ier.ut.ac.ir/article_30891_cc9816769f0293f06d92344e31426eea.pdf)","End-of-month black-market/free-market rate, August 1979. Underlying primary source per paper's own citation: World Currency Yearbook (Pick's Currency Yearbook), as compiled in Bahmani-Oskooee (2005) Table 4. Value visually verified against a 300dpi render of the source PDF page (tesseract OCR cross-check matched exactly, zero discrepancies)."
1979,1979-09,130.0,directly_observed,"Bahmani-Oskooee, Mohsen (2005), ""History of the Rial and Foreign Exchange Policy in Iran,"" Iranian Economic Review, Vol. 10, No. 14 (Fall 2005), Table 4, p.16-19. https://ier.ut.ac.ir/article_30891.html (PDF: https://ier.ut.ac.ir/article_30891_cc9816769f0293f06d92344e31426eea.pdf)","End-of-month black-market/free-market rate, September 1979. Underlying primary source per paper's own citation: World Currency Yearbook (Pick's Currency Yearbook), as compiled in Bahmani-Oskooee (2005) Table 4. Value visually verified against a 300dpi render of the source PDF page (tesseract OCR cross-check matched exactly, zero discrepancies)."
1979,1979-10,165.0,directly_observed,"Bahmani-Oskooee, Mohsen (2005), ""History of the Rial and Foreign Exchange Policy in Iran,"" Iranian Economic Review, Vol. 10, No. 14 (Fall 2005), Table 4, p.16-19. https://ier.ut.ac.ir/article_30891.html (PDF: https://ier.ut.ac.ir/article_30891_cc9816769f0293f06d92344e31426eea.pdf)","End-of-month black-market/free-market rate, October 1979. Underlying primary source per paper's own citation: World Currency Yearbook (Pick's Currency Yearbook), as compiled in Bahmani-Oskooee (2005) Table 4. Value visually verified against a 300dpi render of the source PDF page (tesseract OCR cross-check matched exactly, zero discrepancies)."
1979,1979-11,170.0,directly_observed,"Bahmani-Oskooee, Mohsen (2005), ""History of the Rial and Foreign Exchange Policy in Iran,"" Iranian Economic Review, Vol. 10, No. 14 (Fall 2005), Table 4, p.16-19. https://ier.ut.ac.ir/article_30891.html (PDF: https://ier.ut.ac.ir/article_30891_cc9816769f0293f06d92344e31426eea.pdf)","End-of-month black-market/free-market rate, November 1979. Underlying primary source per paper's own citation: World Currency Yearbook (Pick's Currency Yearbook), as compiled in Bahmani-Oskooee (2005) Table 4. Value visually verified against a 300dpi render of the source PDF page (tesseract OCR cross-check matched exactly, zero discrepancies)."
1979,1979-12,165.0,directly_observed,"Bahmani-Oskooee, Mohsen (2005), ""History of the Rial and Foreign Exchange Policy in Iran,"" Iranian Economic Review, Vol. 10, No. 14 (Fall 2005), Table 4, p.16-19. https://ier.ut.ac.ir/article_30891.html (PDF: https://ier.ut.ac.ir/article_30891_cc9816769f0293f06d92344e31426eea.pdf)","End-of-month black-market/free-market rate, December 1979. Underlying primary source per paper's own citation: World Currency Yearbook (Pick's Currency Yearbook), as compiled in Bahmani-Oskooee (2005) Table 4. Value visually verified against a 300dpi render of the source PDF page (tesseract OCR cross-check matched exactly, zero discrepancies)."
