category,commodity,unit,year,value,flag,source_yearbook_edition
Metals,Chromite (gross weight),metric tons,1961,74000,revised,MYB1965v4
Metals,Chromite (gross weight),metric tons,1962,90000,revised,MYB1965v4
Metals,Chromite (gross weight),metric tons,1963,100000,,MYB1965v4
Metals,Chromite (gross weight),metric tons,1964,120000,,MYB1965v4
Metals,Chromite (gross weight),metric tons,1965,150000,,MYB1965v4
Metals,Chromite (gross weight),metric tons,1968,90000,estimate,MYB1970v3
Metals,Chromite (gross weight),metric tons,1969,140000,,MYB1970v3
Metals,Chromite (gross weight),metric tons,1970,120000,preliminary,MYB1970v3
Metals,Chromite (gross weight),metric tons,1973,140000,,MYB1975v3
Metals,Chromite (gross weight),metric tons,1974,175000,,MYB1975v3
Metals,Chromite (gross weight),metric tons,1975,175000,preliminary,MYB1975v3
Metals,Chromite (gross weight),metric tons,1976,160000,,MYB1980v3
Metals,Chromite (gross weight),metric tons,1977,233300,,MYB1980v3
Metals,Chromite (gross weight),metric tons,1978,198000,,MYB1980v3
Metals,Chromite (gross weight),metric tons,1979,136000,preliminary,MYB1980v3
Metals,Chromite (gross weight),metric tons,1980,80000,estimate,MYB1980v3
Metals,Copper ore (3-4 percent copper grade),metric tons,1961,5000,,MYB1965v4
Metals,Copper ore (3-4 percent copper grade),metric tons,1962,5000,,MYB1965v4
Metals,Copper ore (3-4 percent copper grade),metric tons,1963,5200,,MYB1965v4
Metals,Copper ore (3-4 percent copper grade),metric tons,1964,5200,,MYB1965v4
Metals,Copper ore (3-4 percent copper grade),metric tons,1965,8835,,MYB1965v4
Metals,Copper mine output (metal content),metric tons,1968,616,,MYB1970v3
Metals,Copper mine output (metal content),metric tons,1969,515,,MYB1970v3
Metals,Copper mine output (metal content),metric tons,1970,722,preliminary,MYB1970v3
Metals,Copper mine output (metal content),metric tons,1973,3000,,MYB1975v3
Metals,Copper mine output (metal content),metric tons,1974,1800,,MYB1975v3
Metals,Copper mine output (metal content),metric tons,1975,2400,preliminary,MYB1975v3
Metals,Copper mine output (metal content),metric tons,1976,6000,estimate,MYB1980v3
Metals,Copper mine output (metal content),metric tons,1977,13500,estimate,MYB1980v3
Metals,Copper mine output (metal content),metric tons,1978,20000,estimate,MYB1980v3
Metals,Copper mine output (metal content),metric tons,1979,5300,estimate,MYB1980v3
Metals,Copper mine output (metal content),metric tons,1980,3600,estimate,MYB1980v3
Metals,Copper - smelter output,metric tons,1973,2000,,MYB1975v3
Metals,Copper - smelter output,metric tons,1974,6500,,MYB1975v3
Metals,Copper - smelter output,metric tons,1975,6000,preliminary,MYB1975v3
Metals,Copper - smelter output,metric tons,1976,4000,estimate,MYB1980v3
Metals,Copper - smelter output,metric tons,1977,7000,estimate,MYB1980v3
Metals,Copper - smelter output,metric tons,1978,6000,estimate,MYB1980v3
Metals,Copper - smelter output,metric tons,1979,700,estimate,MYB1980v3
Metals,Copper - smelter output,metric tons,1980,800,estimate,MYB1980v3
Metals,Copper - refined,metric tons,1973,7000,estimate,MYB1975v3
Metals,Copper - refined,metric tons,1974,7000,estimate,MYB1975v3
Metals,Copper - refined,metric tons,1975,7000,estimate,MYB1975v3
Metals,Copper - refined,metric tons,1976,7000,,MYB1980v3
Metals,Copper - refined,metric tons,1977,7000,,MYB1980v3
Metals,Copper - refined,metric tons,1978,6000,,MYB1980v3
Metals,Copper - refined,metric tons,1979,3000,,MYB1980v3
Metals,Copper - refined,metric tons,1980,800,,MYB1980v3
Metals,Iron ore (gross weight) -- UNIT AMBIGUOUS see notes,metric tons or thousand metric tons (unclear in source),1968,1057,estimate,MYB1970v3
Metals,Iron ore (gross weight) -- UNIT AMBIGUOUS see notes,metric tons or thousand metric tons (unclear in source),1969,1650,estimate,MYB1970v3
Metals,Iron ore (gross weight) -- UNIT AMBIGUOUS see notes,metric tons or thousand metric tons (unclear in source),1970,1858,preliminary,MYB1970v3
Metals,Iron ore (gross weight),thousand metric tons,1961,42,,MYB1965v4
Metals,Iron ore (gross weight),thousand metric tons,1962,8,,MYB1965v4
Metals,Iron ore (gross weight),thousand metric tons,1963,21,revised,MYB1965v4
Metals,Iron ore (gross weight),thousand metric tons,1964,21,,MYB1965v4
Metals,Iron ore (gross weight),thousand metric tons,1965,60,,MYB1965v4
Metals,Iron ore (gross weight),thousand metric tons,1973,850,,MYB1975v3
Metals,Iron ore (gross weight),thousand metric tons,1974,1000,,MYB1975v3
Metals,Iron ore (gross weight),thousand metric tons,1975,1000,preliminary,MYB1975v3
Metals,Iron ore (gross weight),thousand metric tons,1976,1070,,MYB1980v3
Metals,Iron ore (gross weight),thousand metric tons,1977,1100,,MYB1980v3
Metals,Iron ore (gross weight),thousand metric tons,1978,1560,,MYB1980v3
Metals,Iron ore (gross weight),thousand metric tons,1979,609,estimate,MYB1980v3
Metals,Iron ore (gross weight),thousand metric tons,1980,600,,MYB1980v3
Metals,Pig iron,thousand metric tons,1973,400,,MYB1975v3
Metals,Pig iron,thousand metric tons,1974,1500,,MYB1975v3
Metals,Pig iron,thousand metric tons,1975,1000,preliminary,MYB1975v3
Metals,Pig iron,thousand metric tons,1976,625,,MYB1980v3
Metals,Pig iron,thousand metric tons,1977,700,estimate,MYB1980v3
Metals,Pig iron,thousand metric tons,1978,900,estimate,MYB1980v3
Metals,Pig iron,thousand metric tons,1979,800,estimate,MYB1980v3
Metals,Pig iron,thousand metric tons,1980,800,estimate,MYB1980v3
Metals,"Steel, crude",thousand metric tons,1973,200,,MYB1975v3
Metals,"Steel, crude",thousand metric tons,1974,400,,MYB1975v3
Metals,"Steel, crude",thousand metric tons,1975,600,preliminary,MYB1975v3
Metals,"Steel, crude",thousand metric tons,1976,550,,MYB1980v3
Metals,"Steel, crude",thousand metric tons,1977,550,,MYB1980v3
Metals,"Steel, crude",thousand metric tons,1978,780,estimate,MYB1980v3
Metals,"Steel, crude",thousand metric tons,1979,700,estimate,MYB1980v3
Metals,"Steel, crude",thousand metric tons,1980,700,estimate,MYB1980v3
Metals,"Aluminum, primary ingot",metric tons,1973,33700,,MYB1975v3
Metals,"Aluminum, primary ingot",metric tons,1974,49000,,MYB1975v3
Metals,"Aluminum, primary ingot",metric tons,1975,51000,preliminary,MYB1975v3
Metals,"Aluminum metal, primary ingot",metric tons,1976,30600,,MYB1980v3
Metals,"Aluminum metal, primary ingot",metric tons,1977,21100,,MYB1980v3
Metals,"Aluminum metal, primary ingot",metric tons,1978,25500,,MYB1980v3
Metals,"Aluminum metal, primary ingot",metric tons,1979,14000,estimate,MYB1980v3
Metals,"Aluminum metal, primary ingot",metric tons,1980,10000,,MYB1980v3
Metals,Lead - content of concentrate / mine output metal content,metric tons,1961,15000,,MYB1965v4
Metals,Lead - content of concentrate / mine output metal content,metric tons,1962,10000,,MYB1965v4
Metals,Lead - content of concentrate / mine output metal content,metric tons,1963,10000,,MYB1965v4
Metals,Lead - content of concentrate / mine output metal content,metric tons,1964,15000,,MYB1965v4
Metals,Lead - content of concentrate / mine output metal content,metric tons,1965,17000,,MYB1965v4
Metals,Lead - content of concentrate / mine output metal content,metric tons,1968,22087,,MYB1970v3
Metals,Lead - content of concentrate / mine output metal content,metric tons,1969,21700,,MYB1970v3
Metals,Lead - content of concentrate / mine output metal content,metric tons,1970,22940,preliminary,MYB1970v3
Metals,Lead - content of concentrate / mine output metal content,metric tons,1973,37500,revised,MYB1975v3
Metals,Lead - content of concentrate / mine output metal content,metric tons,1974,47500,,MYB1975v3
Metals,Lead - content of concentrate / mine output metal content,metric tons,1975,53000,preliminary,MYB1975v3
Metals,Lead - content of concentrate / mine output metal content,metric tons,1976,35000,,MYB1980v3
Metals,Lead - content of concentrate / mine output metal content,metric tons,1977,40000,,MYB1980v3
Metals,Lead - content of concentrate / mine output metal content,metric tons,1978,30000,,MYB1980v3
Metals,Lead - content of concentrate / mine output metal content,metric tons,1979,15000,,MYB1980v3
Metals,Lead - content of concentrate / mine output metal content,metric tons,1980,15000,,MYB1980v3
Metals,Lead - smelter/ingot output,metric tons,1961,1304,,MYB1965v4
Metals,Lead - smelter/ingot output,metric tons,1962,400,,MYB1965v4
Metals,Lead - smelter/ingot output,metric tons,1963,500,estimate,MYB1965v4
Metals,Lead - smelter/ingot output,metric tons,1968,183,revised,MYB1970v3
Metals,Lead - smelter/ingot output,metric tons,1969,180,estimate,MYB1970v3
Metals,Lead - smelter/ingot output,metric tons,1970,180,estimate/preliminary,MYB1970v3
Metals,Manganese ore (gross weight),metric tons,1961,2100,,MYB1965v4
Metals,Manganese ore (gross weight),metric tons,1962,1000,revised,MYB1965v4
Metals,Manganese ore (gross weight),metric tons,1963,3000,,MYB1965v4
Metals,Manganese ore (gross weight),metric tons,1964,3000,,MYB1965v4
Metals,Manganese ore (gross weight),metric tons,1965,3500,,MYB1965v4
Metals,Manganese ore (gross weight),metric tons,1968,25000,revised,MYB1970v3
Metals,Manganese ore (gross weight),metric tons,1969,35000,,MYB1970v3
Metals,Manganese ore (gross weight),metric tons,1970,36000,estimate,MYB1970v3
Metals,Manganese ore (gross weight),metric tons,1973,22000,,MYB1975v3
Metals,Manganese ore (gross weight),metric tons,1974,30000,,MYB1975v3
Metals,Manganese ore (gross weight),metric tons,1975,36000,preliminary,MYB1975v3
Metals,Manganese ore (gross weight),metric tons,1976,40000,,MYB1980v3
Metals,Manganese ore (gross weight),metric tons,1977,40000,,MYB1980v3
Metals,Manganese ore (gross weight),metric tons,1978,30000,,MYB1980v3
Metals,Manganese ore (gross weight),metric tons,1979,20000,,MYB1980v3
Metals,Manganese ore (gross weight),metric tons,1980,20000,,MYB1980v3
