product,fiscal_year_iranian,metric_type,value_thousand_tons,source_report
Crude Steel,2011/12,performance,12827,annual-report-2012-2013
Crude Steel,2012/13,performance,13422,annual-report-2012-2013
Crude Steel,2012/13,budget,14455,annual-report-2012-2013
Crude Steel,2013/14,plan,15260,annual-report-2012-2013
Final Steel Products,2011/12,performance,11746,annual-report-2012-2013
Final Steel Products,2012/13,performance,12285,annual-report-2012-2013
Final Steel Products,2012/13,budget,11652,annual-report-2012-2013
Final Steel Products,2013/14,plan,11980,annual-report-2012-2013
Copper (Cathode),2011/12,performance,235,annual-report-2012-2013
Copper (Cathode),2012/13,performance,213,annual-report-2012-2013
Copper (Cathode),2012/13,budget,225,annual-report-2012-2013
Copper (Cathode),2013/14,plan,225,annual-report-2012-2013
Aluminum,2011/12,performance,327,annual-report-2012-2013
Aluminum,2012/13,performance,335,annual-report-2012-2013
Aluminum,2012/13,budget,405,annual-report-2012-2013
Aluminum,2013/14,plan,375,annual-report-2012-2013
Coal,2011/12,performance,942,annual-report-2012-2013
Coal,2012/13,performance,831,annual-report-2012-2013
Coal,2012/13,budget,1370,annual-report-2012-2013
Coal,2013/14,plan,1370,annual-report-2012-2013
Iron Ore,2011/12,performance,28266,annual-report-2012-2013
Iron Ore,2012/13,performance,32138,annual-report-2012-2013
Iron Ore,2012/13,budget,29800,annual-report-2012-2013
Iron Ore,2013/14,plan,31000,annual-report-2012-2013
Crude Steel,2012/13,performance,13422,annual-report-2013-2014
Crude Steel,2013/14,performance,14308,annual-report-2013-2014
Crude Steel,2013/14,budget,15260,annual-report-2013-2014
Crude Steel,2014/15,plan,14340,annual-report-2013-2014
Final Steel Products,2012/13,performance,12285,annual-report-2013-2014
Final Steel Products,2013/14,performance,11561,annual-report-2013-2014
Final Steel Products,2013/14,budget,11980,annual-report-2013-2014
Final Steel Products,2014/15,plan,11826,annual-report-2013-2014
Copper (Cathode),2012/13,performance,213,annual-report-2013-2014
Copper (Cathode),2013/14,performance,189,annual-report-2013-2014
Copper (Cathode),2013/14,budget,225,annual-report-2013-2014
Copper (Cathode),2014/15,plan,193,annual-report-2013-2014
Aluminum,2012/13,performance,335,annual-report-2013-2014
Aluminum,2013/14,performance,349,annual-report-2013-2014
Aluminum,2013/14,budget,375,annual-report-2013-2014
Aluminum,2014/15,plan,275,annual-report-2013-2014
Coal,2012/13,performance,831,annual-report-2013-2014
Coal,2013/14,performance,922,annual-report-2013-2014
Coal,2013/14,budget,1370,annual-report-2013-2014
Coal,2014/15,plan,1193,annual-report-2013-2014
Iron Ore,2012/13,performance,32138,annual-report-2013-2014
Iron Ore,2013/14,performance,33694,annual-report-2013-2014
Iron Ore,2013/14,budget,31000,annual-report-2013-2014
Iron Ore,2014/15,plan,27450,annual-report-2013-2014
