country,commodity,unit,year,value,flag
Argentina,"Chromium, chromite (gross weight)",metric tons,1968,100,
Argentina,"Chromium, chromite (gross weight)",metric tons,1969,NA,not available
Argentina,"Chromium, chromite (gross weight)",metric tons,1970,NA,not available
Argentina,Copper mine output (metal content),metric tons,1968,420,revised
Argentina,Copper mine output (metal content),metric tons,1969,456,
Argentina,Copper mine output (metal content),metric tons,1970,471,preliminary
Argentina,Iron ore and concentrate,thousand metric tons,1968,277,
Argentina,Iron ore and concentrate,thousand metric tons,1969,299,
Argentina,Iron ore and concentrate,thousand metric tons,1970,239,preliminary
Argentina,Pig iron,thousand metric tons,1968,574,
Argentina,Pig iron,thousand metric tons,1969,583,
Argentina,Pig iron,thousand metric tons,1970,815,preliminary
Argentina,Crude steel (ingots and castings),thousand metric tons,1968,1552,revised
Argentina,Crude steel (ingots and castings),thousand metric tons,1969,1697,
Argentina,Crude steel (ingots and castings),thousand metric tons,1970,1825,preliminary
Argentina,Lead mine output (metal content),metric tons,1968,26671,revised
Argentina,Lead mine output (metal content),metric tons,1969,38692,
Argentina,Lead mine output (metal content),metric tons,1970,35203,preliminary
Argentina,Zinc mine output (metal content),metric tons,1968,26323,
Argentina,Zinc mine output (metal content),metric tons,1969,31685,
Argentina,Zinc mine output (metal content),metric tons,1970,38984,preliminary
Argentina,"Cement, hydraulic",thousand metric tons,1968,4175,
Argentina,"Cement, hydraulic",thousand metric tons,1969,4306,
Argentina,"Cement, hydraulic",thousand metric tons,1970,4743,preliminary
Turkey,"Chromite, salable product",metric tons,1968,418805,
Turkey,"Chromite, salable product",metric tons,1969,453903,
Turkey,"Chromite, salable product",metric tons,1970,477400,preliminary; footnote 2 in source (see narrative: 1970 was a new production high for privately-owned mines)
Turkey,Copper mine production (metal content),metric tons,1968,28823,
Turkey,Copper mine production (metal content),metric tons,1969,26374,
Turkey,Copper mine production (metal content),metric tons,1970,27225,preliminary
Turkey,Copper metal (blister),metric tons,1968,25355,
Turkey,Copper metal (blister),metric tons,1969,23500,
Turkey,Copper metal (blister),metric tons,1970,18955,preliminary
Turkey,Iron ore,thousand metric tons,1968,1836,
Turkey,Iron ore,thousand metric tons,1969,1987,
Turkey,Iron ore,thousand metric tons,1970,2190,estimate
Turkey,Crude steel (excluding castings),thousand metric tons,1968,1109,
Turkey,Crude steel (excluding castings),thousand metric tons,1969,1170,
Turkey,Crude steel (excluding castings),thousand metric tons,1970,1312,preliminary
Turkey,Lead mine output metal content (incl. zinc-lead ore),metric tons,1968,7000,estimate
Turkey,Lead mine output metal content (incl. zinc-lead ore),metric tons,1969,7200,estimate
Turkey,Lead mine output metal content (incl. zinc-lead ore),metric tons,1970,10700,estimate/preliminary
Turkey,Zinc ore/concentrate metal content,metric tons,1968,10100,estimate
Turkey,Zinc ore/concentrate metal content,metric tons,1969,22800,estimate
Turkey,Zinc ore/concentrate metal content,metric tons,1970,21200,estimate/preliminary
Turkey,Manganese ore,metric tons,1968,25258,revised
Turkey,Manganese ore,metric tons,1969,13689,
Turkey,Manganese ore,metric tons,1970,9494,preliminary
Turkey,Cement,thousand metric tons,1968,4728,revised
Turkey,Cement,thousand metric tons,1969,5796,
Turkey,Cement,thousand metric tons,1970,6371,preliminary
