metric,group,fiscal_year_iranian,quantity_thousand_tons,value,value_unit,source_report
sales,Steel,2011/12,14303,51393,billion_IRR,annual-report-2012-2013
sales,Steel,2012/13,15094,78699,billion_IRR,annual-report-2012-2013
sales,Copper,2011/12,222,34626,billion_IRR,annual-report-2012-2013
sales,Copper,2012/13,181,47525,billion_IRR,annual-report-2012-2013
sales,Aluminum,2011/12,334,0,billion_IRR,annual-report-2012-2013
sales,Aluminum,2012/13,301,0,billion_IRR,annual-report-2012-2013
sales,Mine,2011/12,26132,5467,billion_IRR,annual-report-2012-2013
sales,Mine,2012/13,31568,6367,billion_IRR,annual-report-2012-2013
sales,Cement,2011/12,0,404,billion_IRR,annual-report-2012-2013
sales,Cement,2012/13,,40,billion_IRR,annual-report-2012-2013
sales,Other,2011/12,0,360,billion_IRR,annual-report-2012-2013
sales,Other,2012/13,,7701,billion_IRR,annual-report-2012-2013
sales,Total,2011/12,,92250,billion_IRR,annual-report-2012-2013
sales,Total,2012/13,,140331,billion_IRR,annual-report-2012-2013
sales,Steel,2012/13,15094,78699,billion_IRR,annual-report-2013-2014
sales,Steel,2013/14,14800,108310,billion_IRR,annual-report-2013-2014
sales,Copper,2012/13,181,47525,billion_IRR,annual-report-2013-2014
sales,Copper,2013/14,128,43330,billion_IRR,annual-report-2013-2014
sales,Aluminum,2012/13,301,8785,billion_IRR,annual-report-2013-2014
sales,Aluminum,2013/14,381,11473,billion_IRR,annual-report-2013-2014
sales,Mine,2012/13,31568,6367,billion_IRR,annual-report-2013-2014
sales,Mine,2013/14,30590,5111,billion_IRR,annual-report-2013-2014
sales,Cement,2012/13,,,billion_IRR,annual-report-2013-2014
sales,Cement,2013/14,,326,billion_IRR,annual-report-2013-2014
sales,Other,2012/13,,7701,billion_IRR,annual-report-2013-2014
sales,Other,2013/14,,7303,billion_IRR,annual-report-2013-2014
sales,Total,2012/13,,149076,billion_IRR,annual-report-2013-2014
sales,Total,2013/14,,175854,billion_IRR,annual-report-2013-2014
export,Steel,2011/12,768,539,million_USD,annual-report-2012-2013
export,Steel,2012/13,893,543,million_USD,annual-report-2012-2013
export,Copper,2011/12,56,1074,million_USD,annual-report-2012-2013
export,Copper,2012/13,51,839,million_USD,annual-report-2012-2013
export,Aluminum,2011/12,148,391,million_USD,annual-report-2012-2013
export,Aluminum,2012/13,140,310,million_USD,annual-report-2012-2013
export,Mine,2011/12,1824,216,million_USD,annual-report-2012-2013
export,Mine,2012/13,827,99,million_USD,annual-report-2012-2013
export,Total,2011/12,,2220,million_USD,annual-report-2012-2013
export,Total,2012/13,,1791,million_USD,annual-report-2012-2013
export,Steel,2012/13,893,543,billion_IRR,annual-report-2013-2014
export,Steel,2013/14,1402,784,billion_IRR,annual-report-2013-2014
export,Copper,2012/13,51,839,billion_IRR,annual-report-2013-2014
export,Copper,2013/14,19,203,billion_IRR,annual-report-2013-2014
export,Aluminum,2012/13,140,310,billion_IRR,annual-report-2013-2014
export,Aluminum,2013/14,199,385,billion_IRR,annual-report-2013-2014
export,Mine,2012/13,827,99,billion_IRR,annual-report-2013-2014
export,Mine,2013/14,62,5,billion_IRR,annual-report-2013-2014
export,Total,2012/13,,1791,billion_IRR,annual-report-2013-2014
export,Total,2013/14,,1377,billion_IRR,annual-report-2013-2014
